材料原路径,保留位置,字节数,SHA256,说明
docs/3/compute_rescue/task_plan.md,outputs/history/approval_working_notes_20260913_185436/docs/3/compute_rescue/task_plan.md,2124,02ff2be91d59a4e68e96f2757bfb238ab190163fcb269a113642081b0429b3ff,内部任务/整理记录或旧目录清单，移出提交目录，原始内容保留
docs/3/file_inventory.csv,outputs/history/approval_working_notes_20260913_185436/docs/3/file_inventory.csv,831018,9188335920435b5c06ddfcd3d3d298da9ee2325a9c3c2f55b9d7c7087a7c6775,内部任务/整理记录或旧目录清单，移出提交目录，原始内容保留
docs/3/full_run/notes.md,outputs/history/approval_working_notes_20260913_185436/docs/3/full_run/notes.md,394,cec768a563d89efdb9f7f6d73dbfc67cf5a0383947e74fa5816659500004e1c3,内部任务/整理记录或旧目录清单，移出提交目录，原始内容保留
docs/3/full_run/task_plan.md,outputs/history/approval_working_notes_20260913_185436/docs/3/full_run/task_plan.md,1873,6f242fa1e6e8aa159da899d9f85b6ec237df9ed6e1fe706f26d305276297f7c5,内部任务/整理记录或旧目录清单，移出提交目录，原始内容保留
docs/3/notes.md,outputs/history/approval_working_notes_20260913_185436/docs/3/notes.md,1622,8b613aa812f035236768f354780652e413d363a2ac1d27e12e14e2720fe43f44,内部任务/整理记录或旧目录清单，移出提交目录，原始内容保留
docs/3/parallel/notes.md,outputs/history/approval_working_notes_20260913_185436/docs/3/parallel/notes.md,1174,ba1b6745117e6a049916a4219f5ff145b9e5f174aab591484add555abcf64e1f,内部任务/整理记录或旧目录清单，移出提交目录，原始内容保留
docs/3/parallel/task_plan.md,outputs/history/approval_working_notes_20260913_185436/docs/3/parallel/task_plan.md,1264,3cde20c99fa30ca7a428030b71f34f4eee8e0b9869cf9007a09c59bbe9651932,内部任务/整理记录或旧目录清单，移出提交目录，原始内容保留
docs/3/production_rescue/notes.md,outputs/history/approval_working_notes_20260913_185436/docs/3/production_rescue/notes.md,454,7b391d2757bb335f3b18dc74ad464e67e09bcd91efc29758721b455f338db8a9,内部任务/整理记录或旧目录清单，移出提交目录，原始内容保留
docs/3/production_rescue/task_plan.md,outputs/history/approval_working_notes_20260913_185436/docs/3/production_rescue/task_plan.md,2460,9785c9a502d81e7757570ec455916d91245f93e794098c650af88c36464cdd17,内部任务/整理记录或旧目录清单，移出提交目录，原始内容保留
docs/3/solver_acceleration/notes.md,outputs/history/approval_working_notes_20260913_185436/docs/3/solver_acceleration/notes.md,3789,29bbfe39c84e6e19514b81cf55ebbe0a90080bd2ec355b4eee10b98db8f9f5be,内部任务/整理记录或旧目录清单，移出提交目录，原始内容保留
docs/3/solver_acceleration/task_plan.md,outputs/history/approval_working_notes_20260913_185436/docs/3/solver_acceleration/task_plan.md,2807,77cd38381481b27df9c9f5735d3e04de5d82b78085f8f63513759c58bf219084,内部任务/整理记录或旧目录清单，移出提交目录，原始内容保留
docs/3/task_plan.md,outputs/history/approval_working_notes_20260913_185436/docs/3/task_plan.md,2207,b1b3970ef18c0fed178ba6f97f42617ce4871a7fd7ca94719cb602f838897535,内部任务/整理记录或旧目录清单，移出提交目录，原始内容保留
docs/3/validation/notes.md,outputs/history/approval_working_notes_20260913_185436/docs/3/validation/notes.md,729,5b4bcfe5c64d4dd3add8feed1b193e30007a5752c603af75295c00357268e972,内部任务/整理记录或旧目录清单，移出提交目录，原始内容保留
docs/3/validation/task_plan.md,outputs/history/approval_working_notes_20260913_185436/docs/3/validation/task_plan.md,1770,20468ed01a2285dab3e88a386f32b4b05053880b353feea1569090dec62d4815,内部任务/整理记录或旧目录清单，移出提交目录，原始内容保留
docs/4/notes.md,outputs/history/approval_working_notes_20260913_185436/docs/4/notes.md,2374,71d80b23746295d249a7e0083b4b0aae06942f38ee236e090615f6efb5010341,内部任务/整理记录或旧目录清单，移出提交目录，原始内容保留
docs/4/task_plan.md,outputs/history/approval_working_notes_20260913_185436/docs/4/task_plan.md,2886,381e95410d59ecb512c1312b0a73e9ca64919fde70525250aa1785c6df7e3a87,内部任务/整理记录或旧目录清单，移出提交目录，原始内容保留
docs/plots/q2_paper_final/notes.md,outputs/history/approval_working_notes_20260913_185436/docs/plots/q2_paper_final/notes.md,396,7eec268e7d31d104defdacd4f5982d777b3ed9ffb6d879c741198a6c1f78db04,内部任务/整理记录或旧目录清单，移出提交目录，原始内容保留
docs/plots/q2_paper_final/preview_server.log,outputs/history/approval_working_notes_20260913_185436/docs/plots/q2_paper_final/preview_server.log,3592,ef27281a2dee35255eb2643f24c55d0a979aab6100e168b7348840a79bff9dbb,内部任务/整理记录或旧目录清单，移出提交目录，原始内容保留
docs/sensitivity_q4/server.log,outputs/history/approval_working_notes_20260913_185436/docs/sensitivity_q4/server.log,261,7bb342ebd39f3df0b5d0ec6078d04a27c626f740f3d5f32af8e2582d94e92a41,内部任务/整理记录或旧目录清单，移出提交目录，原始内容保留
docs/项目原README.md,outputs/history/approval_working_notes_20260913_185436/docs/项目原README.md,88104,486910e4fa0553fc2d4e9209a3ea1c1137536ee7117a112152afa9bd0b34290c,内部任务/整理记录或旧目录清单，移出提交目录，原始内容保留
收集范围.json,outputs/history/approval_working_notes_20260913_185436/收集范围.json,6033,28d4135a226ab04d05877b1bdd87df37c07429fdeeba7a746e925e0759202175,内部任务/整理记录或旧目录清单，移出提交目录，原始内容保留
需求验收.csv,outputs/history/approval_working_notes_20260913_185436/需求验收.csv,2464,355117717c0e4fd97a6cfbc64289c9eccfd4adff5881ffa2c5fbd29e62e38943,内部任务/整理记录或旧目录清单，移出提交目录，原始内容保留
验收结果.json,outputs/history/approval_working_notes_20260913_185436/验收结果.json,6643,29eb286d547a24c0a0ec471715e4aac4029903195eae94cbd254185b89d9f47f,内部任务/整理记录或旧目录清单，移出提交目录，原始内容保留
