t,source_excel_row,source_endpoint,interval,start_minute,end_minute,price_yuan_per_kwh,load_kw,pv_kw,load_kwh,pv_kwh
65,66,10:50,10:40-10:50,640,650,0.799,5844.9948,7197.4315,974.1658,1199.5719166666665
66,67,11:00,10:50-11:00,650,660,0.5025,5839.0587,7303.1142,973.1764499999999,1217.1857
67,68,11:10,11:00-11:10,660,670,0.4662,5838.7103,7387.6848,973.1183833333332,1231.2808
68,69,11:20,11:10-11:20,670,680,0.5007,5823.4378,7459.227,970.5729666666666,1243.2044999999998
69,70,11:30,11:20-11:30,680,690,0.4827,5814.7932,7520.7191,969.1322,1253.4531833333333
70,71,11:40,11:30-11:40,690,700,0.4785,5832.3951,7568.2039,972.06585,1261.3673166666667
71,72,11:50,11:40-11:50,700,710,0.4662,5712.901,7592.1539,952.1501666666666,1265.3589833333333
72,73,12:00,11:50-12:00,710,720,0.4432,5519.4607,7601.0433,919.9101166666666,1266.84055
73,74,12:10,12:00-12:10,720,730,0.4411,5494.7907,7612.316,915.7984499999999,1268.7193333333332
74,75,12:20,12:10-12:20,730,740,0.4551,5514.4524,7602.6524,919.0754,1267.1087333333332
75,76,12:30,12:20-12:30,740,750,0.4463,5485.829,7554.1872,914.3048333333332,1259.0312
76,77,12:40,12:30-12:40,750,760,0.4113,5462.3628,7472.7384,910.3937999999999,1245.4564
77,78,12:50,12:40-12:50,760,770,0.5682,5566.1066,7393.4172,927.6844333333333,1232.2361999999998
78,79,13:00,12:50-13:00,770,780,0.8279,5725.7548,7312.7979,954.2924666666665,1218.79965
79,80,13:10,13:00-13:10,780,790,0.8636,5739.4957,7194.541,956.5826166666667,1199.0901666666666
80,81,13:20,13:10-13:20,790,800,0.8416,5714.6836,7053.1371,952.4472666666667,1175.5228499999998
81,82,13:30,13:20-13:30,800,810,0.8618,5717.8505,6910.4064,952.9750833333333,1151.7343999999998
82,83,13:40,13:30-13:40,810,820,0.8623,5708.2486,6772.4075,951.3747666666666,1128.7345833333334
83,84,13:50,13:40-13:50,820,830,0.9026,5696.9182,6607.36,949.4863666666666,1101.2266666666665
84,85,14:00,13:50-14:00,830,840,0.9754,5692.2983,6412.5085,948.7163833333334,1068.7514166666665
85,86,14:10,14:00-14:10,840,850,1.0002,5687.1291,6214.0158,947.8548499999999,1035.6693
86,87,14:20,14:10-14:20,850,860,0.9978,5678.962,6000.7112,946.4936666666667,1000.1185333333333
87,88,14:30,14:20-14:30,860,870,1.0271,5669.4508,5766.9816,944.9084666666665,961.1636
88,89,14:40,14:30-14:40,870,880,1.0906,5664.1948,5521.5066,944.0324666666667,920.2511
89,90,14:50,14:40-14:50,880,890,0.9376,5672.7011,5268.781,945.4501833333334,878.1301666666666
90,91,15:00,14:50-15:00,890,900,0.6694,5682.2544,5009.7152,947.0423999999999,834.9525333333332
91,92,15:10,15:00-15:10,900,910,0.66,5669.0195,4743.4484,944.8365833333334,790.5747333333334
92,93,15:20,15:10-15:20,910,920,0.7217,5656.3651,4471.224,942.7275166666666,745.204
93,94,15:30,15:20-15:30,920,930,0.7308,5657.0867,4188.2025,942.8477833333333,698.03375
94,95,15:40,15:30-15:40,930,940,0.7534,5662.6008,3889.3931,943.7668,648.2321833333333
95,96,15:50,15:40-15:50,940,950,0.7823,5669.2596,3594.5946,944.8766,599.0990999999999
96,97,16:00,15:50-16:00,950,960,0.8055,5673.4767,3303.8878,945.57945,550.6479666666667
97,98,16:10,16:00-16:10,960,970,0.8271,5671.0146,2998.4247,945.1691000000001,499.73744999999997
98,99,16:20,16:10-16:20,970,980,0.8519,5661.5926,2687.4131,943.5987666666666,447.90218333333337
99,100,16:30,16:20-16:30,980,990,0.8791,5665.8922,2383.1779,944.3153666666667,397.1963166666667
100,101,16:40,16:30-16:40,990,1000,0.9024,5689.0372,2089.1246,948.1728666666666,348.18743333333333
101,102,16:50,16:40-16:50,1000,1010,0.9163,5603.6614,1791.0829,933.9435666666666,298.5138166666667
102,103,17:00,16:50-17:00,1010,1020,0.9264,5466.7124,1501.7283,911.1187333333334,250.28805
103,104,17:10,17:00-17:10,1020,1030,0.9462,5467.3939,1255.1723,911.2323166666666,209.19538333333333
104,105,17:20,17:10-17:20,1030,1040,0.9742,5464.727,1036.3323,910.7878333333333,172.72205
105,106,17:30,17:20-17:30,1040,1050,0.9862,5492.4458,836.7775,915.4076333333334,139.46291666666667
106,107,17:40,17:30-17:40,1050,1060,0.976,5621.7308,665.2313,936.9551333333334,110.87188333333333
107,108,17:50,17:40-17:50,1060,1070,1.0742,5091.2126,516.6758,848.5354333333332,86.11263333333332
108,109,18:00,17:50-18:00,1070,1080,1.2313,4208.5688,386.6731,701.4281333333333,64.44551666666666
109,110,18:10,18:00-18:10,1080,1090,1.2561,4122.7611,275.7933,687.1268499999999,45.96554999999999
110,111,18:20,18:10-18:20,1090,1100,1.2447,4255.9358,182.9526,709.3226333333333,30.492099999999997
111,112,18:30,18:20-18:30,1100,1110,1.2545,4225.9524,108.3414,704.3254,18.0569
112,113,18:40,18:30-18:40,1110,1120,1.2522,4233.3384,54.3121,705.5563999999999,9.052016666666667
113,114,18:50,18:40-18:50,1120,1130,1.2881,4246.4625,18.6569,707.7437499999999,3.1094833333333334
114,115,19:00,18:50-19:00,1130,1140,1.3466,4239.1795,0.2753,706.5299166666666,0.04588333333333333
115,116,19:10,19:00-19:10,1140,1150,1.3523,4244.6684,0.2296,707.4447333333333,0.038266666666666664
116,117,19:20,19:10-19:20,1150,1160,1.3445,4251.9187,0.6007,708.6531166666666,0.10011666666666666
117,118,19:30,19:20-19:30,1160,1170,1.3483,4256.6813,0.0,709.4468833333333,0.0
118,119,19:40,19:30-19:40,1170,1180,1.349,4267.3947,0.0,711.23245,0.0
119,120,19:50,19:40-19:50,1180,1190,1.3473,4269.975,0.0,711.6625,0.0
120,121,20:00,19:50-20:00,1190,1200,1.3482,4268.6702,0.0,711.4450333333332,0.0
121,122,20:10,20:00-20:10,1200,1210,1.3513,4282.2245,0.0,713.7040833333333,0.0
122,123,20:20,20:10-20:20,1210,1220,1.34,4291.7049,0.0,715.28415,0.0
123,124,20:30,20:20-20:30,1220,1230,1.3489,4291.3611,0.0,715.22685,0.0
124,125,20:40,20:30-20:40,1230,1240,1.3952,4293.9182,0.0,715.6530333333333,0.0
125,126,20:50,20:40-20:50,1240,1250,1.2226,4295.2135,0.0,715.8689166666666,0.0
126,127,21:00,20:50-21:00,1250,1260,0.9332,4302.0307,0.0,717.0051166666667,0.0
127,128,21:10,21:00-21:10,1260,1270,0.9068,4320.9618,0.0,720.1603,0.0
128,129,21:20,21:10-21:20,1270,1280,0.9371,4302.3292,0.0,717.0548666666666,0.0
129,130,21:30,21:20-21:30,1280,1290,0.9371,4322.6758,0.0,720.4459666666667,0.0
130,131,21:40,21:30-21:40,1290,1300,0.9871,4428.8083,0.0,738.1347166666666,0.0
131,132,21:50,21:40-21:50,1300,1310,0.7764,4030.1614,0.0,671.6935666666666,0.0
132,133,22:00,21:50-22:00,1310,1320,0.4209,3362.7419,0.0,560.4569833333333,0.0
133,134,22:10,22:00-22:10,1320,1330,0.3859,3309.3934,0.0,551.5655666666667,0.0
134,135,22:20,22:10-22:20,1330,1340,0.4368,3412.9563,0.0,568.8260499999999,0.0
135,136,22:30,22:20-22:30,1340,1350,0.4198,3381.9313,0.0,563.6552166666667,0.0
136,137,22:40,22:30-22:40,1350,1360,0.4186,3386.5592,0.0,564.4265333333333,0.0
137,138,22:50,22:40-22:50,1360,1370,0.4241,3400.4846,0.0,566.7474333333332,0.0
138,139,23:00,22:50-23:00,1370,1380,0.4237,3399.2426,0.0,566.5404333333333,0.0
139,140,23:10,23:00-23:10,1380,1390,0.4248,3406.9809,0.0,567.83015,0.0
140,141,23:20,23:10-23:20,1390,1400,0.424,3416.1518,0.0,569.3586333333333,0.0
141,142,23:30,23:20-23:30,1400,1410,0.422,3421.9811,0.0,570.3301833333333,0.0
142,143,23:40,23:30-23:40,1410,1420,0.424,3429.6923,0.0,571.6153833333333,0.0
143,144,23:50,23:40-23:50,1420,1430,0.4271,3439.061,0.0,573.1768333333333,0.0
144,145,0:00+1,23:50-24:00,1430,1440,0.4276,3444.7259,0.0,574.1209833333332,0.0
