记录,源码,记录SHA256,当前SHA256,核对,可匹配位置,已收入材料路径
Q1当前运行记录,src/q1/traceability.py,8ce3749e292cfabca4b08d62854d53007fea150e7d3e5c1edf73e5c8906f17dc,6279bd94ffc4bb9f55496543d2c7db0e27a9e6ab4377e5e7cf701281a2b30a12,找到历史版本,src/q1/traceability.py [仅换行符差异],source_history/q1_recorded/src/q1/traceability.py
Q2初次来源记录,src/q2/backtest.py,dd91738bee1b64dc191986c3a8dec28f94a437ffa8ff397bc95d1e8e159b72f6,dd91738bee1b64dc191986c3a8dec28f94a437ffa8ff397bc95d1e8e159b72f6,当前源码字节一致,src/q2/backtest.py [原始字节];outputs/history/q2_baselines/pre_tail_reserve_20260912/source/backtest.py [原始字节];outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/backtest.py [原始字节],src/q2/backtest.py
Q2初次来源记录,src/q2/baseline_reuse.py,1304464c3002998d5b4985fbed2c1b6eedd90ee659d01b8cd7acd9912b7b2772,1304464c3002998d5b4985fbed2c1b6eedd90ee659d01b8cd7acd9912b7b2772,当前源码字节一致,src/q2/baseline_reuse.py [原始字节];outputs/history/q2_baselines/pre_tail_reserve_20260912/source/baseline_reuse.py [原始字节];outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/baseline_reuse.py [原始字节],src/q2/baseline_reuse.py
Q2初次来源记录,src/q2/checkpoint.py,2d014e2e2b251c7a3d55176af30b19f7f2498b114245763d2052810e986c64d3,53ed664104a4f5d67f08d767581fcf6caf4c91f727cde854b495954336f6a197,找到历史版本,outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/checkpoint.py [原始字节],outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/checkpoint.py
Q2初次来源记录,src/q2/comparators.py,fe2d71080339f5a855c79727f8fc6dd9831abeaec61741f51ae06d7a0b25f4dd,e4756f9a1106200966bfe11e790a55d9f650e46573834aec4cf13664260d3f31,找到历史版本,outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/comparators.py [原始字节],outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/comparators.py
Q2初次来源记录,src/q2/data.py,b7259d5762c83d9dcba2686ff0b3749e1b072323f5f81f072f6ffcdef3992cb0,b7259d5762c83d9dcba2686ff0b3749e1b072323f5f81f072f6ffcdef3992cb0,当前源码字节一致,src/q2/data.py [原始字节];docs/4/rescue_lp/frozen_source/src/q2/data.py [原始字节];docs/4/rescue_lp/frozen_source_v3/src/q2/data.py [原始字节];docs/4/rescue_lp/frozen_source_v2/src/q2/data.py [原始字节];outputs/history/q2_baselines/pre_tail_reserve_20260912/source/data.py [原始字节];outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/data.py [原始字节],src/q2/data.py
Q2初次来源记录,src/q2/diagnostics.py,2567dce4f7a0629141763a92db64261965a79f61922d451c531b9083c916f8a9,2567dce4f7a0629141763a92db64261965a79f61922d451c531b9083c916f8a9,当前源码字节一致,src/q2/diagnostics.py [原始字节];outputs/history/q2_baselines/pre_tail_reserve_20260912/source/diagnostics.py [原始字节];outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/diagnostics.py [原始字节],src/q2/diagnostics.py
Q2初次来源记录,src/q2/dispatch.py,5d26b9c9819793b55a7fc7be61ca7cecfe22cc387c772feb57d31647a8047bb0,b7f5e4c92108477628e810550f67ddaabd2ada916617100634fd49b30898a77e,找到历史版本,outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/dispatch.py [原始字节],outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/dispatch.py
Q2初次来源记录,src/q2/execution.py,1bd79f71fbfd148192984e0be7ddab212078e07e0c52aaaa8cc7fd9aeedaa183,1bd79f71fbfd148192984e0be7ddab212078e07e0c52aaaa8cc7fd9aeedaa183,当前源码字节一致,src/q2/execution.py [原始字节];outputs/history/q2_baselines/pre_tail_reserve_20260912/source/execution.py [原始字节];outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/execution.py [原始字节],src/q2/execution.py
Q2初次来源记录,src/q2/experiments.py,bce0b8492f36656730fa4c2d3ac3ccaa585b23c4323a1b8300505d66f27d79e4,70e4c46465f826b852e51937b449cdf2ffd7dc2837310be0889fc3b6f99c77dc,找到历史版本,outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/experiments.py [原始字节],outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/experiments.py
Q2初次来源记录,src/q2/export_dispatch.py,2a445d95b67af04d62ee36f5996735e370f6de08d90f802c932b4246655e3818,c5482227367d234c27265a39b822bdcc1515c11cd32d2aa4f55b23ec1a2f46cd,找到历史版本,outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/export_dispatch.py [原始字节],outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/export_dispatch.py
Q2初次来源记录,src/q2/figures.py,20b6cf75c29e097d64f6966e9dff4c9d6fb3adff0e09b592443a39adaf9130ef,20b6cf75c29e097d64f6966e9dff4c9d6fb3adff0e09b592443a39adaf9130ef,当前源码字节一致,src/q2/figures.py [原始字节];outputs/history/q2_baselines/pre_tail_reserve_20260912/source/figures.py [原始字节];outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/figures.py [原始字节],src/q2/figures.py
Q2初次来源记录,src/q2/final_diagnostics.py,ba452485cd1a4b8ee91b38767ad89b60c2027a2aaa6d54da8721cbb544ce6e51,ba452485cd1a4b8ee91b38767ad89b60c2027a2aaa6d54da8721cbb544ce6e51,当前源码字节一致,src/q2/final_diagnostics.py [原始字节];outputs/history/q2_baselines/pre_tail_reserve_20260912/source/final_diagnostics.py [原始字节];outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/final_diagnostics.py [原始字节],src/q2/final_diagnostics.py
Q2初次来源记录,src/q2/final_report.py,54c105dd0dd8ec417b90ff7ae290831a5b58c18b6f3f59f32af151dd067deeb6,e1de76cf91a66e896261056a55a9ce4529dd8717e3a5532f195bccab4f78e360,未找到相同历史版本,,
Q2初次来源记录,src/q2/final_traceability.py,651a4ff13241edefb26e8389c1ad1a17763809098f2e29beb669d089d0ec74eb,b3126ad9f3ccf08170d3f4f2863cdc8c12c73486346bf75929827cae6b292c60,找到历史版本,outputs/history/q2_baselines/pre_tail_reserve_20260912/source/final_traceability.py [原始字节];outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/final_traceability.py [原始字节],outputs/history/q2_baselines/pre_tail_reserve_20260912/source/final_traceability.py
Q2初次来源记录,src/q2/forecast.py,7893f22f175a3a5dabcef6464ceecd74f97cf877542a972b268617c875d57ae2,7893f22f175a3a5dabcef6464ceecd74f97cf877542a972b268617c875d57ae2,当前源码字节一致,src/q2/forecast.py [原始字节];docs/4/rescue_lp/frozen_source/src/q2/forecast.py [原始字节];docs/4/rescue_lp/frozen_source_v3/src/q2/forecast.py [原始字节];docs/4/rescue_lp/frozen_source_v2/src/q2/forecast.py [原始字节];outputs/history/q2_baselines/pre_tail_reserve_20260912/source/forecast.py [原始字节];outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/forecast.py [原始字节],src/q2/forecast.py
Q2初次来源记录,src/q2/full_run.py,d67c934da80bd2d5181aef2261910e2bcedac3cbe943508d7b5b61aa9b6aecee,81b14f52dfdfadc03f60e28c48209df8712a8cc69bcd5424eef8e76df323ac49,未找到相同历史版本,,
Q2初次来源记录,src/q2/incumbent.py,2dcfc9b28471e7819266180760552836da356b83058a3b55dce4b81b76bf7d46,e5f0b4ebe05a02e1488eb50de90d0e07cea5cbe7a04ea3fd9e6c1fb7f528b2de,找到历史版本,outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/incumbent.py [原始字节],outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/incumbent.py
Q2初次来源记录,src/q2/linear_policy.py,812d52616046792d4de87430f0ddf3fe0001d844249ca819e2bdc8392a22d3af,22abf9c6a24aaf3268ccd22888e9a7f704c7403d0f3da134114a188151e386ae,未找到相同历史版本,,
Q2初次来源记录,src/q2/optimization.py,e45085205cc650c7c10ce695b44a4a3f746770e071403d21bb2a5e6eeefacb69,1fbfc68f9fc39e94f30eb6022cb7e540a76314fe27637c5ed4cf08e01150da7d,未找到相同历史版本,,
Q2初次来源记录,src/q2/policy.py,327056e1465677c7e846ebe03dc40488ffc0a7e60a3503ec881fb0afe50e337d,a0794ae68696d4e251d7edab589bceee7d87a08c20ea617c5b14557c325bb11f,找到历史版本,outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/policy.py [原始字节],outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/policy.py
Q2初次来源记录,src/q2/protocol.py,3b328fe7e036441f87a725a7d59bf606b4d43df45ff642105c4793c4295ed943,a01e4a49e0d19e1bd751159aede4fd1cf5d13143103b2799658dc8da89ebbc27,未找到相同历史版本,,
Q2初次来源记录,src/q2/relaxation.py,00a1f9d736f6b6a9905b501aabd6a3703715fdb8362f19523726686e8b651f0a,84ded5cc41fd408ce1c237863d6f7621d0d67c9b8dc9dd38f4a08dd239031b51,未找到相同历史版本,,
Q2初次来源记录,src/q2/report.py,fbb625f73eafc11d501e81f47da35d674eeddeb20bee45eff2644bf231e749e7,fbb625f73eafc11d501e81f47da35d674eeddeb20bee45eff2644bf231e749e7,当前源码字节一致,src/q2/report.py [原始字节];outputs/history/q2_baselines/pre_tail_reserve_20260912/source/report.py [原始字节];outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/report.py [原始字节],src/q2/report.py
Q2初次来源记录,src/q2/rolling.py,7fb9755131b1bafdd1b9162b65f7369d7789715b7edda51ed785b9d6f1e42d31,7d80ef5b50328b7b5a47f0130d9f484d3fd509202cd226124d1688a038a4eca9,未找到相同历史版本,,
Q2初次来源记录,src/q2/run.py,70f539594cc0dbe5377a1be138916a4f2962f447ec8b432af4a39a6d7b49ae71,70f539594cc0dbe5377a1be138916a4f2962f447ec8b432af4a39a6d7b49ae71,当前源码字节一致,src/q2/run.py [原始字节];outputs/history/q2_baselines/pre_tail_reserve_20260912/source/run.py [原始字节];outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/run.py [原始字节],src/q2/run.py
Q2初次来源记录,src/q2/scenarios.py,0a258a87cc4f59ca7dbc8b6f54d9d72b299990a72b7412c870737ec6a8e7323e,f6695c73c15b85ad09dac7a9f0e8ddc4c6941c02624089b11c5d604a25d2ef58,找到历史版本,outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/scenarios.py [原始字节],outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/scenarios.py
Q2初次来源记录,src/q2/shadows.py,14031f391a49d39f7887c0f41a6a2726c34f947e230c373859b406cff823f395,14031f391a49d39f7887c0f41a6a2726c34f947e230c373859b406cff823f395,当前源码字节一致,src/q2/shadows.py [原始字节];outputs/history/q2_baselines/pre_tail_reserve_20260912/source/shadows.py [原始字节];outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/shadows.py [原始字节],src/q2/shadows.py
Q2初次来源记录,src/q2/test_baseline_reuse.py,cf9c578e5b4d233f5db6aea866c187b714fbb955a4a63a474e554f75b63f3d10,cf9c578e5b4d233f5db6aea866c187b714fbb955a4a63a474e554f75b63f3d10,当前源码字节一致,src/q2/test_baseline_reuse.py [原始字节];outputs/history/q2_baselines/pre_tail_reserve_20260912/source/test_baseline_reuse.py [原始字节];outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/test_baseline_reuse.py [原始字节],src/q2/test_baseline_reuse.py
Q2初次来源记录,src/q2/test_dispatch.py,bd0f7e967454c0a1c1290d730cd07a6155e6247a05f2af3e539a96564e3cb069,f35945d7f0589cd72e91ab5430c1b51d58d4b3fc070d0bd525fcc920dc5d4a81,找到历史版本,outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/test_dispatch.py [原始字节],outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/test_dispatch.py
Q2初次来源记录,src/q2/test_execution.py,3c6ef840e1206b2db408ef2480b4472a2c56634fa8406914f16187dcb6b085ac,7347e0a09c6ca109399e84d5d5cf4118bf4c77e10ee09dbdf1802a09a7c244fe,未找到相同历史版本,,
Q2初次来源记录,src/q2/test_forecast_dispatch.py,ee73311bae16b59e586352ecba2cf98a0fe28fa84440598c6dd09780ad75e8ed,4c2fc3a67feed4668d5bb3ab4d77593b6c4b79d014c0bf51257d50126209c770,未找到相同历史版本,,
Q2初次来源记录,src/q2/test_full_run.py,fa364235c4f684e112db9cf507ca6b6e33853f39ff487a886aed3b93c8fd7ba8,d75e5bf8bf9bac3a8d8e4b91df0db80c0b34b3627fd1098f3d2d3dd928ab82b0,未找到相同历史版本,,
Q2初次来源记录,src/q2/test_horizon_execution.py,03be10be609e833dba20b7ea50c05423998c187e9ae52dc752b845df1ef4a527,03be10be609e833dba20b7ea50c05423998c187e9ae52dc752b845df1ef4a527,当前源码字节一致,src/q2/test_horizon_execution.py [原始字节];outputs/history/q2_baselines/pre_tail_reserve_20260912/source/test_horizon_execution.py [原始字节];outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/test_horizon_execution.py [原始字节],src/q2/test_horizon_execution.py
Q2初次来源记录,src/q2/test_linear_policy.py,28f92b0e10dd1614bbaaa88a872dc4c0de1d47d142c6b11cf6dd0d36fb30e10f,573661a5c010cc597a1a17a09ef49e25ce4228f2bf56e36c82c10599fa32c045,找到历史版本,outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/test_linear_policy.py [原始字节],outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/test_linear_policy.py
Q2初次来源记录,src/q2/test_q2.py,ae1b4b7782ac30a810c90d0cf931a1db86d581837c2708827d11475103cfc53a,b4f977037684b8171e73d193bd8b2b920dadfc8eb145204562a6009cab34ffc2,找到历史版本,outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/test_q2.py [原始字节],outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/test_q2.py
Q2初次来源记录,src/q2/traceability.py,3d22f125873b4bfb2a6f5378be8410e21497f0a660a9c1756a58b7191b138df3,3d22f125873b4bfb2a6f5378be8410e21497f0a660a9c1756a58b7191b138df3,当前源码字节一致,src/q2/traceability.py [原始字节];outputs/history/q2_baselines/pre_tail_reserve_20260912/source/traceability.py [原始字节];outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/traceability.py [原始字节],src/q2/traceability.py
Q2末次阶段来源记录,src/q2/backtest.py,dd91738bee1b64dc191986c3a8dec28f94a437ffa8ff397bc95d1e8e159b72f6,dd91738bee1b64dc191986c3a8dec28f94a437ffa8ff397bc95d1e8e159b72f6,当前源码字节一致,src/q2/backtest.py [原始字节];outputs/history/q2_baselines/pre_tail_reserve_20260912/source/backtest.py [原始字节];outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/backtest.py [原始字节],src/q2/backtest.py
Q2末次阶段来源记录,src/q2/baseline_reuse.py,1304464c3002998d5b4985fbed2c1b6eedd90ee659d01b8cd7acd9912b7b2772,1304464c3002998d5b4985fbed2c1b6eedd90ee659d01b8cd7acd9912b7b2772,当前源码字节一致,src/q2/baseline_reuse.py [原始字节];outputs/history/q2_baselines/pre_tail_reserve_20260912/source/baseline_reuse.py [原始字节];outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/baseline_reuse.py [原始字节],src/q2/baseline_reuse.py
Q2末次阶段来源记录,src/q2/checkpoint.py,2d014e2e2b251c7a3d55176af30b19f7f2498b114245763d2052810e986c64d3,53ed664104a4f5d67f08d767581fcf6caf4c91f727cde854b495954336f6a197,找到历史版本,outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/checkpoint.py [原始字节],outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/checkpoint.py
Q2末次阶段来源记录,src/q2/comparators.py,fe2d71080339f5a855c79727f8fc6dd9831abeaec61741f51ae06d7a0b25f4dd,e4756f9a1106200966bfe11e790a55d9f650e46573834aec4cf13664260d3f31,找到历史版本,outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/comparators.py [原始字节],outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/comparators.py
Q2末次阶段来源记录,src/q2/data.py,b7259d5762c83d9dcba2686ff0b3749e1b072323f5f81f072f6ffcdef3992cb0,b7259d5762c83d9dcba2686ff0b3749e1b072323f5f81f072f6ffcdef3992cb0,当前源码字节一致,src/q2/data.py [原始字节];docs/4/rescue_lp/frozen_source/src/q2/data.py [原始字节];docs/4/rescue_lp/frozen_source_v3/src/q2/data.py [原始字节];docs/4/rescue_lp/frozen_source_v2/src/q2/data.py [原始字节];outputs/history/q2_baselines/pre_tail_reserve_20260912/source/data.py [原始字节];outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/data.py [原始字节],src/q2/data.py
Q2末次阶段来源记录,src/q2/diagnostics.py,2567dce4f7a0629141763a92db64261965a79f61922d451c531b9083c916f8a9,2567dce4f7a0629141763a92db64261965a79f61922d451c531b9083c916f8a9,当前源码字节一致,src/q2/diagnostics.py [原始字节];outputs/history/q2_baselines/pre_tail_reserve_20260912/source/diagnostics.py [原始字节];outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/diagnostics.py [原始字节],src/q2/diagnostics.py
Q2末次阶段来源记录,src/q2/dispatch.py,5d26b9c9819793b55a7fc7be61ca7cecfe22cc387c772feb57d31647a8047bb0,b7f5e4c92108477628e810550f67ddaabd2ada916617100634fd49b30898a77e,找到历史版本,outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/dispatch.py [原始字节],outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/dispatch.py
Q2末次阶段来源记录,src/q2/execution.py,1bd79f71fbfd148192984e0be7ddab212078e07e0c52aaaa8cc7fd9aeedaa183,1bd79f71fbfd148192984e0be7ddab212078e07e0c52aaaa8cc7fd9aeedaa183,当前源码字节一致,src/q2/execution.py [原始字节];outputs/history/q2_baselines/pre_tail_reserve_20260912/source/execution.py [原始字节];outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/execution.py [原始字节],src/q2/execution.py
Q2末次阶段来源记录,src/q2/experiments.py,bce0b8492f36656730fa4c2d3ac3ccaa585b23c4323a1b8300505d66f27d79e4,70e4c46465f826b852e51937b449cdf2ffd7dc2837310be0889fc3b6f99c77dc,找到历史版本,outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/experiments.py [原始字节],outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/experiments.py
Q2末次阶段来源记录,src/q2/export_dispatch.py,2a445d95b67af04d62ee36f5996735e370f6de08d90f802c932b4246655e3818,c5482227367d234c27265a39b822bdcc1515c11cd32d2aa4f55b23ec1a2f46cd,找到历史版本,outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/export_dispatch.py [原始字节],outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/export_dispatch.py
Q2末次阶段来源记录,src/q2/figures.py,20b6cf75c29e097d64f6966e9dff4c9d6fb3adff0e09b592443a39adaf9130ef,20b6cf75c29e097d64f6966e9dff4c9d6fb3adff0e09b592443a39adaf9130ef,当前源码字节一致,src/q2/figures.py [原始字节];outputs/history/q2_baselines/pre_tail_reserve_20260912/source/figures.py [原始字节];outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/figures.py [原始字节],src/q2/figures.py
Q2末次阶段来源记录,src/q2/final_diagnostics.py,ba452485cd1a4b8ee91b38767ad89b60c2027a2aaa6d54da8721cbb544ce6e51,ba452485cd1a4b8ee91b38767ad89b60c2027a2aaa6d54da8721cbb544ce6e51,当前源码字节一致,src/q2/final_diagnostics.py [原始字节];outputs/history/q2_baselines/pre_tail_reserve_20260912/source/final_diagnostics.py [原始字节];outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/final_diagnostics.py [原始字节],src/q2/final_diagnostics.py
Q2末次阶段来源记录,src/q2/final_report.py,54c105dd0dd8ec417b90ff7ae290831a5b58c18b6f3f59f32af151dd067deeb6,e1de76cf91a66e896261056a55a9ce4529dd8717e3a5532f195bccab4f78e360,未找到相同历史版本,,
Q2末次阶段来源记录,src/q2/final_traceability.py,651a4ff13241edefb26e8389c1ad1a17763809098f2e29beb669d089d0ec74eb,b3126ad9f3ccf08170d3f4f2863cdc8c12c73486346bf75929827cae6b292c60,找到历史版本,outputs/history/q2_baselines/pre_tail_reserve_20260912/source/final_traceability.py [原始字节];outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/final_traceability.py [原始字节],outputs/history/q2_baselines/pre_tail_reserve_20260912/source/final_traceability.py
Q2末次阶段来源记录,src/q2/forecast.py,7893f22f175a3a5dabcef6464ceecd74f97cf877542a972b268617c875d57ae2,7893f22f175a3a5dabcef6464ceecd74f97cf877542a972b268617c875d57ae2,当前源码字节一致,src/q2/forecast.py [原始字节];docs/4/rescue_lp/frozen_source/src/q2/forecast.py [原始字节];docs/4/rescue_lp/frozen_source_v3/src/q2/forecast.py [原始字节];docs/4/rescue_lp/frozen_source_v2/src/q2/forecast.py [原始字节];outputs/history/q2_baselines/pre_tail_reserve_20260912/source/forecast.py [原始字节];outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/forecast.py [原始字节],src/q2/forecast.py
Q2末次阶段来源记录,src/q2/full_run.py,d67c934da80bd2d5181aef2261910e2bcedac3cbe943508d7b5b61aa9b6aecee,81b14f52dfdfadc03f60e28c48209df8712a8cc69bcd5424eef8e76df323ac49,未找到相同历史版本,,
Q2末次阶段来源记录,src/q2/incumbent.py,2dcfc9b28471e7819266180760552836da356b83058a3b55dce4b81b76bf7d46,e5f0b4ebe05a02e1488eb50de90d0e07cea5cbe7a04ea3fd9e6c1fb7f528b2de,找到历史版本,outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/incumbent.py [原始字节],outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/incumbent.py
Q2末次阶段来源记录,src/q2/linear_policy.py,812d52616046792d4de87430f0ddf3fe0001d844249ca819e2bdc8392a22d3af,22abf9c6a24aaf3268ccd22888e9a7f704c7403d0f3da134114a188151e386ae,未找到相同历史版本,,
Q2末次阶段来源记录,src/q2/optimization.py,e45085205cc650c7c10ce695b44a4a3f746770e071403d21bb2a5e6eeefacb69,1fbfc68f9fc39e94f30eb6022cb7e540a76314fe27637c5ed4cf08e01150da7d,未找到相同历史版本,,
Q2末次阶段来源记录,src/q2/policy.py,327056e1465677c7e846ebe03dc40488ffc0a7e60a3503ec881fb0afe50e337d,a0794ae68696d4e251d7edab589bceee7d87a08c20ea617c5b14557c325bb11f,找到历史版本,outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/policy.py [原始字节],outputs/q2/dispatch_runs/20260912_tail_reserve_final/raw/pre_acceleration_source/policy.py
Q2末次阶段来源记录,src/q2/protocol.py,3b328fe7e036441f87a725a7d59bf606b4d43df45ff642105c4793c4295ed943,a01e4a49e0d19e1bd751159aede4fd1cf5d13143103b2799658dc8da89ebbc27,未找到相同历史版本,,
Q2末次阶段来源记录,src/q2/relaxation.py,00a1f9d736f6b6a9905b501aabd6a3703715fdb8362f19523726686e8b651f0a,84ded5cc41fd408ce1c237863d6f7621d0d67c9b8dc9dd38f4a08dd239031b51,未找到相同历史版本,,
