source_endpoint,price_yuan_per_kwh,load_kw,pv_kw
20:10,1.3513,4282.2245,0.0
20:20,1.34,4291.7049,0.0
20:30,1.3489,4291.3611,0.0
20:40,1.3952,4293.9182,0.0
20:50,1.2226,4295.2135,0.0
21:00,0.9332,4302.0307,0.0
21:10,0.9068,4320.9618,0.0
21:20,0.9371,4302.3292,0.0
21:30,0.9371,4322.6758,0.0
21:40,0.9871,4428.8083,0.0
21:50,0.7764,4030.1614,0.0
22:00,0.4209,3362.7419,0.0
22:10,0.3859,3309.3934,0.0
22:20,0.4368,3412.9563,0.0
22:30,0.4198,3381.9313,0.0
22:40,0.4186,3386.5592,0.0
22:50,0.4241,3400.4846,0.0
23:00,0.4237,3399.2426,0.0
23:10,0.4248,3406.9809,0.0
23:20,0.424,3416.1518,0.0
23:30,0.422,3421.9811,0.0
23:40,0.424,3429.6923,0.0
23:50,0.4271,3439.061,0.0
0:00+1,0.4276,3444.7259,0.0
