history_day,hour,complete_at_slot,initial_soc,delta,value,J_E,J_E_plus_delta,seconds
23,0,3456,6000,100,0.47544444444443795,20403.338093758335,20355.793649313891,0.016368249998777173
22,6,3348,6000,100,0.89777997466662784,56591.941231942059,56502.163234475396,0.016233916991041042
22,12,3384,6000,100,0.83711111111115311,44330.797716225417,44247.086605114302,0.01573208199988585
22,18,3420,6000,100,1.2134540832499987,29593.487579574998,29472.142171249998,0.014484749990515411
24,0,3600,6000,100,0.47544444444443795,19809.306866622508,19761.762422178064,0.014634958017268218
23,6,3492,6000,100,0.76631692299837595,21257.231587007882,21180.599894708044,0.014995041012298316
23,12,3528,6000,100,0.49588888888887594,22044.627052500375,21995.038163611487,0.013748790996032767
23,18,3564,6000,100,1.2100500000000103,21153.299777775381,21032.29477777538,0.013830209005391225
25,0,3744,6000,100,0.47544444444443795,56110.100346633146,56062.555902188702,0.014872749990900047
24,6,3636,6000,100,0.75978000000002799,23169.882249669587,23093.904249669584,0.033353709004586563
24,12,3672,6000,100,0,33731.459723463326,33731.459723463326,0.013677876006113365
24,18,3708,6000,100,1.2100499999999739,47676.245802620499,47555.240802620501,0.014559917006408796
26,0,3888,6000,100,0.47544444444443795,53540.05340881001,53492.508964365566,0.015512124999077059
25,6,3780,6000,100,0.89298000000002498,57555.602313346695,57466.304313346693,0.037390624987892807
25,12,3816,6000,100,0.83711111111115311,54641.807119821482,54558.096008710367,0.015319416997954249
25,18,3852,6000,100,1.2134197079000295,53116.179670322563,52994.83769953256,0.015972751003573649
27,0,4032,6000,100,0.47544444444443795,55668.674200105008,55621.129755660564,0.015450124003109522
26,6,3924,6000,100,0.88577777777769373,55111.961124359164,55023.383346581395,0.015953083013300784
26,12,3960,6000,100,0.83711111111115311,54690.803327158719,54607.092216047604,0.01506108399189543
26,18,3996,6000,100,1.2134350289166469,55181.712003754845,55060.36850086318,0.015234000005875714
28,0,4176,6000,100,0.47544444444443795,51263.908703957626,51216.364259513182,0.015491333993850276
27,6,4068,6000,100,0.89297999999995226,57013.131737455071,56923.833737455076,0.015247333998559043
27,12,4104,6000,100,0.83711111111115311,53678.043661795011,53594.332550683896,0.014948333991924301
27,18,4140,6000,100,1.2134615818333259,51157.129015521678,51035.782857338345,0.01559679199999664
29,0,4320,6000,100,0.47544444444451073,53559.211303125747,53511.666858681296,0.015199290995951742
28,6,4212,6000,100,0.88577777777776645,52714.650724668027,52626.07294689025,0.015376875991933048
28,12,4248,6000,100,0.81200000000004369,52492.369439969079,52411.169439969075,0.038559417007490993
28,18,4284,6000,100,1.213379999999961,52691.178795448344,52569.840795448348,0.015051417009090073
30,0,4464,6000,100,0.47544444444443795,19703.465274862901,19655.920830418458,0.01354941600584425
29,6,4356,6000,100,0.89297999999995226,52409.515076327429,52320.217076327433,0.015424790995894
29,12,4392,6000,100,0.81220327195929709,41447.825965366297,41366.605638170367,0.014138708007521927
29,18,4428,6000,100,1.2134700000000158,29385.38353567796,29264.036535677958,0.013298833990120329
31,0,4608,6000,100,0.474555555555562,17541.887574139422,17494.432018583866,0.013171792001230642
30,6,4500,6000,100,0.75977999999999157,19998.853595882101,19922.875595882102,0.013817958999425173
30,12,4536,6000,100,0.48500649196666928,20130.569855764199,20082.069206567532,0.013430916995275766
30,18,4572,6000,100,1.2100500000000103,19791.090732687531,19670.08573268753,0.013878249999834225
32,0,4752,6000,100,0.47544444444443795,49406.918328281565,49359.373883837121,0.038409958011470735
31,6,4644,6000,100,0.75006000000001227,20613.907451037041,20538.90145103704,0.014689374991576187
31,12,4680,6000,100,0,30080.762906571665,30080.762906571665,0.017027957990649156
31,18,4716,6000,100,1.2100499999999739,40915.635007363337,40794.630007363339,0.016669999982696027
33,0,4896,6000,100,0.47544444444443795,50696.436270993356,50648.891826548912,0.017325458014965989
32,6,4788,6000,100,0.88577777777776645,50903.856406016501,50815.278628238724,0.015246165989083238
32,12,4824,6000,100,0.81200000000004369,49566.897444473703,49485.697444473699,0.017169124985230155
32,18,4860,6000,100,1.213379999999961,50157.784040665007,50036.446040665011,0.015310083996155299
34,0,5040,6000,100,0.47544444444443795,51645.389084772956,51597.844640328512,0.015377083997009322
33,6,4932,6000,100,0.88566198650121808,51921.322932473333,51832.756733823211,0.015382750993012451
33,12,4968,6000,100,0.81200000000004369,50982.135808403524,50900.935808403519,0.015472792001673952
33,18,5004,6000,100,1.2133988532832882,51400.064760071771,51278.724874743442,0.015665457991417497
35,0,5184,6000,100,0.47544444444443795,51009.426744130556,50961.882299686113,0.038411292000091635
34,6,5076,6000,100,0.88577777777776645,53298.397923507757,53209.82014572998,0.015653541006031446
34,12,5112,6000,100,0.83711111111100767,52045.692347052813,51961.981235941712,0.014553749992046505
34,18,5148,6000,100,1.213379999999961,50434.559777555827,50313.221777555831,0.01522645799559541
36,0,5328,6000,100,0.47544444444443795,50703.843191536675,50656.298747092231,0.015378666998003609
35,6,5220,6000,100,0.88620987731002965,52367.072749699815,52278.451761968812,0.015113124987692572
35,12,5256,6000,100,0.81199999999997086,49837.973712442224,49756.773712442227,0.016694499994628131
35,18,5292,6000,100,1.2133800000000337,50319.358566456664,50198.02056645666,0.015311208000639454
37,0,5472,6000,100,0.474555555555562,17064.90308334885,17017.447527793294,0.013558791019022465
36,6,5364,6000,100,0.88577777777776645,49478.590989347387,49390.013211569611,0.01494033400376793
36,12,5400,6000,100,0.81215790109992669,39731.948709043405,39650.732918933412,0.016056750013376586
36,18,5436,6000,100,1.2133799999999975,27729.455027886728,27608.117027886728,0.013287458015838638
38,0,5616,6000,100,0.47433333333334304,16499.879192168766,16452.445858835432,0.013706915997317992
37,6,5508,6000,100,0.75006000000001227,17521.214171202308,17446.208171202306,0.037926167016848922
37,12,5544,6000,100,0,18799.874549212327,18799.874549212327,0.013476082996930927
37,18,5580,6000,100,1.2100499999999739,19306.362025510658,19185.357025510661,0.013500458997441456
39,0,5760,6000,100,0.47544444444443795,50104.815247367784,50057.27080292334,0.014775666000787169
38,6,5652,6000,100,0.72223341799999619,19415.167675651544,19342.944333851545,0.014126167996437289
38,12,5688,6000,100,0,29967.399213561668,29967.399213561668,0.01390679097676184
38,18,5724,6000,100,1.2100500000000465,41556.838755614997,41435.833755614993,0.015921498998068273
40,0,5904,6000,100,0.47544444444443795,46363.394667272471,46315.850222828027,0.015489915997022763
39,6,5796,6000,100,0.88577777777783917,51603.682831480648,51515.105053702864,0.015688625004258938
39,12,5832,6000,100,0.81199999999997086,47545.802408318152,47464.602408318155,0.016402290988480672
39,18,5868,6000,100,1.213379999999961,45885.917339770254,45764.579339770258,0.016788166991318576
41,0,6048,6000,100,0.47544444444443795,47183.706705516626,47136.162261072182,0.015383167017716914
40,6,5940,6000,100,0.84933333333334304,47468.924946169602,47383.991612836267,0.014730708004208282
40,12,5976,6000,100,0.81199999999997086,47316.577112393155,47235.377112393158,0.043005875995731913
40,18,6012,6000,100,1.2133800000000337,46674.246241448644,46552.90824144864,0.015212625017738901
42,0,6192,6000,100,0.47544444444451073,47362.849050484845,47315.304606040394,0.015365125000244007
41,6,6084,6000,100,0.87299999999995637,48535.919113235002,48448.619113235007,0.015140875999350101
41,12,6120,6000,100,0.80188888888886145,46700.935221905034,46620.746333016148,0.016303625990985893
41,18,6156,6000,100,1.2134136642666271,46918.936287143872,46797.594920717209,0.017019958002492785
43,0,6336,6000,100,0.47544444444443795,44241.867525079506,44194.323080635062,0.015088376007042825
42,6,6228,6000,100,0.86229598173333211,48827.878452390811,48741.648854217477,0.016607416982878931
42,12,6264,6000,100,0.81199999999997086,46487.122982679262,46405.922982679265,0.014847541999188252
42,18,6300,6000,100,1.2133800000000337,43951.465877477836,43830.127877477833,0.016287498991005123
44,0,6480,6000,100,0.47240460259259637,16136.838901017041,16089.598440757782,0.013199375011026859
43,6,6372,6000,100,0.84567893669998739,42737.125924648455,42652.558030978456,0.01650237399735488
43,12,6408,6000,100,0.80188888888886145,36127.111268892477,36046.922380003591,0.014521207005600445
43,18,6444,6000,100,1.2134184255333094,27232.175088034692,27110.833245481361,0.013465791998896748
45,0,6624,6000,100,0.4720000000000073,16174.715755444815,16127.515755444814,0.013412332991720177
44,6,6516,6000,100,0.7174799999999959,16300.711317931091,16228.963317931091,0.013527751012588851
44,12,6552,6000,100,0,18154.168033584116,18154.168033584116,0.012849292004830204
44,18,6588,6000,100,1.2100500000000103,18833.752981099118,18712.747981099117,0.034958959004143253
46,0,6768,6000,100,0.47544444444443795,47038.689592920833,46991.145148476389,0.014856042005703785
45,6,6660,6000,100,0.69025174693331792,18913.533353789997,18844.508179096665,0.013576999990618788
45,12,6696,6000,100,0,28673.905387458341,28673.905387458341,0.013748500015935861
45,18,6732,6000,100,1.2100500000000465,38698.755895102506,38577.750895102501,0.015450749997398816
47,0,6912,6000,100,0.47544444444443795,43948.389866869322,43900.845422424878,0.014776208001421764
46,6,6804,6000,100,0.87299999999995637,48380.321729975585,48293.02172997559,0.015219125009025447
46,12,6840,6000,100,0.80188888888893417,44651.046437230558,44570.857548341664,0.014581666997401044
46,18,6876,6000,100,1.2133810578500561,43390.851531756001,43269.513425970996,0.015264542002114467
48,0,7056,6000,100,0.47544444444443795,44655.519344023916,44607.974899579473,0.014769374975003302
47,6,6948,6000,100,0.84311999999998077,45075.69791036177,44991.385910361772,0.014663957990705967
47,12,6984,6000,100,0.74377777777779552,44148.415282379319,44074.03750460154,0.014296541994553991
47,18,7020,6000,100,1.2134132182833128,44461.373909929724,44340.032588101392,0.015181708004092798
49,0,7200,6000,100,0.47544444444443795,45530.664736928113,45483.120292483669,0.037682084002881311
48,6,7092,6000,100,0.84432463179298789,45905.842078180991,45821.409615001692,0.014675457990961149
48,12,7128,6000,100,0.80188888888878862,45756.865498668347,45676.676609779468,0.014187083987053484
48,18,7164,6000,100,1.213379999999961,44724.537668702884,44603.199668702888,0.016084541013697162
50,0,7344,6000,100,0.47544444444443795,43923.333679635485,43875.789235191041,0.014808124993578531
49,6,7236,6000,100,0.85672607044383764,46738.394970826572,46652.722363782188,0.015266167014488019
49,12,7272,6000,100,0.80188888888893417,45532.085249437194,45451.8963605483,0.014740958009497263
49,18,7308,6000,100,1.2134121110333218,43909.817181343831,43788.475970240499,0.015396165996207856
51,0,7488,6000,100,0.47199999999998909,15239.713599275925,15192.513599275926,0.012630290992092341
50,6,7380,6000,100,0.84933333333334304,42594.991265097924,42510.05793176459,0.014245500002289191
50,12,7416,6000,100,0.74377777777779552,34930.112531599341,34855.734753821562,0.014958541985834017
50,18,7452,6000,100,1.2133799999999975,26929.842600597571,26808.504600597571,0.012759208009811118
52,0,7632,6000,100,0.47166666666667878,15453.58093376031,15406.414267093642,0.013021958991885185
51,6,7524,6000,100,0.687960000000021,15322.166584610473,15253.370584610471,0.03849279199494049
51,12,7560,6000,100,0,17325.460452852734,17325.460452852734,0.012957917002495378
51,18,7596,6000,100,1.2100499999999739,18514.945644999403,18393.940644999406,0.013158624991774559
53,0,7776,6000,100,0.47544444444443795,44130.031929852907,44082.487485408463,0.01456983300158754
52,6,7668,6000,100,0.62976022750000993,18044.175672773377,17981.199650023376,0.013988916005473584
52,12,7704,6000,100,0,26555.997654190003,26555.997654190003,0.013592165996669792
52,18,7740,6000,100,1.2100499999999739,35465.572024797904,35344.567024797907,0.015179541995166801
54,0,7920,6000,100,0.47544444444443795,42043.434556354958,41995.890111910514,0.014930998993804678
53,6,7812,6000,100,0.84933333333334304,45193.082386218579,45108.149052885245,0.01475170899357181
53,12,7848,6000,100,0.7437777777777228,42686.633384805507,42612.255607027735,0.014095583013840951
53,18,7884,6000,100,1.2134399599500467,41697.277200364966,41575.933204369961,0.015412333988933824
55,0,8064,6000,100,0.47544444444443795,40527.621028965492,40480.076584521048,0.0144212500017602
54,6,7956,6000,100,0.84311999999998077,43309.92186696548,43225.609866965482,0.015183708004769869
54,12,7992,6000,100,0.74377777777786835,42158.59160097369,42084.213823195903,0.013955541988252662
54,18,8028,6000,100,1.2133847060499829,40095.861901583834,39974.523430978836,0.015971500004525296
56,0,8208,6000,100,0.47544444444443795,42276.872067361248,42229.327622916804,0.015069334011059254
55,6,8100,6000,100,0.78831000000005591,41654.244656505005,41575.413656504999,0.015548499999567866
55,12,8136,6000,100,0.7333333333333576,41525.72415600111,41452.390822667774,0.038232165985391475
55,18,8172,6000,100,1.2133800000000337,41936.775953501266,41815.437953501263,0.015722623982583173
57,0,8352,6000,100,0.47544444444443795,41741.891430370059,41694.346985925615,0.015466666998690926
56,6,8244,6000,100,0.78830999999998308,43242.337409790081,43163.506409790083,0.016130417003296316
56,12,8280,6000,100,0.7437777777777228,43688.770552543967,43614.392774766195,0.016659249013173394
56,18,8316,6000,100,1.213379999999961,41310.45572032006,41189.117720320064,0.016223999991780147
58,0,8496,6000,100,0.47166666666667878,14691.572920421975,14644.406253755307,0.013214917009463534
57,6,8388,6000,100,0.84933333333334304,40468.499272720896,40383.565939387561,0.01542241798597388
57,12,8424,6000,100,0.7437777777777228,34128.826132541144,34054.448354763372,0.014372875986737199
57,18,8460,6000,100,1.213397787883332,26680.522573124403,26559.182794336069,0.012976624988368712
59,0,8640,6000,100,0.41255555555555473,14257.744691940887,14216.489136385331,0.013842458996805362
58,6,8532,6000,100,0,14235.459445145389,14235.459445145389,0.013108457991620526
58,12,8568,6000,100,0,16174.125094715349,16174.125094715349,0.01432216698594857
58,18,8604,6000,100,1.2100500000000103,17705.090533928684,17584.085533928683,0.036727916987729259
60,0,8784,6000,100,0.47544444444443795,44902.342506628265,44854.798062183821,0.015246334005496465
59,6,8676,6000,100,0,17142.150596557243,17142.150596557243,0.013621500009321608
59,12,8712,6000,100,0,24213.318106910228,24213.318106910228,0.01401883400103543
59,18,8748,6000,100,1.2100499999999739,36278.190978058337,36157.18597805834,0.01601229200605303
61,0,8928,6000,100,0.47544444444443795,44857.246166960234,44809.701722515791,0.015490001009311527
60,6,8820,6000,100,0.8431200000000536,46090.229938328397,46005.917938328392,0.015481124995858409
60,12,8856,6000,100,0.81234000000004014,46034.640320566672,45953.406320566668,0.015173875013715588
60,18,8892,6000,100,1.2133873165000113,44419.150901840454,44297.812170190453,0.016156207988387905
62,0,9072,6000,100,0.47544444444443795,42467.680016624021,42420.135572179577,0.014968375005992129
61,6,8964,6000,100,0.84933333333334304,46262.358502685267,46177.425169351933,0.015630875001079403
61,12,9000,6000,100,0.80921291461403599,43944.08588851185,43863.164597050447,0.017088124994188547
61,18,9036,6000,100,1.2134047592666319,42212.785576147347,42091.445100220684,0.01522016701346729
63,0,9216,6000,100,0.47544444444443795,40481.11428099031,40433.569836545867,0.037759082988486625
62,6,9108,6000,100,0.84454811662501017,43588.245678313171,43503.79086665067,0.014532165994751267
62,12,9144,6000,100,0.74377777777779552,41325.677063134019,41251.299285356239,0.014162291990942322
62,18,9180,6000,100,1.2134040076500241,40047.629385883651,39926.288985118648,0.015342790997237898
64,0,9360,6000,100,0.47544444444443795,40346.274903070524,40298.73045862608,0.015412667009513825
63,6,9252,6000,100,0.78831000000005591,41570.174061369755,41491.343061369749,0.014337625980260782
63,12,9288,6000,100,0.80188888888886145,40673.293274865122,40593.104385976236,0.014103625988354906
63,18,9324,6000,100,1.2134268793665979,40153.394634060518,40032.051946123858,0.015497709013288841
65,0,9504,6000,100,0.3995100000000093,13542.838182195002,13502.887182195002,0.013423750002402812
64,6,9396,6000,100,0.78831000000005591,38766.236492883814,38687.405492883809,0.014938291002181359
64,12,9432,6000,100,0.80188888888893417,33934.949771437496,33854.760882548602,0.016192708004382439
64,18,9468,6000,100,1.2133799999999975,25511.833055642754,25390.495055642754,0.012726540997391567
66,0,9648,6000,100,0.39950999999999115,13622.956962614999,13583.005962615,0.012961874992470257
65,6,9540,6000,100,0,14161.063886068334,14161.063886068334,0.036108708998654038
65,12,9576,6000,100,0,15862.36195280496,15862.36195280496,0.013184666007873602
65,18,9612,6000,100,1.2100500000000103,17448.151771188292,17327.146771188291,0.013061457982985303
67,0,9792,6000,100,0.47544444444443795,38701.878714513208,38654.334270068764,0.014823249002802186
66,6,9684,6000,100,0,16614.794168974957,16614.794168974957,0.040878917003283277
66,12,9720,6000,100,0,22651.914388436664,22651.914388436664,0.013389665997237898
66,18,9756,6000,100,1.2100500000000103,30011.945287983213,29890.940287983212,0.015077375006512739
68,0,9936,6000,100,0.47544444444443795,41323.476834818779,41275.932390374335,0.014969208015827462
67,6,9828,6000,100,0.78831000000005591,39888.991560355353,39810.160560355347,0.01439224999921862
67,12,9864,6000,100,0.73333333333343032,39743.030888848298,39669.697555514955,0.014468584005953744
67,18,9900,6000,100,1.213379999999961,40853.271946738794,40731.933946738798,0.01559791699401103
69,0,10080,6000,100,0.47544444444443795,38891.256523229196,38843.712078784753,0.014859709001029842
68,6,9972,6000,100,0.84311999999990805,42384.725163571144,42300.413163571153,0.015153708009165712
68,12,10008,6000,100,0.74377777777779552,39879.368001295494,39804.990223517714,0.014204833001713268
68,18,10044,6000,100,1.2134114804333513,38817.051278377527,38695.710130334191,0.015933542003040202
70,0,10224,6000,100,0.47544444444443795,38037.248764203578,37989.704319759134,0.015017666999483481
69,6,10116,6000,100,0.78822000000000114,40047.810546415734,39968.988546415734,0.014594749984098598
69,12,10152,6000,100,0.74377777777779552,39365.695223275034,39291.317445497254,0.038648916000965983
69,18,10188,6000,100,1.213379999999961,37331.120575008572,37209.782575008576,0.015856583995628171
71,0,10368,6000,100,0.47544444444443795,41152.903122098927,41105.358677654483,0.014772541995625943
70,6,10260,6000,100,0.78822000000000114,39061.995728250753,38983.173728250753,0.014773749993764795
70,12,10296,6000,100,0.7333333333333576,39964.132258406913,39890.798925073577,0.015555707999737933
70,18,10332,6000,100,1.2134143246166786,40677.787298745607,40556.445866283939,0.015061832993524149
72,0,10512,6000,100,0.39798000000000683,13073.459904741667,13033.661904741666,0.012925792019814253
71,6,10404,6000,100,0.81674072854999391,39658.981509995741,39577.307437140742,0.0143868329905672
71,12,10440,6000,100,0.74957544216980754,33529.415629081734,33454.458084864753,0.013809166994178668
71,18,10476,6000,100,1.2134699999999794,25706.938127786932,25585.591127786935,0.01269033299467992
73,0,10656,6000,100,0.3992674329500005,13472.952696846667,13433.025953551667,0.013276667013997212
72,6,10548,6000,100,0,13822.086190192325,13822.086190192325,0.013513875979697332
72,12,10584,6000,100,0,15365.370037210843,15365.370037210843,0.012808915998903103
72,18,10620,6000,100,1.2100500000000465,17245.641038232512,17124.636038232507,0.036995583010138944
74,0,10800,6000,100,0.47544444444443795,38342.631125336833,38295.086680892389,0.014708665999933146
73,6,10692,6000,100,0,16634.131254258355,16634.131254258355,0.014079832995776087
73,12,10728,6000,100,0,21986.017409121669,21986.017409121669,0.015629959001671523
73,18,10764,6000,100,1.2100499999999739,30354.522286013504,30233.517286013506,0.014868082987959497
75,0,10944,6000,100,0.47544444444443795,35039.166283425984,34991.62183898154,0.014926458999980241
74,6,10836,6000,100,0.78822000000000114,39317.507833511911,39238.68583351191,0.014379291998920962
74,12,10872,6000,100,0.74502995356262547,38091.183738005726,38016.680742649463,0.015256791011779569
74,18,10908,6000,100,1.2133799999998882,34530.222843124313,34408.884843124324,0.01508066599490121
76,0,11088,6000,100,0.47544444444443795,37067.587093710805,37020.042649266361,0.014962916990043595
75,6,10980,6000,100,0.77400000000001457,35957.426224956434,35880.026224956433,0.014615541993407533
75,12,11016,6000,100,0.63133333333331398,37817.111518560981,37753.97818522765,0.014608124998630956
75,18,11052,6000,100,1.2133842224833642,36811.697404542036,36690.358982293699,0.01532370901259128
77,0,11232,6000,100,0.47544444444443795,36075.616420285492,36028.071975841049,0.014795084003708325
