编号,优先级,审查问题,当前代码现状,与论文/题目是否对齐,风险,建议修改,处理状态,本次实现与验收,代码文件,精确代码行,代码语句,测试文件,测试行,测试名称,运行证据,证据运行代号
CR-11,P2,PV-only baseline 约束的是“充多少”，不是严格的“电从哪里来”,"使用 C_t≤max(S_t-L_t,0)",当前数据下基本无影响，但数学语义不完全严格,中,当 S_t>L_t 时进一步限制对应外网充电来源，例如合理设置 G_t=0 或显式做 source-flow decomposition,已修复,光伏富余时PV-only及No-ESS共同施加G=0，保持嵌套；配合充放电净负荷界确保充电来源为光伏。零电价合成例强迫外网购电被判不可行。,src/q1/model.py,153,"upper[index[""G""][pv > load]] = 0",src/q1/test_review.py,74,test_pv_only_source_with_zero_price_and_surplus,outputs/q1_current/raw/analysis_validation.json#checks/pv_only,run-ie6fkatf
CR-12,P2,论文区分 η_c、η_d，代码只有一个 efficiency,代码强制 η_c=η_d,当前数值场景对齐，但代码颗粒度低于论文,中低,"build_problem(data, eta_c, eta_d, ...)，分别参数化充电和放电效率",已修复,build_problem与solve分别接受eta_c、eta_d；状态、物理复核、阈值和参数扰动均使用各自效率。0.8/0.95非对称解析例通过。,src/q1/model.py,166,"a[n + t, index[""D""][t]] = 1 / eta_d",src/q1/test_review.py,42,test_independent_efficiencies_analytical_case,outputs/q1_current/raw/tests.json,run-ie6fkatf
CR-13,P2,论文—代码 traceability 粒度过粗,一个 section 只映射到某个函数入口,不是真正逐公式对齐,中低,建立“论文公式 → 精确代码行 → unit test → runtime evidence”的 traceability 表,已修复,每个展示公式及关键行内公式/判据映射到精确代码行、测试名与行号、本代运行证据；源公式文本及源文SHA随代记录。,src/q1/traceability.py,93,def generate_traceability(staging):,src/q1/test_review.py,30,test_official_attachment_fresh_solve_golden_and_csv,outputs/q1_current/raw/traceability_validation.json,run-ie6fkatf
CR-14,OK,时间右端点映射,"已实现标准化 t=1,...,144",对齐,低,保留,保留并回归通过,右端点标准化t=1..144，00:10对应00:00–00:10，0:00+1对应23:50–24:00；重复、缺失或错位拒绝。,src/q1/model.py,95,if endpoint != t * 10:,src/q1/test_q1.py,35,test_time_and_unit_examples,outputs/q1_current/inputs/processed/timeseries.csv,run-ie6fkatf
CR-15,OK,ZOH 与 kW→kWh,已按 Δt=1/6 转换,对齐,低,保留,保留并回归通过,ZOH与kW乘1/6转为kWh，原始功率和换算值一并输出。,src/q1/model.py,107,"""load_kwh"": pl * DT, ""pv_kwh"": ppv * DT})",src/q1/test_q1.py,35,test_time_and_unit_examples,outputs/q1_current/inputs/processed/timeseries.csv,run-ie6fkatf
CR-16,OK,母线能量平衡,代码严格实现 G+S-W+D=L+C,对齐,低,保留,保留并回归通过,严格实现G+S-W+D=L+C，并在矩阵之外逐时独立复核。,src/q1/model.py,243,"""11.1_balance_max_abs_kwh"": float(np.max(np.abs(g + pv - w + d - load - c))),",src/q1/test_q1.py,70,test_corrupted_schedules_rejected,outputs/q1_current/raw/validation.json#main/metrics/11.1_balance_max_abs_kwh,run-ie6fkatf
CR-17,OK,SOC 状态转移,实现 E_t=E_{t-1}+η_c C_t-D_t/η_d,数值对齐,低,只需做效率参数化,保留并完成效率拆分,SOC实现E_t=E_(t-1)+eta_c C-D/eta_d；独立效率解析测试及全场景物理复核通过。,src/q1/model.py,165,"a[n + t, index[""C""][t]] = -eta_c",src/q1/test_review.py,42,test_independent_efficiencies_analytical_case,outputs/q1_current/raw/validation.json#main/metrics/11.2_soc_max_abs_kwh,run-ie6fkatf
CR-18,OK,Tight Big-M,M=Q_max=5000/6，没有随意取大数,对齐且实现较好,低,保留,保留并回归通过,紧Big-M取各自充放功率乘1/6；主场景5000/6，无任意大常数。,src/q1/model.py,172,"a[2 * n + t, index[""u""][t]] = -qc",src/q1/test_analysis.py,147,test_independent_power_limits_and_csv_nonfinite_rejected,outputs/q1_current/raw/validation.json#main/metrics/9_binary_coupling_violation_kwh,run-ie6fkatf
CR-19,OK,首尾 SOC,E_0=E_144=6000,对齐,低,保留,保留并回归通过,E0=E144=6000，逐时结果和日汇总CSV回读分别核验；篡改首尾状态会失败。,src/q1/model.py,138,"lower[index[""E""][-1]] = upper[index[""E""][-1]] = E_INITIAL",src/q1/test_q1.py,91,test_csv_roundtrip_and_tamper_rejection,outputs/q1_current/raw/validation.json#csv,run-ie6fkatf
CR-20,OK,MIP Gap / 全局最优检验,主模型求解得到 MIP gap = 0,对齐,低,保留,保留并回归通过,正式解状态最优、MIP gap=0，目标与全局下界一致，所有重求都保留证据。,src/q1/model.py,268,"metrics[""11.2_relative_global_gap""] = float(abs(p @ g - solution[""solver""][""dual_bound_yuan""])",src/q1/test_q1.py,70,test_corrupted_schedules_rejected,outputs/q1_current/raw/solution_main.json#solver,run-ie6fkatf
CR-21,OK,LP relaxation,正确区分 LP relaxation 与 MILP，不声称理论等价,对齐,低,保留,保留并回归通过,保留Big-M约束的连续松弛仅作诊断，检查目标、分数u和同时动作，不将其替代MILP。,src/q1/analysis.py,279,"""integer_gap"": float((jm - relaxed.fun) / max(1, abs(jm))),",src/q1/test_analysis.py,70,test_lp_relaxation_keeps_big_m_coupling,outputs/q1_current/processed/lp_diagnosis.csv,run-ie6fkatf
CR-22,OK,No-ESS / PV-only / Full baseline,三层 baseline 已实现,基本对齐,低-中,只需强化 PV-only 来源语义,保留并强化来源语义,No-ESS/PV-only/Full三个基准重新求解，费用单调次序和增量收益恒等式验证。,src/q1/analysis.py,264,if not jm <= jpv + COST_TOL_YUAN <= j0 + 2 * COST_TOL_YUAN:,src/q1/test_analysis.py,58,test_nested_baselines_and_analytic_no_ess,outputs/q1_current/processed/baseline_comparison.csv,run-ie6fkatf
CR-23,OK,容量/功率边际价值,已对 E_max、P_C^max、P_D^max 做重新求解,对齐,低,建议增加 E_min,保留并补齐下限,全部36情景覆盖Emax提高、Emin降低、充电/放电功率提高，各三个步长共432次独立整数重求。,src/q1/analysis.py,225,"""saving_yuan"": saving, ""value_per_unit_day"": saving / step, ""unit"": unit,",src/q1/test_analysis.py,26,test_all_36_scenarios_and_432_relaxations,outputs/q1_current/processed/bottleneck_values.csv,run-ie6fkatf
CR-24,OK,敏感性分析,已覆盖效率、负荷、光伏扰动,对齐,低,保留,保留并回归通过,四种效率口径×负荷三档×光伏三档共36情景，原输入缩放、结果、边际量、活跃界和归一化敏感度完整输出。,src/q1/analysis.py,334,"""normalized_sensitivity"": (plus[""cost_yuan""] - minus[""cost_yuan""]) / (0.1 * base[""cost_yuan""])})",src/q1/test_analysis.py,129,test_full_input_output_csv_and_normalized_sensitivity,outputs/q1_current/processed/sensitivity_scenarios.csv,run-ie6fkatf
