requirement_id,section,source_line,source_text,implementation_symbols,code_locations,acceptance,status
Q3-L0068,3.1,68,\text{参数化因果储能反馈},rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0069,3.1,69,+,rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0070,3.1,70,\text{预报经济信息价值},rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0071,3.1,71,},rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0072,3.1,72,\],rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0074,3.1,74,其中，完整多阶段 recourse 由 6 h 信息节点上的闭环重规划近似实现，以避免显式构造预测修正场景树所导致的场景爆炸。为保证滚动模型与题目真实结算机制在时间上保持一致，本文进一步区分**当前 6 h 承诺执行区间**与**下一信息节点之后的前瞻代理区间**：只有前者在当前节点计入真实调整结算，后者仅用于估计继续价值。对 \(0{:}00\) 原计划未显式预见未来全部 forecast-revision recourse 的近似误差，则在少量代表日上用缩减四阶段随机规划进行 benchmark 验证。,rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0076,3.1,76,---,rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0078,3.2,78,## 3.2 主模型与验证基准的层级设置,optimization.solve;multistage.solve_tree;analysis.run_experiments,src/q3/optimization.py:135;src/q3/multistage.py:61;src/q3/analysis.py:136,test_actual_small_multistage_solve,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0080,3.2,80,为避免把“主求解器”“强基准”和“理论上更完整的多阶段模型”混为一谈，本文将第三问的模型层级明确区分如下。,optimization.solve;multistage.solve_tree;analysis.run_experiments,src/q3/optimization.py:135;src/q3/multistage.py:61;src/q3/analysis.py:136,test_actual_small_multistage_solve,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0082,3.2,82,### 3.2.1 完整多阶段随机规划：代表日验证基准,optimization.solve;multistage.solve_tree;analysis.run_experiments,src/q3/optimization.py:135;src/q3/multistage.py:61;src/q3/analysis.py:136,test_actual_small_multistage_solve,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0084,3.2,84,理论上可将,optimization.solve;multistage.solve_tree;analysis.run_experiments,src/q3/optimization.py:135;src/q3/multistage.py:61;src/q3/analysis.py:136,test_actual_small_multistage_solve,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0086,3.2,86,\[,optimization.solve;multistage.solve_tree;analysis.run_experiments,src/q3/optimization.py:135;src/q3/multistage.py:61;src/q3/analysis.py:136,test_actual_small_multistage_solve,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0087,3.2,87,0{:}00\rightarrow6{:}00\rightarrow12{:}00\rightarrow18{:}00,optimization.solve;multistage.solve_tree;analysis.run_experiments,src/q3/optimization.py:135;src/q3/multistage.py:61;src/q3/analysis.py:136,test_actual_small_multistage_solve,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0088,3.2,88,\],optimization.solve;multistage.solve_tree;analysis.run_experiments,src/q3/optimization.py:135;src/q3/multistage.py:61;src/q3/analysis.py:136,test_actual_small_multistage_solve,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0090,3.2,90,建立为四阶段随机规划，使 \(0{:}00\) 原计划 \(g^0\) 显式考虑后续三次 forecast revision 与 adjustment recourse，因此在动态一致性上比滚动 MPC 更完整。,optimization.solve;multistage.solve_tree;analysis.run_experiments,src/q3/optimization.py:135;src/q3/multistage.py:61;src/q3/analysis.py:136,test_actual_small_multistage_solve,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0092,3.2,92,但附件 3 的预测向量是连续数值对象，不同历史日期在 \(6{:}00\)、\(12{:}00\)、\(18{:}00\) 几乎不可能自然出现完全相同的预测历史。若直接把每条历史轨迹视为独立分支，会导致场景树在早期阶段过度分叉，并产生接近 perfect-information 的乐观偏差。因此本文不以“预测向量完全相同”定义树节点，而在少量代表日上构造**阶段条件聚类的缩减四阶段场景树**：先对 \(6{:}00\) 预报修正向量聚类，再在每个父节点内部对 \(12{:}00\) 修正向量做条件聚类，最后在各 \(12{:}00\) 父节点内部对 \(18{:}00\) 修正向量继续聚类。,optimization.solve;multistage.solve_tree;analysis.run_experiments,src/q3/optimization.py:135;src/q3/multistage.py:61;src/q3/analysis.py:136,test_actual_small_multistage_solve,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0094,3.2,94,基准树采用小规模分支结构，例如,optimization.solve;multistage.solve_tree;analysis.run_experiments,src/q3/optimization.py:135;src/q3/multistage.py:61;src/q3/analysis.py:136,test_actual_small_multistage_solve,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0096,3.2,96,\[,optimization.solve;multistage.solve_tree;analysis.run_experiments,src/q3/optimization.py:135;src/q3/multistage.py:61;src/q3/analysis.py:136,test_actual_small_multistage_solve,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0097,3.2,97,\boxed{2\times2\times2},optimization.solve;multistage.solve_tree;analysis.run_experiments,src/q3/optimization.py:135;src/q3/multistage.py:61;src/q3/analysis.py:136,test_actual_small_multistage_solve,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0098,3.2,98,\],optimization.solve;multistage.solve_tree;analysis.run_experiments,src/q3/optimization.py:135;src/q3/multistage.py:61;src/q3/analysis.py:136,test_actual_small_multistage_solve,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0100,3.2,100,；若某父节点可用历史样本过少，则自动退化为单分支，而不强行拆分。处于同一树节点的所有 descendant scenarios 共享该阶段决策，由节点结构直接实现非前瞻约束。,optimization.solve;multistage.solve_tree;analysis.run_experiments,src/q3/optimization.py:135;src/q3/multistage.py:61;src/q3/analysis.py:136,test_actual_small_multistage_solve,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0102,3.2,102,该多阶段模型记为 \(M_2\)，仅用于**事后诊断滚动近似误差**，不用于全年正式求解，也不使用 2--12 月 benchmark 结果反向重新选择或修改正式主模型 \(M_1\)。因此正式模型在进入样本外评价前已经冻结，\(M_2\) 只回答“滚动近似在常规和高风险日期上损失了多少经济性能”，避免测试集反向选模型。,optimization.solve;multistage.solve_tree;analysis.run_experiments,src/q3/optimization.py:135;src/q3/multistage.py:61;src/q3/analysis.py:136,test_actual_small_multistage_solve,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0104,3.2,104,---,optimization.solve;multistage.solve_tree;analysis.run_experiments,src/q3/optimization.py:135;src/q3/multistage.py:61;src/q3/analysis.py:136,test_actual_small_multistage_solve,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0106,3.2,106,### 3.2.2 确定性四时点滚动优化：强基准模型,optimization.solve;multistage.solve_tree;analysis.run_experiments,src/q3/optimization.py:135;src/q3/multistage.py:61;src/q3/analysis.py:136,test_actual_small_multistage_solve,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0108,3.2,108,若直接把附件 3 最新光伏预报以及问题二给出的负荷点预测作为未来确定输入，可建立确定性四时点滚动优化。该模型保留与主模型相同的 \(0/6/12/18\) 信息节点、committed block、调整结算和储能约束，但不构造历史误差场景。,optimization.solve;multistage.solve_tree;analysis.run_experiments,src/q3/optimization.py:135;src/q3/multistage.py:61;src/q3/analysis.py:136,test_actual_small_multistage_solve,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0110,3.2,110,本文将其作为强基准 \(M_0\)，用来回答：在相同滚动机制下，引入联合历史误差场景是否能够进一步降低样本外真实成本与紧急购电风险。,optimization.solve;multistage.solve_tree;analysis.run_experiments,src/q3/optimization.py:135;src/q3/multistage.py:61;src/q3/analysis.py:136,test_actual_small_multistage_solve,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0112,3.2,112,---,optimization.solve;multistage.solve_tree;analysis.run_experiments,src/q3/optimization.py:135;src/q3/multistage.py:61;src/q3/analysis.py:136,test_actual_small_multistage_solve,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0114,3.3,114,# 3.3 信息边界与基本建模假设,data.Inputs;terminal.TerminalValues;rolling.run_period,src/q3/data.py:15;src/q3/terminal.py:11;src/q3/rolling.py:187,test_future_poison_not_used_by_node;test_cold_start_no_future_or_soc_reset;test_terminal_causal_and_delta_stability,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0116,3.3,116,## 3.3.1 负荷信息边界,data.Inputs;terminal.TerminalValues;rolling.run_period,src/q3/data.py:15;src/q3/terminal.py:11;src/q3/rolling.py:187,test_future_poison_not_used_by_node;test_cold_start_no_future_or_soc_reset;test_terminal_causal_and_delta_stability,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0118,3.3,118,附件 2 中未来真实负荷仅用于事后真实回放和评价，不能在历史某日的规划时直接作为未来输入。,data.Inputs;terminal.TerminalValues;rolling.run_period,src/q3/data.py:15;src/q3/terminal.py:11;src/q3/rolling.py:187,test_future_poison_not_used_by_node;test_cold_start_no_future_or_soc_reset;test_terminal_causal_and_delta_stability,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0120,3.3,120,第三问的负荷预测**完全继承问题二最终确定的因果预测模块**，不在第三问中重新选择或重新调参预测模型。在第 \(d\) 天 \(0{:}00\)，预测器只能利用当时之前已经实现的数据，并生成至少未来 48 h 的负荷预测：,data.Inputs;terminal.TerminalValues;rolling.run_period,src/q3/data.py:15;src/q3/terminal.py:11;src/q3/rolling.py:187,test_future_poison_not_used_by_node;test_cold_start_no_future_or_soc_reset;test_terminal_causal_and_delta_stability,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0122,3.3,122,\[,data.Inputs;terminal.TerminalValues;rolling.run_period,src/q3/data.py:15;src/q3/terminal.py:11;src/q3/rolling.py:187,test_future_poison_not_used_by_node;test_cold_start_no_future_or_soc_reset;test_terminal_causal_and_delta_stability,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0123,3.3,123,\boxed{,data.Inputs;terminal.TerminalValues;rolling.run_period,src/q3/data.py:15;src/q3/terminal.py:11;src/q3/rolling.py:187,test_future_poison_not_used_by_node;test_cold_start_no_future_or_soc_reset;test_terminal_causal_and_delta_stability,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0124,3.3,124,"\widehat L_{d,\tau}^{\,0},",data.Inputs;terminal.TerminalValues;rolling.run_period,src/q3/data.py:15;src/q3/terminal.py:11;src/q3/rolling.py:187,test_future_poison_not_used_by_node;test_cold_start_no_future_or_soc_reset;test_terminal_causal_and_delta_stability,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0125,3.3,125,\qquad,data.Inputs;terminal.TerminalValues;rolling.run_period,src/q3/data.py:15;src/q3/terminal.py:11;src/q3/rolling.py:187,test_future_poison_not_used_by_node;test_cold_start_no_future_or_soc_reset;test_terminal_causal_and_delta_stability,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0126,3.3,126,"\tau\in[d{:}00,(d+2){:}00].",data.Inputs;terminal.TerminalValues;rolling.run_period,src/q3/data.py:15;src/q3/terminal.py:11;src/q3/rolling.py:187,test_future_poison_not_used_by_node;test_cold_start_no_future_or_soc_reset;test_terminal_causal_and_delta_stability,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0127,3.3,127,},data.Inputs;terminal.TerminalValues;rolling.run_period,src/q3/data.py:15;src/q3/terminal.py:11;src/q3/rolling.py:187,test_future_poison_not_used_by_node;test_cold_start_no_future_or_soc_reset;test_terminal_causal_and_delta_stability,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0128,3.3,128,\],data.Inputs;terminal.TerminalValues;rolling.run_period,src/q3/data.py:15;src/q3/terminal.py:11;src/q3/rolling.py:187,test_future_poison_not_used_by_node;test_cold_start_no_future_or_soc_reset;test_terminal_causal_and_delta_stability,implemented; bounded-tests-only; full-numerical-evaluation-not-run
