时段序号,时间段,电价(元/kWh),负载电量(kWh),光伏预测电量(kWh),计划购电量(kWh),充电量(kWh),放电量(kWh),期初储电量(kWh),期末储电量(kWh),弃光电量(kWh),购电费(元),期末SOC(%),实际运行状态
38,06:10-06:20,0.8758,728.6319833333333,112.12795,0.0,0.0,616.5040333333334,9329.211981481481,8644.2075,0.0,0.0,72.03506250000001,放电
39,06:20-06:30,0.8759,732.1588333333334,140.70434999999998,0.0,0.0,591.4544833333334,8644.2075,7987.035851851852,0.0,0.0,66.55863209876543,放电
40,06:30-06:40,0.8601,730.7659333333332,173.27906666666667,0.0,0.0,557.4868666666666,7987.035851851852,7367.606000000001,0.0,0.0,61.39671666666667,放电
41,06:40-06:50,0.8442,739.1292833333333,209.88958333333335,0.0,0.0,529.2397,7367.606000000001,6779.561888888889,0.0,0.0,56.49634907407408,放电
42,06:50-07:00,0.8334,753.90935,251.43863333333334,0.0,0.0,502.4707166666667,6779.561888888889,6221.261092592593,0.0,0.0,51.8438424382716,放电
43,07:00-07:10,0.8092,754.0120166666667,298.56845,0.0,0.0,455.4435666666667,6221.261092592593,5715.212685185185,0.0,0.0,47.626772376543215,放电
44,07:10-07:20,0.7972,757.6477833333333,347.5810833333333,0.0,0.0,410.0667,5715.212685185185,5259.583018518519,0.0,0.0,43.82985848765432,放电
45,07:20-07:30,0.7644,753.8736333333333,396.87685,0.0,0.0,356.99678333333327,5259.583018518519,4862.919925925926,0.0,0.0,40.524332716049386,放电
46,07:30-07:40,0.6899,730.5594333333333,447.1958666666667,0.0,0.0,283.36356666666666,4862.919925925926,4548.071518518518,0.0,0.0,37.90059598765432,放电
47,07:40-07:50,0.86,818.4099833333332,497.72586666666666,0.0,0.0,320.68411666666657,4548.071518518518,4191.755833333333,0.0,0.0,34.9312986111111,放电
48,07:50-08:00,1.1617,966.6221166666666,548.2006666666666,0.0,0.0,418.42144999999994,4191.755833333333,3726.8431111111104,0.0,0.0,31.05702592592592,放电
49,08:00-08:10,1.1683,980.8043333333333,598.89355,0.0,0.0,381.91078333333326,3726.8431111111104,3302.4977962962957,0.0,0.0,27.5208149691358,放电
50,08:10-08:20,1.0956,958.0118833333332,648.4555333333333,0.0,0.0,309.55634999999995,3302.4977962962957,2958.5462962962956,0.0,0.0,24.654552469135798,放电
51,08:20-08:30,1.0849,961.5096833333333,696.8902833333333,0.0,0.0,264.61940000000004,2958.5462962962956,2664.52474074074,0.0,0.0,22.204372839506167,放电
52,08:30-08:40,1.061,959.0350833333333,745.2942833333333,0.0,0.0,213.74080000000004,2664.52474074074,2427.0349629629623,0.0,0.0,20.225291358024684,放电
53,08:40-08:50,1.043,970.6967833333333,792.1378666666666,0.0,0.0,178.55891666666673,2427.0349629629623,2228.6361666666658,0.0,0.0,18.571968055555548,放电
54,08:50-09:00,1.036,992.3766833333334,836.9845666666666,0.0,0.0,155.39211666666677,2228.6361666666658,2055.9782592592583,0.0,0.0,17.133152160493818,放电
55,09:00-09:10,1.0147,993.1616,880.9020999999999,0.0,0.0,112.25950000000012,2055.9782592592583,1931.2454814814803,0.0,0.0,16.093712345679002,放电
56,09:10-09:20,0.9922,988.2592333333333,923.8623666666667,0.0,0.0,64.3968666666666,1931.2454814814803,1859.6934074074063,0.0,0.0,15.497445061728385,放电
57,09:20-09:30,0.97,987.2971333333332,964.7348833333333,0.0,0.0,22.56224999999995,1859.6934074074063,1834.6242407407397,0.0,0.0,15.288535339506163,放电
58,09:30-09:40,0.9422,984.5976666666667,1002.0217333333333,0.0,17.42406666666659,0.0,1834.6242407407397,1850.3059007407396,0.0,0.0,15.419215839506165,充电
59,09:40-09:50,0.9569,983.1877,1036.0254666666665,0.0,52.83776666666654,0.0,1850.3059007407396,1897.8598907407395,0.0,0.0,15.815499089506163,充电
60,09:50-10:00,0.9977,983.7032666666667,1068.2656833333333,0.0,84.56241666666665,0.0,1897.8598907407395,1973.9660657407394,0.0,0.0,16.449717214506162,充电
61,10:00-10:10,0.9919,982.9132166666666,1099.8968,0.0,116.9835833333334,0.0,1973.9660657407394,2079.2512907407395,0.0,0.0,17.32709408950616,充电
62,10:10-10:20,0.9588,981.1261333333333,1127.7867333333334,0.0,146.66060000000004,0.0,2079.2512907407395,2211.2458307407396,0.0,0.0,18.427048589506164,充电
63,10:20-10:30,0.9549,978.9118,1152.43205,0.0,173.52024999999992,0.0,2211.2458307407396,2367.4140557407395,0.0,0.0,19.72845046450616,充电
64,10:30-10:40,0.9839,976.3384666666667,1177.36755,0.0,201.02908333333323,0.0,2367.4140557407395,2548.3402307407396,0.0,0.0,21.236168589506164,充电
65,10:40-10:50,0.799,974.1658,1199.5719166666665,0.0,225.40611666666655,0.0,2548.3402307407396,2751.2057357407393,0.0,0.0,22.926714464506162,充电
66,10:50-11:00,0.5025,973.1764499999999,1217.1857,0.0,244.00925000000007,0.0,2751.2057357407393,2970.8140607407395,0.0,0.0,24.756783839506163,充电
67,11:00-11:10,0.4662,973.1183833333332,1231.2808,575.1709166666665,833.3333333333333,0.0,2970.8140607407395,3720.8140607407395,0.0,268.1446813499999,31.006783839506163,充电
68,11:10-11:20,0.5007,970.5729666666666,1243.2044999999998,0.0,272.6315333333332,0.0,3720.8140607407395,3966.1824407407394,0.0,0.0,33.05152033950616,充电
69,11:20-11:30,0.4827,969.1322,1253.4531833333333,0.0,284.3209833333333,0.0,3966.1824407407394,4222.07132574074,0.0,0.0,35.18392771450616,充电
70,11:30-11:40,0.4785,972.06585,1261.3673166666667,179.2771713991827,468.5786380658495,0.0,4222.07132574074,4643.792100000004,0.0,85.78412651450891,38.698267500000036,充电
71,11:40-11:50,0.4662,952.1501666666666,1265.3589833333333,520.1245166666665,833.3333333333333,0.0,4643.792100000004,5393.792100000004,0.0,242.48204966999992,44.948267500000036,充电
72,11:50-12:00,0.4432,919.9101166666666,1266.84055,486.40289999999993,833.3333333333333,0.0,5393.792100000004,6143.792100000004,0.0,215.57376527999998,51.198267500000036,充电
73,12:00-12:10,0.4411,915.7984499999999,1268.7193333333332,480.4124499999999,833.3333333333333,0.0,6143.792100000004,6893.792100000004,0.0,211.90993169499995,57.448267500000036,充电
74,12:10-12:20,0.4551,919.0754,1267.1087333333332,485.29999999999995,833.3333333333333,0.0,6893.792100000004,7643.792100000004,0.0,220.86003,63.698267500000036,充电
75,12:20-12:30,0.4463,914.3048333333332,1259.0312,488.6069666666666,833.3333333333333,0.0,7643.792100000004,8393.792100000004,0.0,218.06528922333328,69.94826750000004,充电
76,12:30-12:40,0.4113,910.3937999999999,1245.4564,498.27073333333317,833.3333333333333,0.0,8393.792100000004,9143.792100000004,0.0,204.93875261999995,76.19826750000004,充电
77,12:40-12:50,0.5682,927.6844333333333,1232.2361999999998,0.0,304.5517666666665,0.0,9143.792100000004,9417.888690000003,0.0,0.0,78.48240575000003,充电
78,12:50-13:00,0.8279,954.2924666666665,1218.79965,0.0,264.5071833333334,0.0,9417.888690000003,9655.945155000003,0.0,0.0,80.46620962500003,充电
79,13:00-13:10,0.8636,956.5826166666667,1199.0901666666666,0.0,242.50754999999992,0.0,9655.945155000003,9874.201950000002,0.0,0.0,82.28501625000003,充电
80,13:10-13:20,0.8416,952.4472666666667,1175.5228499999998,0.0,223.07558333333316,0.0,9874.201950000002,10074.969975000002,0.0,0.0,83.95808312500002,充电
81,13:20-13:30,0.8618,952.9750833333333,1151.7343999999998,0.0,198.75931666666656,0.0,10074.969975000002,10253.853360000001,0.0,0.0,85.448778,充电
82,13:30-13:40,0.8623,951.3747666666666,1128.7345833333334,0.0,177.3598166666668,0.0,10253.853360000001,10413.477195000001,0.0,0.0,86.77897662500001,充电
83,13:40-13:50,0.9026,949.4863666666666,1101.2266666666665,0.0,151.74029999999982,0.0,10413.477195000001,10550.043465,0.0,0.0,87.917028875,充电
84,13:50-14:00,0.9754,948.7163833333334,1068.7514166666665,0.0,120.0350333333331,0.0,10550.043465,10658.074995,0.0,0.0,88.81729162500001,充电
85,14:00-14:10,1.0002,947.8548499999999,1035.6693,0.0,87.81445000000008,0.0,10658.074995,10737.108,0.0,0.0,89.4759,充电
86,14:10-14:20,0.9978,946.4936666666667,1000.1185333333333,0.0,53.62486666666655,0.0,10737.108,10785.37038,0.0,0.0,89.8780865,充电
87,14:20-14:30,1.0271,944.9084666666665,961.1636,0.0,16.255133333333447,0.0,10785.37038,10800.0,0.0,0.0,90.0,充电
88,14:30-14:40,1.0906,944.0324666666667,920.2511,0.0,0.0,23.781366666666713,10800.0,10773.57625925926,0.0,0.0,89.77980216049384,放电
89,14:40-14:50,0.9376,945.4501833333334,878.1301666666666,0.0,0.0,67.32001666666679,10773.57625925926,10698.77624074074,0.0,0.0,89.15646867283951,放电
90,14:50-15:00,0.6694,947.0423999999999,834.9525333333332,112.0898666666667,0.0,0.0,10698.77624074074,10698.77624074074,0.0,75.03295674666668,89.15646867283951,待机
91,15:00-15:10,0.66,944.8365833333334,790.5747333333334,266.73269362139905,112.47084362139907,0.0,10698.77624074074,10800.0,0.0,176.04357779012338,90.0,充电
92,15:10-15:20,0.7217,942.7275166666666,745.204,197.52351666666664,0.0,0.0,10800.0,10800.0,0.0,142.55272197833332,90.0,待机
93,15:20-15:30,0.7308,942.8477833333333,698.03375,244.8140333333332,0.0,0.0,10800.0,10800.0,0.0,178.91009555999992,90.0,待机
94,15:30-15:40,0.7534,943.7668,648.2321833333333,295.5346166666667,0.0,0.0,10800.0,10800.0,0.0,222.65578019666668,90.0,待机
95,15:40-15:50,0.7823,944.8766,599.0990999999999,345.77750000000015,0.0,0.0,10800.0,10800.0,0.0,270.50173825000013,90.0,待机
96,15:50-16:00,0.8055,945.57945,550.6479666666667,394.9314833333333,0.0,0.0,10800.0,10800.0,0.0,318.11730982499995,90.0,待机
97,16:00-16:10,0.8271,945.1691000000001,499.73744999999997,445.4316500000001,0.0,0.0,10800.0,10800.0,0.0,368.41651771500005,90.0,待机
98,16:10-16:20,0.8519,943.5987666666666,447.90218333333337,495.69658333333325,0.0,0.0,10800.0,10800.0,0.0,422.2839193416666,90.0,待机
99,16:20-16:30,0.8791,944.3153666666667,397.1963166666667,547.11905,0.0,0.0,10800.0,10800.0,0.0,480.972356855,90.0,待机
100,16:30-16:40,0.9024,948.1728666666666,348.18743333333333,599.9854333333333,0.0,0.0,10800.0,10800.0,0.0,541.42685504,90.0,待机
101,16:40-16:50,0.9163,933.9435666666666,298.5138166666667,635.4297499999999,0.0,0.0,10800.0,10800.0,0.0,582.2442799249999,90.0,待机
102,16:50-17:00,0.9264,911.1187333333334,250.28805,660.8306833333334,0.0,0.0,10800.0,10800.0,0.0,612.19354504,90.0,待机
103,17:00-17:10,0.9462,911.2323166666666,209.19538333333333,702.0369333333333,0.0,0.0,10800.0,10800.0,0.0,664.26734632,90.0,待机
104,17:10-17:20,0.9742,910.7878333333333,172.72205,738.0657833333333,0.0,-0.0,10800.0,10800.0,0.0,719.0236861233333,90.0,待机
105,17:20-17:30,0.9862,915.4076333333334,139.46291666666667,775.9447166666666,0.0,-0.0,10800.0,10800.0,0.0,765.2366795766666,90.0,待机
106,17:30-17:40,0.976,936.9551333333334,110.87188333333333,826.08325,0.0,0.0,10800.0,10800.0,0.0,806.257252,90.0,待机
107,17:40-17:50,1.0742,848.5354333333332,86.11263333333332,762.4227999999999,0.0,-0.0,10800.0,10800.0,0.0,818.99457176,90.0,待机
108,17:50-18:00,1.2313,701.4281333333333,64.44551666666666,636.9826166666667,0.0,-0.0,10800.0,10800.0,0.0,784.3166959016667,90.0,待机
109,18:00-18:10,1.2561,687.1268499999999,45.96554999999999,531.8940499999999,0.0,109.26725000000005,10800.0,10678.591944444444,0.0,668.1121162049999,88.9882662037037,放电
110,18:10-18:20,1.2447,709.3226333333333,30.492099999999997,678.8305333333333,0.0,0.0,10678.591944444444,10678.591944444444,0.0,844.9403648399999,88.9882662037037,待机
111,18:20-18:30,1.2545,704.3254,18.0569,686.2684999999999,0.0,0.0,10678.591944444444,10678.591944444444,0.0,860.9238332499998,88.9882662037037,待机
112,18:30-18:40,1.2522,705.5563999999999,9.052016666666667,696.5043833333333,0.0,0.0,10678.591944444444,10678.591944444444,0.0,872.1627888099999,88.9882662037037,待机
113,18:40-18:50,1.2881,707.7437499999999,3.1094833333333334,0.0,0.0,704.6342666666666,10678.591944444444,9895.664981481481,0.0,0.0,82.46387484567902,放电
114,18:50-19:00,1.3466,706.5299166666666,0.04588333333333333,0.0,0.0,706.4840333333333,9895.664981481481,9110.682722222222,0.0,0.0,75.92235601851851,放电
115,19:00-19:10,1.3523,707.4447333333333,0.038266666666666664,0.0,0.0,707.4064666666666,9110.682722222222,8324.675537037037,0.0,0.0,69.37229614197531,放电
116,19:10-19:20,1.3445,708.6531166666666,0.10011666666666666,0.0,0.0,708.553,8324.675537037037,7537.394425925927,0.0,0.0,62.81162021604939,放电
117,19:20-19:30,1.3483,709.4468833333333,0.0,0.0,0.0,709.4468833333333,7537.394425925927,6749.120111111112,0.0,0.0,56.242667592592596,放电
118,19:30-19:40,1.349,711.23245,0.0,0.0,0.0,711.23245,6749.120111111112,5958.861833333334,0.0,0.0,49.65718194444445,放电
119,19:40-19:50,1.3473,711.6625,0.0,0.0,0.0,711.6625,5958.861833333334,5168.125722222223,0.0,0.0,43.06771435185186,放电
120,19:50-20:00,1.3482,711.4450333333332,0.0,0.0,0.0,711.4450333333332,5168.125722222223,4377.631240740741,0.0,0.0,36.480260339506174,放电
121,20:00-20:10,1.3513,713.7040833333333,0.0,0.0,0.0,713.7040833333333,4377.631240740741,3584.626703703704,0.0,0.0,29.871889197530866,放电
122,20:10-20:20,1.34,715.28415,0.0,0.0,0.0,715.28415,3584.626703703704,2789.8665370370372,0.0,0.0,23.248887808641978,放电
123,20:20-20:30,1.3489,715.22685,0.0,0.0,0.0,715.22685,2789.8665370370372,1995.170037037037,0.0,0.0,16.62641697530864,放电
124,20:30-20:40,1.3952,715.6530333333333,0.0,0.0,0.0,715.6530333333333,1995.170037037037,1200.0,0.0,0.0,10.0,放电
125,20:40-20:50,1.2226,715.8689166666666,0.0,715.8689166666666,0.0,-0.0,1200.0,1200.0,0.0,875.2213375166665,10.0,待机
126,20:50-21:00,0.9332,717.0051166666667,0.0,717.0051166666667,-0.0,0.0,1200.0,1200.0,0.0,669.1091748733334,10.0,待机
127,21:00-21:10,0.9068,720.1603,0.0,720.1603,-0.0,0.0,1200.0,1200.0,0.0,653.0413600400001,10.0,待机
128,21:10-21:20,0.9371,717.0548666666666,0.0,717.0548666666666,0.0,0.0,1200.0,1200.0,0.0,671.9521155533333,10.0,待机
129,21:20-21:30,0.9371,720.4459666666667,0.0,720.4459666666667,0.0,0.0,1200.0,1200.0,0.0,675.1299153633333,10.0,待机
130,21:30-21:40,0.9871,738.1347166666666,0.0,738.1347166666666,0.0,-0.0,1200.0,1200.0,0.0,728.6127788216666,10.0,待机
131,21:40-21:50,0.7764,671.6935666666666,0.0,671.6935666666666,0.0,-0.0,1200.0,1200.0,0.0,521.5028851599999,10.0,待机
132,21:50-22:00,0.4209,560.4569833333333,0.0,1393.7903166666665,833.3333333333333,0.0,1200.0,1950.0,0.0,586.6463442849999,16.25,充电
133,22:00-22:10,0.3859,551.5655666666667,0.0,1384.8989,833.3333333333333,0.0,1950.0,2700.0,0.0,534.43248551,22.5,充电
134,22:10-22:20,0.4368,568.8260499999999,0.0,568.8260499999999,0.0,0.0,2700.0,2700.0,0.0,248.46321863999998,22.5,待机
135,22:20-22:30,0.4198,563.6552166666667,0.0,1396.98855,833.3333333333333,0.0,2700.0,3450.0,0.0,586.45579329,28.749999999999996,充电
136,22:30-22:40,0.4186,564.4265333333333,0.0,1397.7598666666665,833.3333333333333,0.0,3450.0,4200.0,0.0,585.1022801866667,35.0,充电
137,22:40-22:50,0.4241,566.7474333333332,0.0,566.7474333333332,0.0,0.0,4200.0,4200.0,0.0,240.3575864766666,35.0,待机
138,22:50-23:00,0.4237,566.5404333333333,0.0,1399.8737666666666,833.3333333333333,0.0,4200.0,4950.0,0.0,593.1265149366667,41.25,充电
139,23:00-23:10,0.4248,567.83015,0.0,567.83015,0.0,0.0,4950.0,4950.0,0.0,241.21424772,41.25,待机
140,23:10-23:20,0.424,569.3586333333333,0.0,569.3586333333333,0.0,0.0,4950.0,4950.0,0.0,241.4080605333333,41.25,待机
141,23:20-23:30,0.422,570.3301833333333,0.0,1403.6635166666665,833.3333333333333,0.0,4950.0,5700.0,0.0,592.3460040333332,47.5,充电
142,23:30-23:40,0.424,571.6153833333333,0.0,904.9487166666665,333.3333333333333,0.0,5700.0,6000.0,0.0,383.6982558666666,50.0,充电
143,23:40-23:50,0.4271,573.1768333333333,0.0,573.1768333333333,0.0,0.0,6000.0,6000.0,0.0,244.80382551666665,50.0,待机
144,23:50-24:00,0.4276,574.1209833333332,0.0,574.1209833333332,0.0,0.0,6000.0,6000.0,0.0,245.49413247333328,50.0,待机
