point,e_max_kwh,charge_kw,discharge_kw,cost_yuan,dual_bound_yuan,mip_gap,status,max_physical_residual_kwh
E18000_C5000_D5000,18000,5000,5000,31102.40022634129,31102.40022634129,0.0,0,9.549694368615746e-12
E20400_C5000_D5000,20400,5000,5000,30179.57856495129,30179.57856495129,0.0,0,5.002220859751105e-12
E22800_C5000_D5000,22800,5000,5000,29321.529639867957,29321.529639867957,0.0,0,5.059064278611913e-12
E25200_C5000_D5000,25200,5000,5000,28512.372822356287,28512.372822356287,0.0,0,9.549694368615746e-12
E27600_C5000_D5000,27600,5000,5000,27837.322867202834,27837.322867202834,0.0,0,1.0459189070388675e-11
E30000_C5000_D5000,30000,5000,5000,27390.3529383124,27390.3529383124,0.0,0,1.0459189070388675e-11
E6000_C6000_D6000,6000,6000,6000,40048.990845808454,40048.990845808454,0.0,0,1.0686562745831907e-11
E8400_C6000_D6000,8400,6000,6000,37140.482507293455,37140.482507293455,0.0,0,5.995204332975845e-12
E10800_C6000_D6000,10800,6000,6000,35083.29348008142,35083.29348008142,0.0,0,7.549516567451064e-12
E13200_C6000_D6000,13200,6000,6000,33517.92867373642,33517.92867373642,0.0,0,8.640199666842818e-12
E15600_C6000_D6000,15600,6000,6000,32063.640439358085,32063.640439358085,0.0,0,1.8189894035458565e-12
E18000_C6000_D6000,18000,6000,6000,31050.528450466416,31050.528450466416,0.0,0,7.549516567451064e-12
E20400_C6000_D6000,20400,6000,6000,30123.656789076413,30123.656789076413,0.0,0,1.9554136088117957e-11
E22800_C6000_D6000,22800,6000,6000,29260.65786399308,29260.65786399308,0.0,0,3.637978807091713e-12
E25200_C6000_D6000,25200,6000,6000,28448.434379814746,28448.434379814746,0.0,0,9.549694368615746e-12
E27600_C6000_D6000,27600,6000,6000,27768.617757994627,27768.617757994627,0.0,0,1.0459189070388675e-11
E30000_C6000_D6000,30000,6000,6000,27315.18008796222,27315.18008796222,0.0,0,4.092726157978177e-12
E6000_C7000_D7000,6000,7000,7000,40040.166121838454,40040.166121838454,0.0,0,9.094947017729282e-13
E8400_C7000_D7000,8400,7000,7000,37118.14917396012,37118.14917396012,0.0,0,6.994405055138485e-12
E10800_C7000_D7000,10800,7000,7000,35044.58715974132,35044.58715974132,0.0,0,1.1823431123048067e-11
E13200_C7000_D7000,13200,7000,7000,33477.87235339632,33477.87235339632,0.0,0,8.807769328692908e-12
E15600_C7000_D7000,15600,7000,7000,32021.150785684655,32021.150785684655,0.0,0,6.366462912410498e-12
E18000_C7000_D7000,18000,7000,7000,31006.255463459656,31006.255463459653,1.1733047905055834e-16,0,3.637978807091713e-12
E20400_C7000_D7000,20400,7000,7000,30075.900468736316,30075.900468736316,0.0,0,8.807769328692908e-12
E22800_C7000_D7000,22800,7000,7000,29209.95154365298,29209.95154365298,0.0,0,2.4556356947869062e-11
E25200_C7000_D7000,25200,7000,7000,28392.861392807983,28392.861392807983,0.0,0,8.08597633294994e-12
E27600_C7000_D7000,27600,7000,7000,27710.761437654528,27710.761437654528,0.0,0,8.08597633294994e-12
E30000_C7000_D7000,30000,7000,7000,27254.154927062868,27254.154927062864,1.334834566262507e-16,0,3.979039320256561e-12
E6000_C8000_D8000,6000,8000,8000,40031.916121838454,40031.916121838454,0.0,0,5.6843418860808015e-12
E8400_C8000_D8000,8400,8000,8000,37096.85846420845,37096.85846420845,0.0,0,7.993605777301127e-12
E10800_C8000_D8000,10800,8000,8000,35011.951550283455,35011.951550283455,0.0,0,8.289665250534501e-12
E13200_C8000_D8000,13200,8000,8000,33444.27464107129,33444.27464107129,0.0,0,1.0362081563168127e-11
E15600_C8000_D8000,15600,8000,8000,31985.65307335963,31985.65307335963,0.0,0,1.3618735768735252e-11
E18000_C8000_D8000,18000,8000,8000,30969.074417801294,30969.074417801294,0.0,0,7.993605777301127e-12
E20400_C8000_D8000,20400,8000,8000,30037.436089744624,30037.436089744624,0.0,0,5.002220859751105e-12
E22800_C8000_D8000,22800,8000,8000,29167.503831327955,29167.503831327955,0.0,0,1.1368683772161603e-11
E25200_C8000_D8000,25200,8000,8000,28348.480347149627,28348.480347149627,0.0,0,7.275957614183426e-12
E27600_C8000_D8000,27600,8000,8000,27661.53039199617,27661.53039199617,0.0,0,6.366462912410498e-12
E30000_C8000_D8000,30000,8000,8000,27203.15597995759,27203.15597995759,0.0,0,6.821210263296962e-12
E6000_C9000_D9000,6000,9000,9000,40024.43041454833,40024.43041454833,0.0,0,1.1596057447604835e-11
E8400_C9000_D9000,8400,9000,9000,37076.62513087512,37076.62513087512,0.0,0,8.992806499463768e-12
E10800_C9000_D9000,10800,9000,9000,34984.226123230124,34984.226123230124,0.0,0,1.4097167877480388e-11
E13200_C9000_D9000,13200,9000,9000,33416.115498248415,33416.115498248415,0.0,0,1.1368683772161603e-11
E15600_C9000_D9000,15600,9000,9000,31956.09393053675,31956.09393053675,0.0,0,2.0317081350640365e-11
E18000_C9000_D9000,18000,9000,9000,30937.38194164508,30937.38194164508,0.0,0,8.992806499463768e-12
E20400_C9000_D9000,20400,9000,9000,30004.243613588413,30004.243613588413,0.0,0,5.6559201766503975e-12
E22800_C9000_D9000,22800,9000,9000,29133.72802183841,29133.72802183841,0.0,0,5.6559201766503975e-12
E25200_C9000_D9000,25200,9000,9000,28310.621204326744,28310.621204326744,0.0,0,7.275957614183426e-12
E27600_C9000_D9000,27600,9000,9000,27622.354582506625,27622.354582506625,0.0,0,5.4569682106375694e-12
E30000_C9000_D9000,30000,9000,9000,27159.808399027715,27159.808399027715,0.0,0,6.821210263296962e-12
E6000_C10000_D10000,6000,10000,10000,40018.03041454833,40018.03041454833,0.0,0,2.5011104298755527e-12
E8400_C10000_D10000,8400,10000,10000,37056.391797541786,37056.391797541786,0.0,0,9.992007221626407e-12
E10800_C10000_D10000,10800,10000,10000,34960.59278989679,34960.59278989679,0.0,0,9.992007221626407e-12
E13200_C10000_D10000,13200,10000,10000,33392.29883158175,33392.29883158175,0.0,0,9.992007221626407e-12
E15600_C10000_D10000,15600,10000,10000,31931.44393053675,31931.44393053675,0.0,0,9.992007221626407e-12
E18000_C10000_D10000,18000,10000,10000,30911.065274978413,30911.065274978413,0.0,0,9.992007221626407e-12
E20400_C10000_D10000,20400,10000,10000,29976.626946921744,29976.626946921744,0.0,0,9.992007221626407e-12
E22800_C10000_D10000,22800,10000,10000,29104.394688505075,29104.394688505075,0.0,0,1.1368683772161603e-11
E25200_C10000_D10000,25200,10000,10000,28280.704537660076,28280.704537660076,0.0,0,7.275957614183426e-12
E27600_C10000_D10000,27600,10000,10000,27588.65458250662,27588.65458250662,0.0,0,7.275957614183426e-12
E30000_C10000_D10000,30000,10000,10000,27124.97506569438,27124.97506569438,0.0,0,6.821210263296962e-12
E10900_C5000_D5000,10900,5000,5000,35061.44403373407,35061.44403373407,0.0,0,4.996003610813204e-12
E10800_C0_D5000,10800,0,5000,48052.046590846665,48052.04659084665,0.0,0,5.684341886080801e-13
E10800_C1000_D5000,10800,1000,5000,39327.91938079088,39327.91938079088,0.0,0,7.73070496506989e-12
E10800_C2000_D5000,10800,2000,5000,36370.05502037043,36370.05502037043,0.0,0,2.7284841053187847e-12
E10800_C3000_D5000,10800,3000,5000,35468.18806709972,35468.18806709972,0.0,0,1.8189894035458565e-12
E10800_C4000_D5000,10800,4000,5000,35198.78143549988,35198.78143549988,0.0,0,4.547473508864641e-12
E10800_C5100_D5000,10800,5100,5000,35121.301922622966,35121.301922622966,0.0,0,4.996003610813204e-12
E10800_C6000_D5000,10800,6000,5000,35083.29348008142,35083.29348008142,0.0,0,6.29126380620922e-12
E10800_C7000_D5000,10800,7000,5000,35044.58715974132,35044.58715974132,0.0,0,1.1823431123048067e-11
E10800_C8000_D5000,10800,8000,5000,35011.951550283455,35011.951550283455,0.0,0,4.996003610813204e-12
E10800_C9000_D5000,10800,9000,5000,34984.226123230124,34984.226123230124,0.0,0,1.4097167877480388e-11
E10800_C10000_D5000,10800,10000,5000,34960.592789896786,34960.592789896786,0.0,0,1.3642420526593924e-12
E10800_C5000_D0,10800,5000,0,48052.046590846665,48052.046590846665,0.0,0,1.1368683772161603e-13
E10800_C5000_D1000,10800,5000,1000,40136.18484203087,40136.18484203087,0.0,0,1.5916157281026244e-11
E10800_C5000_D2000,10800,5000,2000,36991.68007568943,36991.68007568943,0.0,0,1.4097167877480388e-11
E10800_C5000_D3000,10800,5000,3000,35579.70610477216,35579.70610477216,0.0,0,2.9976021664879227e-12
E10800_C5000_D4000,10800,5000,4000,35176.08508204858,35176.08508204858,0.0,0,1.0913936421275139e-11
E10800_C5000_D5100,10800,5000,5100,35126.94858928963,35126.94858928963,0.0,0,5.0959236830294685e-12
E10800_C5000_D6000,10800,5000,6000,35126.94858928963,35126.94858928963,0.0,0,5.995204332975845e-12
E10800_C5000_D7000,10800,5000,7000,35126.94858928963,35126.94858928963,0.0,0,6.994405055138485e-12
E10800_C5000_D8000,10800,5000,8000,35126.94858928963,35126.94858928963,0.0,0,7.993605777301127e-12
E10800_C5000_D9000,10800,5000,9000,35126.94858928963,35126.94858928963,0.0,0,8.992806499463768e-12
E10800_C5000_D10000,10800,5000,10000,35126.94858928963,35126.94858928963,0.0,0,9.992007221626407e-12
