origin,horizon,slot,forecast_net_kwh,actual_net_kwh,error_kwh
2025-02-01,0,78,-312.6456252251175,-413.54333333333335,-100.89770810821585
2025-02-01,0,79,-307.94977548589014,-421.64868333333334,-113.69890784744319
2025-02-01,0,80,-328.65014579681991,-422.72443333333325,-94.074287536513339
2025-02-01,0,81,-310.72551986251955,-410.26791666666668,-99.542396804147131
2025-02-01,0,82,-298.06365676525235,-392.47571666666664,-94.412059901414295
2025-02-01,0,83,-263.39670532062956,-323.70713333333333,-60.310428012703767
2025-02-01,0,84,-239.06621704781136,-233.54250000000002,5.5237170478113455
2025-02-01,0,85,-206.10679190114888,-202.90003333333334,3.206758567815541
2025-02-01,0,86,-176.6456338965983,-166.26881666666668,10.376817229931618
2025-02-01,0,87,-136.46168402182306,-116.5883333333333,19.873350688489765
2025-02-01,0,88,-92.201828397965372,-112.44431666666674,-20.242488268701365
2025-02-01,0,89,-56.189978597080199,-93.767233333333323,-37.577254736253124
2025-02-01,0,90,-12.662943293849517,-35.801666666666655,-23.13872337281714
2025-02-01,0,91,36.046672094461201,28.429149999999936,-7.6175220944612647
2025-02-01,0,92,84.147464443804964,97.934066666666695,13.786602222861731
2025-02-01,0,93,116.48409128662713,158.01750000000001,41.533408713372879
2025-02-01,0,94,151.15302454017865,183.16035000000002,32.007325459821374
2025-02-01,0,95,199.27772442312508,194.13805000000002,-5.139674423125058
2025-02-01,0,96,240.84121798794294,219.81874999999999,-21.022467987942946
2025-02-01,0,97,275.8596662267542,272.90834999999998,-2.9513162267542157
2025-02-01,0,98,327.47942399487829,318.59454999999997,-8.8848739948783191
2025-02-01,0,99,405.16250829217233,360.74416666666667,-44.418341625505661
2025-02-01,0,100,453.74437147313273,424.76726666666667,-28.977104806466059
2025-02-01,0,101,448.50008515262556,426.10654999999997,-22.393535152625589
2025-02-01,0,102,418.42176888785315,387.07374999999996,-31.348018887853186
2025-02-01,0,103,455.61801412594838,417.64608333333337,-37.971930792615012
2025-02-01,0,104,466.69587603071028,439.7808,-26.915076030710281
2025-02-01,0,105,461.91796198351432,436.13666666666671,-25.781295316847604
2025-02-01,0,106,464.61918894342784,445.30571666666668,-19.313472276761161
2025-02-01,0,107,465.28072465771356,439.89263333333332,-25.388091324380241
2025-02-01,0,108,467.321610779987,428.47000000000003,-38.85161077998697
2025-02-01,0,109,465.56853931917948,454.13505000000004,-11.433489319179444
2025-02-01,0,110,465.90645940699028,472.26531666666665,6.3588572596763697
2025-02-01,0,111,468.71045057086559,454.16833333333335,-14.542117237532239
2025-02-01,0,112,468.58272737209683,418.37263333333334,-50.210094038763486
2025-02-01,0,113,481.6292498095641,414.08223333333331,-67.547016476230795
2025-02-01,0,114,485.96809663948676,432.13833333333332,-53.829763306153438
2025-02-01,0,115,465.90621654984739,424.01411666666672,-41.892099883180663
2025-02-01,0,116,461.12854535979432,442.41246666666666,-18.716078693127656
2025-02-01,0,117,461.12854535979432,483.74666666666667,22.618121306872354
2025-02-01,0,118,465.90645940699028,481.18446666666665,15.278007259676372
2025-02-01,0,119,469.14992979664481,444.76593333333335,-24.383996463311462
2025-02-01,0,120,469.24866252729061,418.09500000000003,-51.153662527290578
2025-02-01,0,121,467.50260015888261,436.74051666666668,-30.762083492215936
2025-02-01,0,122,468.38720327751321,452.69785000000002,-15.689353277513192
2025-02-01,0,123,467.69199667006893,449.96833333333331,-17.723663336735626
2025-02-01,0,124,465.67428867432341,455.06670000000003,-10.607588674323381
2025-02-01,0,125,470.02552791607314,454.01236666666665,-16.013161249406494
2025-02-01,0,126,506.92472686004379,459.40499999999997,-47.519726860043818
2025-02-01,0,127,487.93504509731434,497.42076666666668,9.4857215693523358
2025-02-01,0,128,467.7830732307545,503.28313333333335,35.500060102578857
2025-02-01,0,129,466.36007750242044,477.55666666666667,11.196589164246234
2025-02-01,0,130,475.03644875494047,479.13595000000004,4.0995012450595709
2025-02-01,0,131,468.28493913078569,450.20409999999998,-18.080839130785705
2025-02-01,0,132,425.50919898426042,392.08500000000004,-33.424198984260386
2025-02-01,0,133,420.61058232562851,371.76981666666666,-48.840765658961857
2025-02-01,0,134,420.00491067243951,363.57821666666672,-56.426694005772788
2025-02-01,0,135,412.06066392141361,359.15666666666669,-52.903997254746912
2025-02-01,0,136,420.45073116999311,382.05071666666663,-38.400014503326474
2025-02-01,0,137,423.23496228865451,417.16841666666664,-6.0665456219878706
2025-02-01,0,138,423.78054300340546,431.79666666666668,8.0161236632612258
2025-02-01,0,139,423.23496228865451,406.46494999999999,-16.770012288654527
2025-02-01,0,140,429.69524502506039,400.95986666666664,-28.735378358393746
2025-02-01,0,141,432.62854137732251,409.94499999999999,-22.683541377322513
2025-02-01,0,142,435.13673356097138,387.23669999999998,-47.900033560971394
2025-02-01,0,143,446.44790014578393,454.71015000000006,8.2622498542161225
2025-02-01,0,144,577.55957459090098,580.82333333333338,3.263758742432401
2025-02-01,1,1,595.99530502495145,598.66404999999997,2.6687449750485257
2025-02-01,1,2,602.73850209948944,581.73448333333329,-21.00401876615615
2025-02-01,1,3,604.70485417965062,584.59333333333336,-20.111520846317262
2025-02-01,1,4,598.34781017093133,586.10286666666673,-12.244943504264597
2025-02-01,1,5,606.3171540172217,587.19686666666666,-19.120287350555031
2025-02-01,1,6,634.34571788916867,596.07333333333338,-38.272384555835288
2025-02-01,1,7,635.70827342711118,612.05481666666662,-23.653456760444556
2025-02-01,1,8,637.84609593633843,598.32429999999999,-39.521795936338435
2025-02-01,1,9,637.84609593633843,572.23333333333335,-65.612762603005081
2025-02-01,1,10,631.06688501520011,591.65273333333334,-39.41415168186677
2025-02-01,1,11,629.10016622043952,624.29570000000001,-4.8044662204395081
2025-02-01,1,12,637.95514641730938,628.66499999999996,-9.2901464173094155
2025-02-01,1,13,650.08953523493881,599.07411666666667,-51.015418568272139
2025-02-01,1,14,660.00403178017939,611.86058333333335,-48.143448446846037
2025-02-01,1,15,660.52378872920133,647.13833333333332,-13.385455395868007
2025-02-01,1,16,661.44378984533068,618.53523333333339,-42.90855651199729
2025-02-01,1,17,653.88863338349108,632.84251666666671,-21.046116716824372
2025-02-01,1,18,640.21419054505145,682.74166666666667,42.527476121615223
2025-02-01,1,19,654.69013105599777,650.29126666666673,-4.3988643893310382
2025-02-01,1,20,665.72401603275932,625.28370000000007,-40.440316032759256
2025-02-01,1,21,683.98881596779984,648.82666666666671,-35.162149301133127
2025-02-01,1,22,666.02968024829454,667.23696666666672,1.2072864183721776
2025-02-01,1,23,672.48769418308677,658.55550000000005,-13.932194183086722
2025-02-01,1,24,696.65198744934958,637.65499999999997,-58.996987449349604
2025-02-01,1,25,697.12670954966882,636.65458333333333,-60.472126216335482
2025-02-01,1,26,696.65198744934958,645.90666666666664,-50.745320782682938
2025-02-01,1,27,696.08995808469729,652.96500000000003,-43.124958084697255
2025-02-01,1,28,702.73987409868403,656.25548333333336,-46.484390765350668
2025-02-01,1,29,703.30166332728174,665.38710000000003,-37.914563327281712
2025-02-01,1,30,693.34325055833824,681.0333333333333,-12.309917225004938
2025-02-01,1,31,708.36378252941324,691.02076666666665,-17.343015862746597
2025-02-01,1,32,723.42580451668391,679.21996666666666,-44.205837850017247
2025-02-01,1,33,706.59620648789439,647.9466666666666,-58.649539821227791
2025-02-01,1,34,713.92904250741276,633.49469999999997,-80.434342507412794
2025-02-01,1,35,766.34923687276171,723.73806666666667,-42.611170206095039
2025-02-01,1,36,903.11253095892232,855.5333333333333,-47.579197625589018
2025-02-01,1,37,902.58038340713699,867.24951666666664,-35.330866740470356
2025-02-01,1,38,901.9236497336675,854.66881666666666,-47.254833067000845
2025-02-01,1,39,908.6890050301655,873.50166666666667,-35.187338363498839
2025-02-01,1,40,903.11253095892232,876.01236666666671,-27.100164292255613
2025-02-01,1,41,892.12902925824199,834.75333333333322,-57.375695924908769
2025-02-01,1,42,861.16323972404314,767.92124999999999,-93.241989724043151
2025-02-01,1,43,818.84125162880503,735.49698333333333,-83.344268295471693
2025-02-01,1,44,780.71350988022834,708.67413333333332,-72.039376546895028
2025-02-01,1,45,733.95775103669109,656.5766666666666,-77.381084370024496
2025-02-01,1,46,661.38438976606369,599.04655000000002,-62.337839766063667
2025-02-01,1,47,732.96050814621822,668.64756666666665,-64.312941479551569
2025-02-01,1,48,880.45899647219346,811.14916666666659,-69.309829805526874
2025-02-01,1,49,828.81175123409821,822.83135000000004,-5.9804012340981672
2025-02-01,1,50,769.36438691373712,758.87586666666664,-10.488520247070483
2025-02-01,1,51,720.51374575727448,692.56624999999997,-27.94749575727451
2025-02-01,1,52,665.88833317594913,640.12750000000005,-25.760833175949074
2025-02-01,1,53,614.68163419264863,586.0843000000001,-28.597334192648532
2025-02-01,1,54,570.15378656602309,521.20291666666674,-48.950869899356348
2025-02-01,1,55,527.60013948866151,454.83883333333324,-72.761306155328271
2025-02-01,1,56,471.79352202441004,413.78356666666667,-58.009955357743365
2025-02-01,1,57,418.6251150080675,374.28249999999997,-44.342615008067526
2025-02-01,1,58,384.55367841539402,288.97271666666666,-95.580961748727361
2025-02-01,1,59,350.12159882355735,231.40539999999996,-118.71619882355739
2025-02-01,1,60,305.81840401907539,222.36291666666679,-83.455487352408596
2025-02-01,1,61,260.73901500398125,210.75953333333337,-49.979481670647885
2025-02-01,1,62,219.2005519453237,192.03328333333334,-27.167268611990352
2025-02-01,1,63,190.28849503796451,165.07499999999996,-25.213495037964549
2025-02-01,1,64,184.78065564901104,126.60864999999997,-58.172005649011069
2025-02-01,1,65,168.58460216264226,99.800249999999934,-68.784352162642321
2025-02-01,1,66,141.06232818528861,85.463750000000047,-55.598578185288559
2025-02-01,1,67,126.13663714763834,60.520916666666686,-65.615720480971646
2025-02-01,1,68,127.08785828509129,24.044716666666773,-103.04314161842451
2025-02-01,1,69,107.85477290010037,14.404166666666697,-93.450606233433675
2025-02-01,1,70,106.97999257352983,55.045683333333422,-51.934309240196406
2025-02-01,1,71,50.632003411442383,-12.617333333333439,-63.249336744775825
2025-02-01,1,72,28.589084536719081,-133.40291666666675,-161.99200120338583
2025-02-01,1,73,34.679032098201937,-86.636733333333268,-121.3157654315352
2025-02-01,1,74,43.177554887317456,-21.894333333333332,-65.071888220650791
2025-02-01,1,75,48.340001205600252,-39.538750000000014,-87.878751205600267
2025-02-01,1,76,48.335594356055786,-83.928416666666635,-132.26401102272243
2025-02-01,1,77,81.629991262565156,-59.174066666666626,-140.80405792923179
2025-02-01,1,78,126.45432511689781,19.462499999999938,-106.99182511689787
2025-02-01,1,79,123.00168666140416,45.469833333333249,-77.531853328070923
2025-02-01,1,80,118.34851588319179,26.771183333333283,-91.577332549858511
2025-02-01,1,81,136.14488295276487,22.575833333333321,-113.56904961943155
2025-02-01,1,82,147.38557478949951,78.462083333333339,-68.923491456166175
2025-02-01,1,83,169.94237819086007,105.30015000000003,-64.642228190860038
2025-02-01,1,84,207.73535562075418,99.861666666666679,-107.8736889540875
2025-02-01,1,85,241.00971209404997,146.23006666666666,-94.779645427383315
2025-02-01,1,86,277.15055126611213,200.45355000000004,-76.697001266112096
2025-02-01,1,87,317.28220699149114,230.09708333333342,-87.185123658157721
2025-02-01,1,88,348.59320066546553,252.98985000000008,-95.603350665465456
2025-02-01,1,89,394.20985644777835,306.11745000000002,-88.09240644777833
2025-02-01,1,90,439.02334938079531,373.16125000000005,-65.862099380795257
2025-02-01,1,91,466.49840211631459,405.2313666666667,-61.267035449647892
2025-02-01,1,92,503.64039591543792,450.77761666666657,-52.862779248771346
2025-02-01,1,93,561.65853017406039,520.03666666666663,-41.621863507393755
2025-02-01,1,94,612.25573856624942,575.34681666666654,-36.908921899582879
2025-02-01,1,95,656.91401269388314,638.18164999999999,-18.732362693883147
2025-02-01,1,96,702.53414368516826,700.08916666666664,-2.4449770185016177
2025-02-01,1,97,754.95253246067853,728.86176666666654,-26.090765794011986
2025-02-01,1,98,806.49944683748538,775.62010000000009,-30.879346837485286
2025-02-01,1,99,855.82335789500848,838.57124999999996,-17.252107895008521
2025-02-01,1,100,907.15439819802953,864.95764999999994,-42.196748198029582
2025-02-01,1,101,954.74217429741327,893.21503333333328,-61.52714096407999
2025-02-01,1,102,991.89455056929364,941.56708333333336,-50.327467235960285
2025-02-01,1,103,1030.7808161990849,985.63626666666653,-45.144549532418409
2025-02-01,1,104,1041.4962087325589,1005.3769000000001,-36.119308732558807
2025-02-01,1,105,1044.5542926271585,1026.9183333333333,-17.635959293825181
2025-02-01,1,106,1050.8619314711502,1050.2641833333334,-0.59774813781677949
2025-02-01,1,107,947.88528892865622,902.10306666666668,-45.782222261989546
2025-02-01,1,108,722.84672339855672,680.37666666666667,-42.470056731890054
2025-02-01,1,109,720.49878643648196,682.57005000000004,-37.928736436481927
2025-02-01,1,110,730.27097067396528,745.41691666666668,15.1459459927014
2025-02-01,1,111,725.59393648015885,755.27666666666664,29.682730186507797
2025-02-01,1,112,728.34359021878697,754.60244999999998,26.258859781213005
2025-02-01,1,113,728.34711810994338,737.46600000000001,9.1188818900566275
2025-02-01,1,114,725.2181979392476,720.62833333333344,-4.5898646059141583
2025-02-01,1,115,725.59368511961463,734.14280000000008,8.5491148803854458
2025-02-01,1,116,723.18270185245592,718.80303333333325,-4.3796685191226743
2025-02-01,1,117,725.86474640302379,688.35500000000002,-37.509746403023769
2025-02-01,1,118,729.91363285197519,714.80593333333343,-15.107699518641766
2025-02-01,1,119,731.46723723401362,724.81451666666669,-6.6527205673469325
2025-02-01,1,120,726.23986674456603,705.31500000000005,-20.924866744565975
2025-02-01,1,121,731.90496941057836,714.35384999999997,-17.551119410578394
2025-02-01,1,122,733.35238128954825,707.17605000000003,-26.176331289548216
2025-02-01,1,123,734.43686722690916,689.71999999999991,-44.716867226909244
2025-02-01,1,124,731.83236042535816,715.11501666666663,-16.717343758691527
2025-02-01,1,125,733.48531874550474,719.23435000000006,-14.250968745504679
2025-02-01,1,126,733.48531874550474,695.32999999999993,-38.155318745504815
2025-02-01,1,127,733.48531874550474,701.57166666666672,-31.913652078838027
2025-02-01,1,128,731.83236042535816,707.70246666666662,-24.129893758691537
2025-02-01,1,129,729.66400962227146,707.68666666666661,-21.977342955604854
2025-02-01,1,130,750.97924467117639,718.29075,-32.688494671176386
2025-02-01,1,131,677.11583102951056,663.70650000000001,-13.409331029510554
2025-02-01,1,132,568.68302228203675,566.75166666666667,-1.9313556153700802
2025-02-01,1,133,566.91690733447706,536.42166666666674,-30.495240667810322
2025-02-01,1,134,570.17885662404728,538.93981666666662,-31.239039957380669
2025-02-01,1,135,565.68395140264181,541.59666666666669,-24.087284735975118
2025-02-01,1,136,576.64681856530967,546.55066666666664,-30.096151898643029
2025-02-01,1,137,586.88876542522019,543.94069999999999,-42.948065425220193
2025-02-01,1,138,579.27539863199911,541.54166666666663,-37.733731965332481
2025-02-01,1,139,579.27539863199911,556.74653333333333,-22.528865298665778
2025-02-01,1,140,587.94486955084119,562.42853333333335,-25.516336217507842
2025-02-01,1,141,599.24358842912636,548.45833333333337,-50.785255095792991
2025-02-01,1,142,594.20336637669061,537.14791666666667,-57.055449710023936
2025-02-01,1,143,593.63736953580906,563.82544999999993,-29.811919535809125
2025-02-01,1,144,604.16308882536339,591.37666666666667,-12.786422158696723
2025-02-01,2,1,592.17319947548697,553.21265000000005,-38.960549475486914
2025-02-01,2,2,583.96665052445553,559.53106666666667,-24.435583857788856
2025-02-01,2,3,607.59222541077042,609.62,2.0277745892295798
2025-02-01,2,4,601.93998745142187,592.41763333333336,-9.522354118088515
2025-02-01,2,5,603.06277994364166,575.31223333333332,-27.750546610308334
2025-02-01,2,6,633.00347258210923,583.56000000000006,-49.443472582109166
2025-02-01,2,7,633.00347258210923,575.24873333333335,-57.754739248775877
2025-02-01,2,8,640.46129318746841,590.35343333333333,-50.107859854135086
2025-02-01,2,9,647.64634657472959,615.86333333333334,-31.783013241396247
2025-02-01,2,10,647.75607671956448,596.38565000000006,-51.370426719564421
2025-02-01,2,11,648.74668252702145,600.71050000000002,-48.036182527021424
2025-02-01,2,12,641.18571847170904,638.31833333333327,-2.8673851383757665
2025-02-01,2,13,642.08038472423493,646.81808333333333,4.7376986090984019
2025-02-01,2,14,645.73523466396057,640.07521666666673,-5.6600179972938349
2025-02-01,2,15,655.92741843223973,630.40499999999997,-25.52241843223976
2025-02-01,2,16,670.11960814933298,614.53553333333332,-55.584074815999656
2025-02-01,2,17,680.30979171623028,612.54398333333336,-67.765808382896921
2025-02-01,2,18,670.96790627666167,633.125,-37.842906276661665
2025-02-01,2,19,672.00716445637738,664.07794999999999,-7.9292144563773945
2025-02-01,2,20,666.60746521368071,680.12856666666664,13.521101452985931
2025-02-01,2,21,675.74933389098555,668.35333333333335,-7.3960005576522008
2025-02-01,2,22,670.67235747424638,641.08084999999994,-29.591507474246441
2025-02-01,2,23,677.15806821266744,647.11260000000004,-30.045468212667402
2025-02-01,2,24,703.30830747941445,679.90333333333331,-23.404974146081145
2025-02-01,2,25,700.37210592918075,689.47578333333331,-10.896322595847437
2025-02-01,2,26,699.73606089081898,706.40740000000005,6.6713391091810763
2025-02-01,2,27,709.81973604721304,716.17500000000007,6.3552639527870269
2025-02-01,2,28,702.33017952149487,670.23469999999998,-32.095479521494894
2025-02-01,2,29,701.69039205152251,643.91015000000004,-57.780242051522464
2025-02-01,2,30,700.31138664478158,657.00999999999999,-43.301386644781587
2025-02-01,2,31,705.24909328987712,657.9167666666666,-47.33232662321052
2025-02-01,2,32,709.7193857892604,657.12538333333339,-52.594002455927011
2025-02-01,2,33,714.53115732907918,658.71500000000003,-55.816157329079147
2025-02-01,2,34,707.02021663649396,664.17673333333335,-42.84348330316061
2025-02-01,2,35,754.84367310519667,749.89499999999998,-4.9486731051966899
2025-02-01,2,36,905.28404130080401,864.99666666666656,-40.28737463413745
2025-02-01,2,37,910.89739176528212,873.56908333333331,-37.328308431948813
2025-02-01,2,38,910.21839613845998,879.44478333333336,-30.773612805126618
2025-02-01,2,39,914.0120273505903,913.72666666666657,-0.28536068392372727
2025-02-01,2,40,905.28404130080401,899.87081666666666,-5.4132246341373502
2025-02-01,2,41,893.93110602383615,861.53486666666674,-32.396239357169407
2025-02-01,2,42,865.17722414359321,824.41499999999996,-40.762224143593244
2025-02-01,2,43,819.20809740182256,788.43680000000006,-30.771297401822494
2025-02-01,2,44,773.92595522495174,735.51243333333332,-38.413521891618416
2025-02-01,2,45,720.83885179643084,658.07083333333333,-62.768018463097519
2025-02-01,2,46,656.33242825994296,586.65701666666666,-69.675411593276294
2025-02-01,2,47,729.23585948441303,636.43274999999994,-92.803109484413085
2025-02-01,2,48,881.21960827641306,737.56291666666675,-143.6566916097463
2025-02-01,2,49,830.44981133763758,696.85963333333336,-133.59017800430422
2025-02-01,2,50,766.99424048993603,644.63283333333334,-122.3614071566027
2025-02-01,2,51,718.47896250159772,633.94124999999997,-84.537712501597753
2025-02-01,2,52,666.42678568072574,582.84069999999986,-83.586085680725887
2025-02-01,2,53,614.61403210109404,511.47071666666665,-103.14331543442739
2025-02-01,2,54,571.03269405444689,479.51791666666674,-91.514777387780157
2025-02-01,2,55,531.09224612180458,515.9303666666666,-15.161879455137978
2025-02-01,2,56,475.91437242231967,485.51580000000013,9.6014275776804539
2025-02-01,2,57,422.33376010582077,390.90583333333325,-31.427926772487524
2025-02-01,2,58,390.07629732642334,360.69461666666666,-29.381680659756682
2025-02-01,2,59,349.28192176392395,316.25645000000003,-33.025471763923917
2025-02-01,2,60,301.42984981645549,236.78916666666677,-64.640683149788714
2025-02-01,2,61,254.57730000673291,196.02129999999988,-58.556000006733029
2025-02-01,2,62,217.03647022091977,199.09936666666667,-17.937103554253099
2025-02-01,2,63,191.10259383608022,225.44750000000008,34.344906163919859
2025-02-01,2,64,181.27373199073813,237.37681666666671,56.103084675928585
2025-02-01,2,65,165.03232152011273,163.51271666666662,-1.5196048534461113
2025-02-01,2,66,140.54533000188349,46.16791666666677,-94.377413335216715
2025-02-01,2,67,126.63161738988917,17.561683333333349,-109.06993405655582
2025-02-01,2,68,123.22976944904333,78.465800000000101,-44.76396944904323
2025-02-01,2,69,100.19662157620012,128.06208333333325,27.865461757133133
2025-02-01,2,70,96.260745157806468,55.866733333333435,-40.394011824473033
2025-02-01,2,71,44.047898741580411,-22.228699999999964,-66.276598741580372
2025-02-01,2,72,17.304390073977629,-35.627500000000055,-52.931890073977684
2025-02-01,2,73,18.747062653136254,-17.672516666666677,-36.419579319802935
2025-02-01,2,74,24.386486626837268,-5.137766666666721,-29.524253293503989
2025-02-01,2,75,26.873431219054964,6.6420833333333276,-20.231347885721636
2025-02-01,2,76,25.718752066303448,46.783916666666606,21.065164600363158
2025-02-01,2,77,60.135848829955194,78.991283333333442,18.855434503378248
2025-02-01,2,78,109.81553343292096,83.334166666666533,-26.481366766254425
2025-02-01,2,79,108.98297585274622,78.841483333333443,-30.141492519412779
2025-02-01,2,80,104.23504921170252,104.5936,0.35855078829747811
2025-02-01,2,81,125.66946120388123,133.89291666666668,8.2234554627854521
2025-02-01,2,82,137.79561584013285,110.01498333333332,-27.780632506799535
2025-02-01,2,83,159.10238209342651,131.56521666666654,-27.537165426759969
2025-02-01,2,84,195.57432405198901,194.15791666666669,-1.4164073853223158
2025-02-01,2,85,224.21174993018926,192.12701666666666,-32.084733263522594
2025-02-01,2,86,260.75050871400708,182.65113333333343,-78.099375380673649
2025-02-01,2,87,307.0505040498486,210.03624999999997,-97.014254049848631
2025-02-01,2,88,346.78036744016862,264.89225000000005,-81.888117440168571
2025-02-01,2,89,384.47975467438158,342.59160000000003,-41.888154674381553
2025-02-01,2,90,427.16619029148552,416.26916666666665,-10.897023624818871
2025-02-01,2,91,459.45612679242612,450.69499999999994,-8.7611267924261824
2025-02-01,2,92,485.43241948630043,472.99110000000002,-12.441319486300415
2025-02-01,2,93,554.9569324392462,518.72749999999996,-36.229432439246239
2025-02-01,2,94,605.95508437435126,595.36485000000005,-10.590234374351212
2025-02-01,2,95,651.7080007500831,632.28356666666662,-19.424434083416486
2025-02-01,2,96,697.80317119715039,647.26666666666665,-50.536504530483739
2025-02-01,2,97,749.93422535584523,726.63495,-23.299275355845225
