history_day,hour,complete_at_slot,initial_soc,delta,value,J_E,J_E_plus_delta,seconds
5,6,900,6000,100,0.89792999999990575,60148.842601290373,60059.049601290382,0.015076625015353784
6,6,1044,6000,100,0.89475529825002009,61654.65898621286,61565.183456387858,0.015830458010896109
7,6,1188,6000,100,0.89793000000005119,59474.413789120023,59384.620789120017,0.014844915989669971
8,6,1332,6000,100,0.89792999999997847,57840.276085881625,57750.483085881628,0.014081959001487121
9,6,1476,6000,100,0.76655555555556931,24687.5484918129,24610.892936257344,0.012815708993002772
10,6,1620,6000,100,0.76655555555556931,26866.893966637428,26790.238411081871,0.013954541995190084
11,6,1764,6000,100,0.89792999999997847,60239.628690044025,60149.835690044027,0.014317790992208757
12,6,1908,6000,100,0.89298000000002498,58337.576259733505,58248.278259733503,0.014686332986457273
13,6,2052,6000,100,0.89298000000002498,59006.068750535007,58916.770750535004,0.015094165995833464
14,6,2196,6000,100,0.89626011841661235,59965.559530036109,59875.933518194448,0.015151958985370584
15,6,2340,6000,100,0.89793000000005119,56535.452492849312,56445.659492849307,0.015055042007588781
16,6,2484,6000,100,0.7665555555555329,22825.904012803556,22749.248457248003,0.013246458998764865
17,6,2628,6000,100,0.75978000000002799,25628.92370345999,25552.945703459987,0.013873333984520286
18,6,2772,6000,100,0.89298000000002498,58958.936025139024,58869.638025139022,0.015026915993075818
19,6,2916,6000,100,0.89792999999997847,58418.888804692186,58329.095804692188,0.01614424999570474
20,6,3060,6000,100,0.89270999999993361,54780.350807731746,54691.079807731752,0.015180208996753208
21,6,3204,6000,100,0.89297999999995226,58851.439823693996,58762.141823694001,0.01393320900388062
22,6,3348,6000,100,0.89777997466662784,56591.941231942059,56502.163234475396,0.014229582986445166
23,6,3492,6000,100,0.76631692299837595,21257.231587007882,21180.599894708044,0.013208874006522819
24,6,3636,6000,100,0.75978000000002799,23169.882249669587,23093.904249669584,0.013883125997381285
25,6,3780,6000,100,0.89298000000002498,57555.602313346695,57466.304313346693,0.014514624999719672
26,6,3924,6000,100,0.88577777777769373,55111.961124359164,55023.383346581395,0.015430750005180016
27,6,4068,6000,100,0.89297999999995226,57013.131737455071,56923.833737455076,0.014348251002957113
28,6,4212,6000,100,0.88577777777776645,52714.650724668027,52626.07294689025,0.015110666994587518
29,6,4356,6000,100,0.89297999999995226,52409.515076327429,52320.217076327433,0.013916958007030189
2,12,504,6000,100,0.50566666666665694,23894.914725926526,23844.348059259861,0.013640791992656887
3,12,648,6000,100,0.63133333333331398,38065.698688338452,38002.565355005121,0.014264665995142423
4,12,792,6000,100,0.84383999999990922,59172.399184918359,59088.015184918368,0.014722624007845297
5,12,936,6000,100,0.83711111111115311,58090.829155995001,58007.118044883886,0.014984666995587759
6,12,1080,6000,100,0.84383999999998194,59743.615984848351,59659.231984848353,0.047085624988540076
7,12,1224,6000,100,0.83711111111115311,57488.52243621755,57404.811325106435,0.014376001025084406
8,12,1368,6000,100,0.84384000000005477,45710.958174058338,45626.574174058333,0.013728998994338326
9,12,1512,6000,100,0.63133333333331398,24478.847043272835,24415.713709939504,0.012446958993677981
10,12,1656,6000,100,0.6313333333333867,37690.370605369637,37627.237272036298,0.013974333007354289
11,12,1800,6000,100,0.83711111111108039,57384.594678572583,57300.883567461475,0.014139833016088232
12,12,1944,6000,100,0.83711111111100767,57061.589560785796,56977.878449674696,0.014667624986032024
13,12,2088,6000,100,0.8384317751802155,57457.745550014995,57373.902372496974,0.015394083005958237
14,12,2232,6000,100,0.84383999999998194,58907.84592799333,58823.461927993332,0.015147375001106411
15,12,2376,6000,100,0.83711111111100767,43593.317164486434,43509.606053375333,0.014371375000337139
16,12,2520,6000,100,0.50566666666669335,22800.750048791175,22750.183382124505,0.012721082995994948
17,12,2664,6000,100,0.49843968768895136,35672.792492588349,35622.948523819454,0.013581541992607526
18,12,2808,6000,100,0.84383999999998194,57919.418736009997,57835.034736009999,0.015491749989450909
19,12,2952,6000,100,0.83711111111108039,54646.798756979872,54563.087645868764,0.014484125014860183
20,12,3096,6000,100,0.83711111111108039,54768.540314087222,54684.829202976114,0.013688334001926705
21,12,3240,6000,100,0.84154226388141984,57667.871771405007,57583.717545016865,0.013943332989583723
22,12,3384,6000,100,0.83711111111115311,44330.797716225417,44247.086605114302,0.013762125003268011
23,12,3528,6000,100,0.49588888888887594,22044.627052500375,21995.038163611487,0.012325083007453941
24,12,3672,6000,100,0,33731.459723463326,33731.459723463326,0.013430999999400228
25,12,3816,6000,100,0.83711111111115311,54641.807119821482,54558.096008710367,0.030841790998238139
26,12,3960,6000,100,0.83711111111115311,54690.803327158719,54607.092216047604,0.014412041986361146
27,12,4104,6000,100,0.83711111111115311,53678.043661795011,53594.332550683896,0.014060582994716242
28,12,4248,6000,100,0.81200000000004369,52492.369439969079,52411.169439969075,0.013943000012659468
29,12,4392,6000,100,0.81220327195929709,41447.825965366297,41366.605638170367,0.013332999995327555
2,18,540,6000,100,1.2100499999999739,23087.295130160368,22966.290130160371,0.014246582999476232
3,18,684,6000,100,1.2100500000000465,50569.107819483717,50448.102819483713,0.015680249998695217
4,18,828,6000,100,1.213469999999943,58344.990627728832,58223.643627728838,0.014563916993211024
5,18,972,6000,100,1.2134639307833277,59697.882942212229,59576.536549133896,0.015707291007856838
6,18,1116,6000,100,1.213469999999943,57596.520809184345,57475.173809184351,0.014821208998910151
7,18,1260,6000,100,1.2134501584333339,58464.78949637778,58343.444480534446,0.014322999995783903
8,18,1404,6000,100,1.2134442284000033,32078.154535383579,31956.810112543579,0.012581624992890283
9,18,1548,6000,100,1.2100499999999739,23206.4523823087,23085.447382308703,0.013226207986008376
10,18,1692,6000,100,1.2100500000000465,50326.639564294332,50205.634564294327,0.014479249992291443
11,18,1836,6000,100,1.2134314931500558,56065.231984442871,55943.888835127866,0.015022417006548494
12,18,1980,6000,100,1.2134595408999302,57127.728207694439,57006.382253604446,0.016015250002965331
13,18,2124,6000,100,1.2134700000000158,57986.353903425741,57865.006903425739,0.016709791991161183
14,18,2268,6000,100,1.2134700000000158,57326.962335666038,57205.615335666036,0.015760250011226162
15,18,2412,6000,100,1.2134700000000158,30612.701365977162,30491.35436597716,0.013216998995631002
16,18,2556,6000,100,1.2100500000000103,22481.556917329945,22360.551917329944,0.013643209007568657
17,18,2700,6000,100,1.2100500000000465,48793.512302980569,48672.507302980564,0.015094542017322965
18,18,2844,6000,100,1.2134700000000158,56471.162481886262,56349.81548188626,0.01576424999802839
19,18,2988,6000,100,1.2134376979334047,53259.58398247834,53138.240212684999,0.015763750998303294
20,18,3132,6000,100,1.2133800000000337,56257.06510937983,56135.727109379826,0.013841543011949398
21,18,3276,6000,100,1.2134700000000158,57573.186231508807,57451.839231508806,0.014574373999494128
22,18,3420,6000,100,1.2134540832499987,29593.487579574998,29472.142171249998,0.013010458002099767
23,18,3564,6000,100,1.2100500000000103,21153.299777775381,21032.29477777538,0.013223625006503426
24,18,3708,6000,100,1.2100499999999739,47676.245802620499,47555.240802620501,0.01450420799665153
25,18,3852,6000,100,1.2134197079000295,53116.179670322563,52994.83769953256,0.015722041003755294
26,18,3996,6000,100,1.2134350289166469,55181.712003754845,55060.36850086318,0.014201458005118184
27,18,4140,6000,100,1.2134615818333259,51157.129015521678,51035.782857338345,0.015174249987467192
28,18,4284,6000,100,1.213379999999961,52691.178795448344,52569.840795448348,0.014545750003890134
29,18,4428,6000,100,1.2134700000000158,29385.38353567796,29264.036535677958,0.012588459008838981
143,0,20736,6000,100,0.39366000000001805,11211.689664820002,11172.32366482,0.013410208004643209
144,0,20880,6000,100,0.47166666666664242,29853.906576614136,29806.739909947471,0.013818790990626439
145,0,21024,6000,100,0.47544444444443795,32609.31210552893,32561.767661084486,0.013498832980985753
146,0,21168,6000,100,0.47433333333330663,30004.542859522771,29957.109526189441,0.013193958002375439
147,0,21312,6000,100,0.47544444444443795,31395.256215754504,31347.71177131006,0.045058249990688637
148,0,21456,6000,100,0.47544444444443795,32716.767010270931,32669.222565826487,0.0130436239996925
149,0,21600,6000,100,0.3938035791333459,11546.645595956667,11507.265238043332,0.013139250004314817
150,0,21744,6000,100,0.39402000000000043,11284.362940476252,11244.960940476252,0.013721916009671986
151,0,21888,6000,100,0.47544444444443795,43807.654813830231,43760.110369385788,0.013812334014801309
152,0,22032,6000,100,0.47544444444443795,42913.074212381536,42865.529767937092,0.013920540994149633
153,0,22176,6000,100,0.47544444444443795,42275.570042586914,42228.025598142471,0.015151624989812262
154,0,22320,6000,100,0.47544444444443795,42722.917552886065,42675.373108441621,0.013515166996512562
155,0,22464,6000,100,0.47544444444443795,44058.612757872012,44011.068313427568,0.013988040998810902
156,0,22608,6000,100,0.39501000000000203,18551.187403826665,18511.686403826665,0.013290584000060335
157,0,22752,6000,100,0.39501000000003844,17546.255365655001,17506.754365654997,0.013223957997979596
158,0,22896,6000,100,0.47544444444443795,40451.177254926108,40403.632810481664,0.015296999990823679
159,0,23040,6000,100,0.47544444444443795,44282.032186650555,44234.487742206111,0.014272708009229973
160,0,23184,6000,100,0.47544444444443795,44371.258330257224,44323.71388581278,0.014154250005958602
161,0,23328,6000,100,0.47544444444443795,48121.283655191321,48073.739210746877,0.014062292000744492
162,0,23472,6000,100,0.47544444444443795,45355.372148202652,45307.827703758208,0.013895916999899782
163,0,23616,6000,100,0.39501000000003844,17407.946469380004,17368.44546938,0.013033334005740471
164,0,23760,6000,100,0.39401999999998227,17328.516202224997,17289.114202224999,0.013495208986569196
165,0,23904,6000,100,0.47544444444451073,43615.517635643337,43567.973191198886,0.014116291014943272
166,0,24048,6000,100,0.47544444444443795,45338.486803365151,45290.942358920707,0.030094540998106822
167,0,24192,6000,100,0.47544444444443795,46751.048120841544,46703.5036763971,0.01453170798777137
168,0,24336,6000,100,0.47544444444443795,43808.432289542608,43760.887845098165,0.014009042002726346
169,0,24480,6000,100,0.47544444444443795,42436.529000236209,42388.984555791765,0.01449879098800011
170,0,24624,6000,100,0.39402000000001863,16118.576618488332,16079.17461848833,0.01327504200162366
142,6,20628,6000,100,0,13023.607831849524,13023.607831849524,0.013863332991604693
143,6,20772,6000,100,0,15441.164784871216,15441.164784871216,0.01299750100588426
144,6,20916,6000,100,0.52641710022780897,29734.650481541343,29682.008771518562,0.012958666004124098
145,6,21060,6000,100,0.75006000000001227,33136.149953365923,33061.143953365921,0.012983957989490591
146,6,21204,6000,100,0.687960000000021,30110.323752180964,30041.527752180962,0.012897541993879713
147,6,21348,6000,100,0.75006000000001227,31789.321828256707,31714.315828256706,0.012870083010056987
148,6,21492,6000,100,0.75978000000002799,30541.634724476811,30465.656724476808,0.01258158301061485
149,6,21636,6000,100,0,13245.729510182509,13245.729510182509,0.012300291011342779
150,6,21780,6000,100,0,16060.640421304772,16060.640421304772,0.012798999989172444
151,6,21924,6000,100,0.78822000000000114,44904.106649231289,44825.284649231289,0.013204750008299015
152,6,22068,6000,100,0.7740899999999965,43905.155755660468,43827.746755660468,0.046634124999400228
153,6,22212,6000,100,0.78822000000000114,43547.731963099461,43468.909963099461,0.014663915993878618
154,6,22356,6000,100,0.76655555555560573,43557.430159099931,43480.774603544371,0.013682125005288981
155,6,22500,6000,100,0.78273522593342937,42414.37694987905,42336.103427285707,0.013865957997040823
156,6,22644,6000,100,0,19860.800085726649,19860.800085726649,0.012645334005355835
157,6,22788,6000,100,0,21338.130751105557,21338.130751105557,0.012424334010574967
158,6,22932,6000,100,0.75006000000001227,41077.257649736996,41002.251649736994,0.01452741700632032
159,6,23076,6000,100,0.77408393884994442,45193.355094648374,45115.946700763379,0.013737916990066878
160,6,23220,6000,100,0.78822000000000114,45412.959215854673,45334.137215854673,0.013721541996346787
161,6,23364,6000,100,0.84797999999995222,49348.039096175802,49263.241096175807,0.013751916005276144
162,6,23508,6000,100,0.78822000000000114,43716.132946874575,43637.310946874575,0.013546374990255572
163,6,23652,6000,100,0,18761.191822327077,18761.191822327077,0.012362083012703806
164,6,23796,6000,100,0,21135.563788017716,21135.563788017716,0.012920124005177058
165,6,23940,6000,100,0.78831000000005591,45062.058115602485,44983.22711560248,0.01402650099771563
166,6,24084,6000,100,0.78831000000005591,46336.787051129417,46257.956051129411,0.013647041996591724
167,6,24228,6000,100,0.78822000000000114,47709.240013678806,47630.418013678805,0.013966583006549627
168,6,24372,6000,100,0.7740899999999965,45011.373435268419,44933.964435268419,0.013608042994746938
169,6,24516,6000,100,0.78822000000000114,40630.45052740736,40551.62852740736,0.0139341250032885
142,12,20664,6000,100,0,13277.2229820594,13277.2229820594,0.013206333998823538
143,12,20808,6000,100,0,17692.702331105786,17692.702331105786,0.01274008399923332
144,12,20952,6000,100,0.45699999999997087,32513.526426002656,32467.826426002659,0.012557750989799388
145,12,21096,6000,100,0.49920776195551297,32682.371850633699,32632.451074438148,0.012920250010211021
146,12,21240,6000,100,0.4901111111111095,32310.87528350584,32261.864172394729,0.012500208016717806
147,12,21384,6000,100,0,32549.221784774134,32549.221784774134,0.012201500998344272
148,12,21528,6000,100,0.4901111111111095,27983.471143331255,27934.460032220144,0.01213429200288374
149,12,21672,6000,100,0,13677.053386760699,13677.053386760699,0.012246916987351142
150,12,21816,6000,100,0,20351.992002227584,20351.992002227584,0.012671916992985643
151,12,21960,6000,100,0.80188888888893417,43285.291686564968,43205.102797676074,0.013234292011475191
152,12,22104,6000,100,0.80188888888886145,44923.461810585119,44843.272921696233,0.013303626008564606
153,12,22248,6000,100,0.74377777777779552,41979.795815374964,41905.418037597185,0.013967457998660393
154,12,22392,6000,100,0.80188888888893417,43962.836903795716,43882.648014906823,0.01306008298706729
155,12,22536,6000,100,0.80188888888893417,38030.820204361313,37950.631315472419,0.012853250009356998
156,12,22680,6000,100,0.4901111111111095,20870.52687727601,20821.515766164899,0.012659584011998959
157,12,22824,6000,100,0.45700000000000729,24325.613513639579,24279.913513639578,0.01255487599701155
158,12,22968,6000,100,0.80188888888886145,43121.902892704915,43041.714003816029,0.014546875012456439
159,12,23112,6000,100,0.80188888888893417,44734.968057708247,44654.779168819354,0.013073165988316759
160,12,23256,6000,100,0.80188888888893417,46572.647720922716,46492.458832033823,0.013165458018193021
161,12,23400,6000,100,0.81233999999996742,46131.834372576668,46050.600372576671,0.013009375004912727
162,12,23544,6000,100,0.81234000000004014,39654.79610038214,39573.562100382136,0.013278875005198643
163,12,23688,6000,100,0,19324.814484469054,19324.814484469054,0.012320333989919163
164,12,23832,6000,100,0,25274.256849054997,25274.256849054997,0.012639625012525357
165,12,23976,6000,100,0.81200000000004369,44446.314126274818,44365.114126274813,0.012945416005095467
166,12,24120,6000,100,0.81199999999997086,44903.642039288745,44822.442039288748,0.01329616698785685
167,12,24264,6000,100,0.81233999999996742,46440.561196976669,46359.327196976672,0.01353262500197161
168,12,24408,6000,100,0.80188888888886145,44255.456107689701,44175.267218800815,0.013383166005951352
169,12,24552,6000,100,0.74377777777786835,36285.588716551109,36211.210938773322,0.013835958001436666
142,18,20700,6000,100,1.2119399999999587,17414.0908461094,17292.896846109405,0.013900249992730096
143,18,20844,6000,100,1.2119399999999951,22235.803563327449,22114.609563327449,0.014235709008062258
144,18,20988,6000,100,1.2134700000000158,32832.461299086666,32711.114299086665,0.01373041702026967
145,18,21132,6000,100,1.2134700000000158,30221.721496368147,30100.374496368146,0.014060165995033458
146,18,21276,6000,100,1.2134699999999794,31807.267019649807,31685.92001964981,0.014392791999853216
147,18,21420,6000,100,1.2134700000000158,32502.881860990779,32381.534860990778,0.013893458002712578
148,18,21564,6000,100,1.2134700000000158,25728.500322292923,25607.153322292921,0.012421791994711384
149,18,21708,6000,100,1.2119399999999951,17384.807903562363,17263.613903562364,0.012962249995325692
150,18,21852,6000,100,1.2119399999999587,32104.258918370189,31983.064918370193,0.01490929200372193
151,18,21996,6000,100,1.213469999999943,42759.905336589873,42638.558336589878,0.01446366700110957
152,18,22140,6000,100,1.2134700000000884,41891.078348310133,41769.731348310124,0.013992917010909878
153,18,22284,6000,100,1.2134700000000158,42597.258593472077,42475.911593472076,0.015630750014679506
154,18,22428,6000,100,1.2134700000000884,43534.411247323194,43413.064247323186,0.013204707996919751
155,18,22572,6000,100,1.2134699999999794,30040.3903396366,29919.043339636602,0.012308958976063877
156,18,22716,6000,100,1.2125700000000144,21774.31619358934,21653.059193589339,0.012787417013896629
157,18,22860,6000,100,1.2130439179499808,32112.287670674323,31990.983278879325,0.014720915976795368
158,18,23004,6000,100,1.2134700000000158,43895.728859093899,43774.381859093897,0.015902041996014304
159,18,23148,6000,100,1.2134700000000158,44142.380340682219,44021.033340682217,0.014459832993452437
160,18,23292,6000,100,1.213469999999943,47815.721332604917,47694.374332604923,0.013981708005303517
161,18,23436,6000,100,1.2134700000000158,45111.64989932593,44990.302899325929,0.01470425100706052
162,18,23580,6000,100,1.2134700000000158,29582.499680675472,29461.15268067547,0.012458790995879099
163,18,23724,6000,100,1.2128616968999995,21268.733906367386,21147.447736677386,0.012921416011522524
164,18,23868,6000,100,1.2128145956999652,35570.657068960005,35449.375609390008,0.015173249004874378
165,18,24012,6000,100,1.2134700000000158,44853.025377838669,44731.678377838667,0.014666041999589652
166,18,24156,6000,100,1.2134700000000158,45916.805053373333,45795.458053373331,0.013183542003389448
167,18,24300,6000,100,1.2134700000000158,44005.977252885954,43884.630252885952,0.014428583002882078
168,18,24444,6000,100,1.213469999999943,41970.627597742881,41849.280597742887,0.013986874997499399
169,18,24588,6000,100,1.2134700000000158,29166.621474578787,29045.274474578786,0.013863917003618553
326,0,47088,6000,100,0.47544444444443795,47715.381755266048,47667.837310821604,0.015120958021725528
327,0,47232,6000,100,0.47544444444443795,46833.687405748526,46786.142961304082,0.01440629200078547
328,0,47376,6000,100,0.47544444444451073,48167.228587028258,48119.684142583807,0.014782040991121903
329,0,47520,6000,100,0.47544444444443795,48665.701590064382,48618.157145619938,0.014416500009247102
330,0,47664,6000,100,0.47544444444451073,48096.403588554655,48048.859144110203,0.014196374992025085
331,0,47808,6000,100,0.47433333333334304,16687.995331840553,16640.561998507219,0.012576126013300382
332,0,47952,6000,100,0.47466666666667151,17766.478947296728,17719.012280630061,0.013121833006152883
333,0,48096,6000,100,0.47544444444443795,51176.941756704822,51129.397312260378,0.014237541981856339
334,0,48240,6000,100,0.47544444444443795,55596.30375681333,55548.759312368886,0.015167916004429571
335,0,48384,6000,100,0.47544444444443795,57379.521201118019,57331.976756673575,0.014221167002688162
336,0,48528,6000,100,0.47544444444443795,55804.349468821652,55756.805024377209,0.014660540997283533
337,0,48672,6000,100,0.47544444444443795,56048.181200198356,56000.636755753912,0.014448917005211115
338,0,48816,6000,100,0.47544444444443795,21253.03330568222,21205.488861237776,0.012795876013115048
339,0,48960,6000,100,0.47544444444443795,22416.728463463889,22369.184019019445,0.012441375001799315
340,0,49104,6000,100,0.47544444444443795,56532.544847697034,56485.00040325259,0.014500041987048462
341,0,49248,6000,100,0.47544444444443795,56527.449739851618,56479.905295407174,0.014601043018046767
342,0,49392,6000,100,0.47544444444443795,56685.226638603759,56637.682194159315,0.014554916007909924
343,0,49536,6000,100,0.47544444444451073,56780.771160836557,56733.226716392106,0.015529333002632484
344,0,49680,6000,100,0.47544444444443795,55274.254499979994,55226.71005553555,0.014634792009019293
345,0,49824,6000,100,0.47544444444443795,22377.073168010495,22329.528723566051,0.012335332983639091
346,0,49968,6000,100,0.47544444444443795,22445.556147030864,22398.01170258642,0.014519708987791091
347,0,50112,6000,100,0.47544444444443795,57382.010234954942,57334.465790510498,0.015643582984921522
348,0,50256,6000,100,0.47544444444443795,57686.276714497442,57638.732270052999,0.015084208993357606
349,0,50400,6000,100,0.47544444444443795,57754.064471856676,57706.520027412233,0.01467320800293237
350,0,50544,6000,100,0.47544444444443795,56669.424922630475,56621.880478186031,0.015731375009636395
351,0,50688,6000,100,0.47544444444443795,56567.70813196111,56520.163687516666,0.013698499999009073
352,0,50832,6000,100,0.47544444444447437,22191.968634400066,22144.424189955618,0.013192124984925613
353,0,50976,6000,100,0.47544444444443795,22070.232038975741,22022.687594531297,0.012862626012065448
325,6,46980,6000,100,0.7174799999999959,19285.9255102034,19214.177510203401,0.015192291000857949
326,6,47124,6000,100,0.88577777777769373,49109.339063963846,49020.761286186076,0.015123916004085913
327,6,47268,6000,100,0.84933333333334304,48097.364554563042,48012.431221229708,0.014345083996886387
328,6,47412,6000,100,0.88577777777783917,49472.682190943444,49384.10441316566,0.015328624998801388
329,6,47556,6000,100,0.88577777777769373,50108.216805358185,50019.639027580415,0.014726916997460648
330,6,47700,6000,100,0.86120999999999182,46907.878782413623,46821.757782413624,0.052353250022861175
331,6,47844,6000,100,0.72375937200002227,16850.08584305078,16777.709905850777,0.012545707999379374
332,6,47988,6000,100,0.72827999999997706,20724.455955851645,20651.627955851647,0.013420707997283898
333,6,48132,6000,100,0.88577777777776645,53761.025272168685,53672.447494390908,0.014600249007344246
334,6,48276,6000,100,0.89297999999995226,57027.864274127081,56938.566274127086,0.01467395800864324
335,6,48420,6000,100,0.89298000000002498,58831.233997419338,58741.935997419336,0.014130708004813641
336,6,48564,6000,100,0.89297999999995226,57407.913131548812,57318.615131548817,0.014888666002661921
337,6,48708,6000,100,0.8969602784999734,54779.074818466499,54689.378790616502,0.014353792008478194
338,6,48852,6000,100,0.76655555555556931,22325.475894292733,22248.820338737176,0.013158208996173926
339,6,48996,6000,100,0.76655555555556931,25973.674859274506,25897.019303718949,0.013173998988349922
340,6,49140,6000,100,0.89272443754998676,58002.757388753402,57913.484944998403,0.014607416000217199
341,6,49284,6000,100,0.89295658410002943,57949.562043566613,57860.26638515661,0.014551540996762924
342,6,49428,6000,100,0.89297999999995226,58188.418375002213,58099.120375002218,0.014554583001881838
343,6,49572,6000,100,0.89289421999994378,58193.761529433788,58104.472107433794,0.015641291000065394
344,6,49716,6000,100,0.89298000000002498,54226.490615186893,54137.19261518689,0.014176124997902662
345,6,49860,6000,100,0.76655555555556931,23382.43777190286,23305.782216347303,0.012670334006543271
346,6,50004,6000,100,0.76655555555556931,25870.130385127635,25793.474829572078,0.013995168003020808
347,6,50148,6000,100,0.89297999999995226,58983.945183447555,58894.64718344756,0.014692416996695101
348,6,50292,6000,100,0.89297999999995226,59211.802146805574,59122.504146805579,0.01483583400840871
349,6,50436,6000,100,0.89792999999997847,59331.170500655775,59241.377500655777,0.031026374999783002
350,6,50580,6000,100,0.89298000000002498,58177.028621705598,58087.730621705596,0.015101998986210674
351,6,50724,6000,100,0.89724850141668866,55364.522564624036,55274.797714482367,0.013731957995332778
352,6,50868,6000,100,0.76655555555556931,23193.997807250722,23117.342251695165,0.012746041989885271
325,12,47016,6000,100,0,29276.794748821667,29276.794748821667,0.015534250007476658
326,12,47160,6000,100,0.80188888888886145,45827.048364592469,45746.859475703583,0.015636041003745049
327,12,47304,6000,100,0.81200000000004369,48305.103074320381,48223.903074320377,0.016833916015457362
328,12,47448,6000,100,0.81200000000004369,48022.456244640372,47941.256244640368,0.015536666993284598
329,12,47592,6000,100,0.81199999999997086,47744.566753350286,47663.366753350288,0.016576374007854611
330,12,47736,6000,100,0.81202194079814949,38916.814520506487,38835.612326426672,0.015485291994991712
331,12,47880,6000,100,0,18862.409868489831,18862.409868489831,0.0142614170035813
332,12,48024,6000,100,0.49588888888887594,30355.165223019998,30305.57633413111,0.015578291015117429
333,12,48168,6000,100,0.83711111111115311,54469.530328932335,54385.819217821219,0.017635124997468665
334,12,48312,6000,100,0.83711111111108039,56569.518581770659,56485.807470659551,0.016807707987027243
335,12,48456,6000,100,0.83711111111108039,55715.686268413025,55631.975157301917,0.015293582007871009
336,12,48600,6000,100,0.83711111111108039,56586.486117748311,56502.775006637203,0.017857999991974793
337,12,48744,6000,100,0.83711111111108039,43007.391149941497,42923.680038830389,0.015248083000187762
338,12,48888,6000,100,0.5790232889666731,22844.596892422531,22786.694563525863,0.014930458011804149
339,12,49032,6000,100,0.50566666666665694,34871.976797028328,34821.410130361663,0.016023666015826166
340,12,49176,6000,100,0.83711111111115311,56480.130902622041,56396.419791510925,0.015786583986482583
341,12,49320,6000,100,0.83711111111115311,56328.915759751631,56245.204648640516,0.057284666996565647
342,12,49464,6000,100,0.84383999999998194,56462.43916854835,56378.055168548352,0.016551208987948485
343,12,49608,6000,100,0.83711111111115311,56607.507832068222,56523.796720957107,0.015328291992773302
344,12,49752,6000,100,0.83711111111115311,42877.206219504878,42793.495108393763,0.01484441700449679
345,12,49896,6000,100,0.63133333333331398,23307.273829053334,23244.140495720003,0.013824459005263634
346,12,50040,6000,100,0.7333333333333576,36073.847106037094,36000.513772703758,0.013853708005626686
347,12,50184,6000,100,0.83711111111108039,57976.139399538275,57892.428288427167,0.016016333014704287
348,12,50328,6000,100,0.83711111111115311,57523.544006830787,57439.832895719672,0.015954791990225203
349,12,50472,6000,100,0.83711111111115311,56644.594323640733,56560.883212529618,0.017165083991130814
