t,start_h,end_h,load_kw,pv_kw,surplus_pv_kw,price_yuan_per_kwh
65,10.666666666666666,10.833333333333332,5844.9948,7197.4315,1352.4366999999993,0.799
66,10.833333333333332,11.0,5839.0587,7303.1142,1464.0555000000004,0.5025
67,11.0,11.166666666666666,5838.7103,7387.6848,1548.9745000000003,0.4662
68,11.166666666666666,11.333333333333332,5823.4378,7459.227,1635.7892000000002,0.5007
69,11.333333333333332,11.5,5814.7932,7520.7191,1705.9259000000002,0.4827
70,11.5,11.666666666666666,5832.3951,7568.2039,1735.8088000000007,0.4785
71,11.666666666666666,11.833333333333332,5712.901,7592.1539,1879.2529000000004,0.4662
72,11.833333333333332,12.0,5519.4607,7601.0433,2081.5826000000006,0.4432
73,12.0,12.166666666666666,5494.7907,7612.316,2117.5253000000002,0.4411
74,12.166666666666666,12.333333333333332,5514.4524,7602.6524,2088.2,0.4551
75,12.333333333333332,12.5,5485.829,7554.1872,2068.3582000000006,0.4463
76,12.5,12.666666666666666,5462.3628,7472.7384,2010.3756000000003,0.4113
77,12.666666666666666,12.833333333333332,5566.1066,7393.4172,1827.3105999999998,0.5682
78,12.833333333333332,13.0,5725.7548,7312.7979,1587.0430999999999,0.8279
79,13.0,13.166666666666666,5739.4957,7194.541,1455.0452999999998,0.8636
80,13.166666666666666,13.333333333333332,5714.6836,7053.1371,1338.4534999999996,0.8416
81,13.333333333333332,13.5,5717.8505,6910.4064,1192.5559000000003,0.8618
82,13.5,13.666666666666666,5708.2486,6772.4075,1064.1589000000004,0.8623
83,13.666666666666666,13.833333333333332,5696.9182,6607.36,910.4417999999996,0.9026
84,13.833333333333332,14.0,5692.2983,6412.5085,720.2101999999995,0.9754
85,14.0,14.166666666666666,5687.1291,6214.0158,526.8867,1.0002
86,14.166666666666666,14.333333333333332,5678.962,6000.7112,321.7491999999993,0.9978
87,14.333333333333332,14.5,5669.4508,5766.9816,97.53080000000045,1.0271
88,14.5,14.666666666666666,5664.1948,5521.5066,0,1.0906
89,14.666666666666666,14.833333333333332,5672.7011,5268.781,0,0.9376
90,14.833333333333332,15.0,5682.2544,5009.7152,0,0.6694
91,15.0,15.166666666666666,5669.0195,4743.4484,0,0.66
92,15.166666666666666,15.333333333333332,5656.3651,4471.224,0,0.7217
93,15.333333333333332,15.5,5657.0867,4188.2025,0,0.7308
94,15.5,15.666666666666666,5662.6008,3889.3931,0,0.7534
95,15.666666666666666,15.833333333333332,5669.2596,3594.5946,0,0.7823
96,15.833333333333332,16.0,5673.4767,3303.8878,0,0.8055
97,16.0,16.166666666666664,5671.0146,2998.4247,0,0.8271
98,16.166666666666664,16.333333333333332,5661.5926,2687.4131,0,0.8519
99,16.333333333333332,16.5,5665.8922,2383.1779,0,0.8791
100,16.5,16.666666666666664,5689.0372,2089.1246,0,0.9024
101,16.666666666666664,16.833333333333332,5603.6614,1791.0829,0,0.9163
102,16.833333333333332,17.0,5466.7124,1501.7283,0,0.9264
103,17.0,17.166666666666664,5467.3939,1255.1723,0,0.9462
104,17.166666666666664,17.333333333333332,5464.727,1036.3323,0,0.9742
105,17.333333333333332,17.5,5492.4458,836.7775,0,0.9862
106,17.5,17.666666666666664,5621.7308,665.2313,0,0.976
107,17.666666666666664,17.833333333333332,5091.2126,516.6758,0,1.0742
108,17.833333333333332,18.0,4208.5688,386.6731,0,1.2313
109,18.0,18.166666666666664,4122.7611,275.7933,0,1.2561
110,18.166666666666664,18.333333333333332,4255.9358,182.9526,0,1.2447
111,18.333333333333332,18.5,4225.9524,108.3414,0,1.2545
112,18.5,18.666666666666664,4233.3384,54.3121,0,1.2522
113,18.666666666666664,18.833333333333332,4246.4625,18.6569,0,1.2881
114,18.833333333333332,19.0,4239.1795,0.2753,0,1.3466
115,19.0,19.166666666666664,4244.6684,0.2296,0,1.3523
116,19.166666666666664,19.333333333333332,4251.9187,0.6007,0,1.3445
117,19.333333333333332,19.5,4256.6813,0.0,0,1.3483
118,19.5,19.666666666666664,4267.3947,0.0,0,1.349
119,19.666666666666664,19.833333333333332,4269.975,0.0,0,1.3473
120,19.833333333333332,20.0,4268.6702,0.0,0,1.3482
121,20.0,20.166666666666664,4282.2245,0.0,0,1.3513
122,20.166666666666664,20.333333333333332,4291.7049,0.0,0,1.34
123,20.333333333333332,20.5,4291.3611,0.0,0,1.3489
124,20.5,20.666666666666664,4293.9182,0.0,0,1.3952
125,20.666666666666664,20.833333333333332,4295.2135,0.0,0,1.2226
126,20.833333333333332,21.0,4302.0307,0.0,0,0.9332
127,21.0,21.166666666666664,4320.9618,0.0,0,0.9068
128,21.166666666666664,21.333333333333332,4302.3292,0.0,0,0.9371
129,21.333333333333332,21.5,4322.6758,0.0,0,0.9371
130,21.5,21.666666666666664,4428.8083,0.0,0,0.9871
131,21.666666666666664,21.833333333333332,4030.1614,0.0,0,0.7764
132,21.833333333333332,22.0,3362.7419,0.0,0,0.4209
133,22.0,22.166666666666664,3309.3934,0.0,0,0.3859
134,22.166666666666664,22.333333333333332,3412.9563,0.0,0,0.4368
135,22.333333333333332,22.5,3381.9313,0.0,0,0.4198
136,22.5,22.666666666666664,3386.5592,0.0,0,0.4186
137,22.666666666666664,22.833333333333332,3400.4846,0.0,0,0.4241
138,22.833333333333332,23.0,3399.2426,0.0,0,0.4237
139,23.0,23.166666666666664,3406.9809,0.0,0,0.4248
140,23.166666666666664,23.333333333333332,3416.1518,0.0,0,0.424
141,23.333333333333332,23.5,3421.9811,0.0,0,0.422
142,23.5,23.666666666666664,3429.6923,0.0,0,0.424
143,23.666666666666664,23.833333333333332,3439.061,0.0,0,0.4271
144,23.833333333333332,24.0,3444.7259,0.0,0,0.4276
