t,start_h,end_h,no_ess_grid_kw,optimal_grid_kw,charge_kw,discharge_kw,state
66,10.833333333333332,11.0,0.0,0.0,1464.0555000000004,0.0,充电
67,11.0,11.166666666666666,0.0,3451.025499999999,5000.0,0.0,充电
68,11.166666666666666,11.333333333333332,0.0,0.0,1635.7891999999993,0.0,充电
69,11.333333333333332,11.5,0.0,0.0,1705.9258999999997,0.0,充电
70,11.5,11.666666666666666,0.0,1075.6630283950963,2811.471828395097,0.0,充电
71,11.666666666666666,11.833333333333332,0.0,3120.747099999999,5000.0,0.0,充电
72,11.833333333333332,12.0,0.0,2918.4174,5000.0,0.0,充电
73,12.0,12.166666666666666,0.0,2882.4746999999998,5000.0,0.0,充电
74,12.166666666666666,12.333333333333332,0.0,2911.7999999999997,5000.0,0.0,充电
75,12.333333333333332,12.5,0.0,2931.6418,5000.0,0.0,充电
76,12.5,12.666666666666666,0.0,2989.6243999999992,5000.0,0.0,充电
77,12.666666666666666,12.833333333333332,0.0,0.0,1827.3105999999989,0.0,充电
78,12.833333333333332,13.0,0.0,0.0,1587.0431000000003,0.0,充电
79,13.0,13.166666666666666,0.0,0.0,1455.0452999999995,0.0,充电
80,13.166666666666666,13.333333333333332,0.0,0.0,1338.453499999999,0.0,充电
81,13.333333333333332,13.5,0.0,0.0,1192.5558999999994,0.0,充电
82,13.5,13.666666666666666,0.0,0.0,1064.1589000000008,0.0,充电
83,13.666666666666666,13.833333333333332,0.0,0.0,910.4417999999989,0.0,充电
84,13.833333333333332,14.0,0.0,0.0,720.2101999999986,0.0,充电
85,14.0,14.166666666666666,0.0,0.0,526.8867000000005,0.0,充电
86,14.166666666666666,14.333333333333332,0.0,0.0,321.7491999999993,0.0,充电
87,14.333333333333332,14.5,0.0,0.0,97.53080000000068,0.0,充电
88,14.5,14.666666666666666,142.6882000000005,0.0,0.0,142.68820000000028,放电
89,14.666666666666666,14.833333333333332,403.9201000000003,0.0,0.0,403.92010000000073,放电
90,14.833333333333332,15.0,672.5392000000002,672.5392000000002,0.0,0.0,待机
91,15.0,15.166666666666666,925.5711000000001,1600.3961617283944,674.8250617283944,0.0,充电
92,15.166666666666666,15.333333333333332,1185.1410999999998,1185.1410999999998,0.0,0.0,待机
93,15.333333333333332,15.5,1468.8841999999995,1468.8841999999993,0.0,0.0,待机
94,15.5,15.666666666666666,1773.2077000000004,1773.2077000000002,0.0,0.0,待机
95,15.666666666666666,15.833333333333332,2074.6650000000004,2074.665000000001,0.0,0.0,待机
96,15.833333333333332,16.0,2369.5889,2369.5888999999997,0.0,0.0,待机
97,16.0,16.166666666666664,2672.5899000000004,2672.589900000001,0.0,0.0,待机
98,16.166666666666664,16.333333333333332,2974.1794999999997,2974.1794999999997,0.0,0.0,待机
99,16.333333333333332,16.5,3282.7143,3282.7143,0.0,0.0,待机
100,16.5,16.666666666666664,3599.9125999999997,3599.9125999999997,0.0,0.0,待机
101,16.666666666666664,16.833333333333332,3812.5784999999996,3812.5784999999996,0.0,0.0,待机
102,16.833333333333332,17.0,3964.9841000000006,3964.9841,0.0,0.0,待机
103,17.0,17.166666666666664,4212.2216,4212.2216,0.0,0.0,待机
104,17.166666666666664,17.333333333333332,4428.3947,4428.394700000001,0.0,-0.0,待机
105,17.333333333333332,17.5,4655.6683,4655.6683,0.0,-0.0,待机
106,17.5,17.666666666666664,4956.4995,4956.499500000001,0.0,0.0,待机
107,17.666666666666664,17.833333333333332,4574.5368,4574.5368,0.0,-0.0,待机
108,17.833333333333332,18.0,3821.8957,3821.8957,0.0,-0.0,待机
109,18.0,18.166666666666664,3846.9678,3191.3642999999993,0.0,655.6035000000003,放电
110,18.166666666666664,18.333333333333332,4072.9832,4072.9831999999997,0.0,0.0,待机
111,18.333333333333332,18.5,4117.611,4117.611,0.0,0.0,待机
112,18.5,18.666666666666664,4179.0262999999995,4179.0263,0.0,0.0,待机
113,18.666666666666664,18.833333333333332,4227.8056,0.0,0.0,4227.8056,放电
114,18.833333333333332,19.0,4238.9042,0.0,0.0,4238.9042,放电
115,19.0,19.166666666666664,4244.4388,0.0,0.0,4244.4388,放电
116,19.166666666666664,19.333333333333332,4251.318,0.0,0.0,4251.318,放电
117,19.333333333333332,19.5,4256.6813,0.0,0.0,4256.6813,放电
118,19.5,19.666666666666664,4267.3947,0.0,0.0,4267.3947,放电
119,19.666666666666664,19.833333333333332,4269.975,0.0,0.0,4269.975,放电
120,19.833333333333332,20.0,4268.6702,0.0,0.0,4268.6702,放电
121,20.0,20.166666666666664,4282.2245,0.0,0.0,4282.2245,放电
122,20.166666666666664,20.333333333333332,4291.7049,0.0,0.0,4291.7049,放电
123,20.333333333333332,20.5,4291.3611,0.0,0.0,4291.3611,放电
124,20.5,20.666666666666664,4293.9182,0.0,0.0,4293.9182,放电
125,20.666666666666664,20.833333333333332,4295.2135,4295.2135,0.0,-0.0,待机
126,20.833333333333332,21.0,4302.0307,4302.0307,-0.0,0.0,待机
127,21.0,21.166666666666664,4320.9618,4320.9618,-0.0,0.0,待机
128,21.166666666666664,21.333333333333332,4302.3292,4302.3292,0.0,0.0,待机
129,21.333333333333332,21.5,4322.6758,4322.6758,0.0,0.0,待机
130,21.5,21.666666666666664,4428.8083,4428.8083,0.0,-0.0,待机
131,21.666666666666664,21.833333333333332,4030.1614,4030.1613999999995,0.0,-0.0,待机
132,21.833333333333332,22.0,3362.7419,8362.741899999999,5000.0,0.0,充电
133,22.0,22.166666666666664,3309.3934,8309.3934,5000.0,0.0,充电
134,22.166666666666664,22.333333333333332,3412.9563,3412.9562999999994,0.0,0.0,待机
135,22.333333333333332,22.5,3381.9313,8381.9313,5000.0,0.0,充电
136,22.5,22.666666666666664,3386.5592,8386.5592,5000.0,0.0,充电
137,22.666666666666664,22.833333333333332,3400.4846,3400.4845999999993,0.0,0.0,待机
138,22.833333333333332,23.0,3399.2426,8399.2426,5000.0,0.0,充电
139,23.0,23.166666666666664,3406.9809,3406.9809,0.0,0.0,待机
140,23.166666666666664,23.333333333333332,3416.1518,3416.1517999999996,0.0,0.0,待机
141,23.333333333333332,23.5,3421.9811,8421.981099999999,5000.0,0.0,充电
142,23.5,23.666666666666664,3429.6923,5429.6923,2000.0,0.0,充电
143,23.666666666666664,23.833333333333332,3439.061,3439.061,0.0,0.0,待机
144,23.833333333333332,24.0,3444.7259,3444.7258999999995,0.0,0.0,待机
