e_max_kwh,common_power_kw,point,cost_yuan,saving_from_base_yuan
30000,8000,E30000_C8000_D8000,27203.15597995759,7923.792609332035
6000,9000,E6000_C9000_D9000,40024.43041454833,-4897.4818252587065
8400,9000,E8400_C9000_D9000,37076.62513087512,-1949.676541585497
10800,9000,E10800_C9000_D9000,34984.226123230124,142.72246605950204
13200,9000,E13200_C9000_D9000,33416.115498248415,1710.8330910412114
15600,9000,E15600_C9000_D9000,31956.09393053675,3170.8546587528763
18000,9000,E18000_C9000_D9000,30937.38194164508,4189.566647644548
20400,9000,E20400_C9000_D9000,30004.243613588413,5122.704975701214
22800,9000,E22800_C9000_D9000,29133.72802183841,5993.220567451215
25200,9000,E25200_C9000_D9000,28310.621204326744,6816.327384962882
27600,9000,E27600_C9000_D9000,27622.354582506625,7504.5940067830015
30000,9000,E30000_C9000_D9000,27159.808399027715,7967.140190261911
6000,10000,E6000_C10000_D10000,40018.03041454833,-4891.081825258705
8400,10000,E8400_C10000_D10000,37056.391797541786,-1929.4432082521598
10800,10000,E10800_C10000_D10000,34960.59278989679,166.35579939283343
13200,10000,E13200_C10000_D10000,33392.29883158175,1734.6497577078771
15600,10000,E15600_C10000_D10000,31931.44393053675,3195.5046587528777
18000,10000,E18000_C10000_D10000,30911.065274978413,4215.883314311213
20400,10000,E20400_C10000_D10000,29976.626946921744,5150.321642367882
22800,10000,E22800_C10000_D10000,29104.394688505075,6022.553900784551
25200,10000,E25200_C10000_D10000,28280.704537660076,6846.24405162955
27600,10000,E27600_C10000_D10000,27588.65458250662,7538.294006783006
30000,10000,E30000_C10000_D10000,27124.97506569438,8001.973523595247
