scenario,t,source_excel_row,source_endpoint,interval,start_minute,end_minute,price_yuan_per_kwh,load_kw,pv_kw,load_kwh,pv_kwh,G,C,D,E,W,u
main_l95_pv95,44,45,07:20:00,07:10-07:20,430,440,0.7972,4318.5923649999995,1981.212175,719.7653941666666,330.20202916666665,0.0,0.0,389.563365,5536.603867592593,0.0,0.0
main_l95_pv95,45,46,07:30:00,07:20-07:30,440,450,0.7644,4297.07971,2262.198045,716.1799516666665,377.0330075,0.0,0.0,339.1469441666665,5159.77392962963,0.0,0.0
main_l95_pv95,46,47,07:40:00,07:30-07:40,450,460,0.6899,4164.18877,2549.01644,694.0314616666667,424.83607333333333,0.0,0.0,269.19538833333337,4860.667942592593,0.0,0.0
main_l95_pv95,47,48,07:50:00,07:40-07:50,460,470,0.86,4664.936905,2837.03744,777.4894841666666,472.8395733333333,0.0,0.0,304.64991083333325,4522.168041666668,0.0,0.0
main_l95_pv95,48,49,08:00:00,07:50-08:00,470,480,1.1617,5509.746064999999,3124.7438,918.2910108333332,520.7906333333333,0.0,0.0,397.5003774999999,4080.5009555555566,0.0,0.0
main_l95_pv95,49,50,08:10:00,08:00-08:10,480,490,1.1683,5590.584699999999,3413.6932349999997,931.7641166666666,568.9488725,0.0,0.0,362.8152441666666,3677.3729064814825,0.0,0.0
main_l95_pv95,50,51,08:20:00,08:10-08:20,490,500,1.0956,5460.667734999999,3696.19654,910.1112891666666,616.0327566666666,0.0,0.0,294.07853249999994,3350.6189814814825,0.0,0.0
main_l95_pv95,51,52,08:30:00,08:20-08:30,500,510,1.0849,5480.605195,3972.274615,913.4341991666666,662.0457691666666,0.0,0.0,251.38843000000008,3071.2985037037047,0.0,0.0
main_l95_pv95,52,53,08:40:00,08:30-08:40,510,520,1.061,5466.499975,4248.177415,911.0833291666667,708.0295691666665,0.0,0.0,203.05376000000012,2845.6832148148155,0.0,0.0
main_l95_pv95,53,54,08:50:00,08:40-08:50,520,530,1.043,5532.971665,4515.185839999999,922.1619441666666,752.5309733333332,0.0,0.0,169.63097083333332,2657.204358333334,0.0,0.0
main_l95_pv95,54,55,09:00:00,08:50-09:00,530,540,1.036,5656.547095,4770.81203,942.7578491666667,795.1353383333333,0.0,0.0,147.62251083333342,2493.179346296297,0.0,0.0
main_l95_pv95,55,56,09:10:00,09:00-09:10,540,550,1.0147,5661.02112,5021.14197,943.50352,836.8569949999999,0.0,0.0,106.64652500000011,2374.6832074074077,0.0,0.0
main_l95_pv95,56,57,09:20:00,09:10-09:20,550,560,0.9922,5633.07763,5266.01549,938.8462716666667,877.6692483333334,0.0,0.0,61.177023333333295,2306.7087370370373,0.0,0.0
main_l95_pv95,57,58,09:30:00,09:20-09:30,560,570,0.97,5627.5936599999995,5498.988835,937.9322766666666,916.4981391666666,0.0,0.0,21.434137499999906,2282.893028703704,0.0,0.0
main_l95_pv95,58,59,09:40:00,09:30-09:40,570,580,0.9422,5612.2067,5711.52388,935.3677833333333,951.9206466666666,0.0,16.552863333333335,0.0,2297.7906057037044,0.0,1.0
main_l95_pv95,59,60,09:50:00,09:40-09:50,580,590,0.9569,5604.169889999999,5905.34516,934.0283149999999,984.2241933333331,0.0,50.19587833333321,0.0,2342.9668962037044,0.0,1.0
main_l95_pv95,60,61,10:00:00,09:50-10:00,590,600,0.9977,5607.10862,6089.114395,934.5181033333333,1014.8523991666666,0.0,80.33429583333327,0.0,2415.2677624537046,0.0,1.0
main_l95_pv95,61,62,10:10,10:00-10:10,600,610,0.9919,5602.605334999999,6269.41176,933.7675558333332,1044.90196,0.0,111.13440416666674,0.0,2515.2887262037048,0.0,1.0
main_l95_pv95,62,63,10:20,10:10-10:20,610,620,0.9588,5592.41896,6428.3843799999995,932.0698266666666,1071.3973966666667,0.0,139.32757000000015,0.0,2640.683539203705,0.0,1.0
main_l95_pv95,63,64,10:30,10:20-10:30,620,630,0.9549,5579.797259999999,6568.862685,929.9662099999999,1094.8104474999998,0.0,164.84423749999985,0.0,2789.043352953705,0.0,1.0
main_l95_pv95,64,65,10:40,10:30-10:40,630,640,0.9839,5565.129260000001,6710.995034999999,927.5215433333333,1118.4991725,0.0,190.9776291666667,0.0,2960.923219203705,0.0,1.0
main_l95_pv95,65,66,10:50,10:40-10:50,640,650,0.799,5552.74506,6837.559925,925.45751,1139.593320833333,0.0,214.13581083333315,0.0,3153.6454489537045,0.0,1.0
main_l95_pv95,66,67,11:00,10:50-11:00,650,660,0.5025,5547.105764999999,6937.95849,924.5176274999999,1156.326415,0.0,231.8087875000001,0.0,3362.2733577037047,0.0,1.0
main_l95_pv95,67,68,11:10,11:00-11:10,660,670,0.4662,5546.774785,7018.30056,924.4624641666666,1169.71676,466.72568366255075,711.9799794958842,0.0,4003.0553392500005,0.0,0.9999999999999984
main_l95_pv95,68,69,11:20,11:10-11:20,670,680,0.5007,5532.265909999999,7086.265649999999,922.0443183333332,1181.0442749999997,0.0,258.99995666666655,0.0,4236.15530025,0.0,1.0
main_l95_pv95,69,70,11:30,11:20-11:30,680,690,0.4827,5524.05354,7144.683145,920.6755899999999,1190.7805241666665,0.0,270.10493416666657,0.0,4479.2497410000005,0.0,1.0
main_l95_pv95,70,71,11:40,11:30-11:40,690,700,0.4785,5540.775344999999,7189.793705,923.4625574999999,1198.2989508333333,0.0,274.8363933333334,0.0,4726.602495000001,0.0,1.0
main_l95_pv95,71,72,11:50,11:40-11:50,700,710,0.4662,5427.25595,7212.546205,904.5426583333332,1202.0910341666665,535.7849574999999,833.3333333333333,0.0,5476.602495000001,0.0,1.0
main_l95_pv95,72,73,12:00,11:50-12:00,710,720,0.4432,5243.487665,7220.991135,873.9146108333332,1203.4985224999998,503.74942166666665,833.3333333333333,0.0,6226.602495000001,0.0,1.0
main_l95_pv95,73,74,12:10,12:00-12:10,720,730,0.4411,5220.051164999999,7231.700199999999,870.0085274999999,1205.2833666666666,498.0584941666666,833.3333333333333,0.0,6976.602495000001,0.0,1.0
main_l95_pv95,74,75,12:20,12:10-12:20,730,740,0.4551,5238.72978,7222.51978,873.1216299999999,1203.7532966666665,502.7016666666666,833.3333333333333,0.0,7726.602495000001,0.0,1.0
main_l95_pv95,75,76,12:30,12:20-12:30,740,750,0.4463,5211.537549999999,7176.47784,868.5895916666666,1196.07964,505.8432849999999,833.3333333333333,0.0,8476.602495000001,0.0,1.0
main_l95_pv95,76,77,12:40,12:30-12:40,750,760,0.4113,5189.244659999999,7099.10148,864.8741099999999,1183.18358,515.0238633333332,833.3333333333333,0.0,9226.602495000001,0.0,1.0
main_l95_pv95,77,78,12:50,12:40-12:50,760,770,0.5682,5287.80127,7023.74634,881.3002116666667,1170.6243899999997,0.0,289.32417833333307,0.0,9486.994255500002,0.0,1.0
main_l95_pv95,78,79,13:00,12:50-13:00,770,780,0.8279,5439.467059999999,6947.158004999999,906.5778433333331,1157.8596675,0.0,251.28182416666675,0.0,9713.14789725,0.0,1.0
main_l95_pv95,79,80,13:10,13:00-13:10,780,790,0.8636,5452.520915,6834.81395,908.7534858333333,1139.1356583333331,0.0,230.3821724999998,0.0,9920.491852500001,0.0,1.0
main_l95_pv95,80,81,13:20,13:10-13:20,790,800,0.8416,5428.94942,6700.480245,904.8249033333333,1116.7467074999997,0.0,211.92180416666645,0.0,10111.22147625,0.0,1.0
main_l95_pv95,81,82,13:30,13:20-13:30,800,810,0.8618,5431.957974999999,6564.886079999999,905.3263291666666,1094.1476799999998,0.0,188.8213508333332,0.0,10281.160692000001,0.0,1.0
main_l95_pv95,82,83,13:40,13:30-13:40,810,820,0.8623,5422.83617,6433.787125,903.8060283333332,1072.2978541666666,0.0,168.49182583333345,0.0,10432.80333525,0.0,1.0
main_l95_pv95,83,84,13:50,13:40-13:50,820,830,0.9026,5412.07229,6276.991999999999,902.0120483333333,1046.1653333333331,0.0,144.15328499999987,0.0,10562.54129175,0.0,1.0
main_l95_pv95,84,85,14:00,13:50-14:00,830,840,0.9754,5407.683385,6091.883075,901.2805641666666,1015.3138458333332,0.0,114.03328166666654,0.0,10665.17124525,0.0,1.0
main_l95_pv95,85,86,14:10,14:00-14:10,840,850,1.0002,5402.772645,5903.31501,900.4621074999999,983.8858349999999,0.0,83.42372750000004,0.0,10740.2526,0.0,1.0
main_l95_pv95,86,87,14:20,14:10-14:20,850,860,0.9978,5395.0139,5700.6756399999995,899.1689833333334,950.1126066666666,0.0,50.94362333333322,0.0,10786.101861,0.0,1.0
main_l95_pv95,87,88,14:30,14:20-14:30,860,870,1.0271,5385.978259999999,5478.63252,897.6630433333331,913.10542,0.0,15.44237666666686,0.0,10800.0,0.0,1.0
main_l95_pv95,88,89,14:40,14:30-14:40,870,880,1.0906,5380.98506,5245.431269999999,896.8308433333333,874.2385449999999,0.0,0.0,22.59229833333336,10774.897446296296,0.0,0.0
main_l95_pv95,89,90,14:50,14:40-14:50,880,890,0.9376,5389.066045,5005.34195,898.1776741666666,834.2236583333332,0.0,0.0,63.954015833333415,10703.837428703704,0.0,0.0
main_l95_pv95,90,91,15:00,14:50-15:00,890,900,0.6694,5398.14168,4759.229439999999,899.6902799999999,793.2049066666665,106.48537333333343,0.0,0.0,10703.837428703704,0.0,0.0
main_l95_pv95,91,92,15:10,15:00-15:10,900,910,0.66,5385.568525,4506.27598,897.5947541666667,751.0459966666666,253.39605894032889,106.84730144032882,0.0,10800.0,0.0,1.0
main_l95_pv95,92,93,15:20,15:10-15:20,910,920,0.7217,5373.546845,4247.6628,895.5911408333333,707.9437999999999,187.64734083333337,0.0,0.0,10800.0,0.0,0.0
main_l95_pv95,93,94,15:30,15:20-15:30,920,930,0.7308,5374.232365,3978.792375,895.7053941666666,663.1320625000001,232.5733316666665,0.0,0.0,10800.0,0.0,0.0
main_l95_pv95,94,95,15:40,15:30-15:40,930,940,0.7534,5379.47076,3694.9234449999994,896.57846,615.8205741666666,280.7578858333334,0.0,0.0,10800.0,0.0,0.0
main_l95_pv95,95,96,15:50,15:40-15:50,940,950,0.7823,5385.79662,3414.86487,897.63277,569.1441449999999,328.4886250000002,0.0,0.0,10800.0,0.0,0.0
main_l95_pv95,96,97,16:00,15:50-16:00,950,960,0.8055,5389.802865,3138.69341,898.3004774999999,523.1155683333333,375.18490916666667,0.0,0.0,10800.0,0.0,0.0
main_l95_pv95,97,98,16:10,16:00-16:10,960,970,0.8271,5387.4638700000005,2848.503465,897.910645,474.75057749999996,423.1600675000001,0.0,-0.0,10800.0,0.0,0.0
main_l95_pv95,98,99,16:20,16:10-16:20,970,980,0.8519,5378.51297,2553.042445,896.4188283333333,425.50707416666665,470.91175416666664,0.0,0.0,10800.0,0.0,0.0
main_l95_pv95,99,100,16:30,16:20-16:30,980,990,0.8791,5382.59759,2264.019005,897.0995983333333,377.33650083333333,519.7630975,0.0,-0.0,10800.0,0.0,0.0
main_l95_pv95,100,101,16:40,16:30-16:40,990,1000,0.9024,5404.58534,1984.66837,900.7642233333332,330.77806166666664,569.9861616666666,0.0,-0.0,10800.0,0.0,0.0
main_l95_pv95,101,102,16:50,16:40-16:50,1000,1010,0.9163,5323.47833,1701.528755,887.2463883333332,283.5881258333333,603.6582624999999,0.0,-0.0,10800.0,0.0,0.0
main_l95_pv95,102,103,17:00,16:50-17:00,1010,1020,0.9264,5193.3767800000005,1426.641885,865.5627966666666,237.77364749999998,627.7891491666667,-0.0,0.0,10800.0,0.0,0.0
main_l95_pv95,103,104,17:10,17:00-17:10,1020,1030,0.9462,5194.024205,1192.413685,865.6707008333333,198.73561416666664,666.9350866666666,0.0,0.0,10800.0,0.0,0.0
main_l95_pv95,104,105,17:20,17:10-17:20,1030,1040,0.9742,5191.49065,984.515685,865.2484416666666,164.08594749999997,701.1624941666666,0.0,0.0,10800.0,0.0,0.0
main_l95_pv95,105,106,17:30,17:20-17:30,1040,1050,0.9862,5217.82351,794.938625,869.6372516666667,132.48977083333332,737.1474808333334,0.0,0.0,10800.0,0.0,0.0
main_l95_pv95,106,107,17:40,17:30-17:40,1050,1060,0.976,5340.64426,631.969735,890.1073766666667,105.32828916666666,784.7790875000001,-0.0,0.0,10800.0,0.0,-0.0
main_l95_pv95,107,108,17:50,17:40-17:50,1060,1070,1.0742,4836.65197,490.84200999999996,806.1086616666665,81.80700166666665,724.3016599999999,0.0,0.0,10800.0,0.0,0.0
main_l95_pv95,108,109,18:00,17:50-18:00,1070,1080,1.2313,3998.14036,367.33944499999996,666.3567266666666,61.22324083333333,605.1334858333333,0.0,0.0,10800.0,0.0,0.0
main_l95_pv95,109,110,18:10,18:00-18:10,1080,1090,1.2561,3916.6230449999994,262.003635,652.7705074999999,43.66727249999999,73.29934749999791,0.0,535.803887500002,10204.66234722222,0.0,0.0
main_l95_pv95,110,111,18:20,18:10-18:20,1090,1100,1.2447,4043.13901,173.80496999999997,673.8565016666666,28.967494999999996,644.8890066666667,0.0,0.0,10204.66234722222,0.0,0.0
main_l95_pv95,111,112,18:30,18:20-18:30,1100,1110,1.2545,4014.65478,102.92432999999998,669.1091299999999,17.154055,651.955075,0.0,0.0,10204.66234722222,0.0,0.0
main_l95_pv95,112,113,18:40,18:30-18:40,1110,1120,1.2522,4021.6714799999995,51.596495,670.2785799999999,8.599415833333333,661.6791641666666,0.0,0.0,10204.66234722222,0.0,0.0
main_l95_pv95,113,114,18:50,18:40-18:50,1120,1130,1.2881,4034.1393749999993,17.724055,672.3565624999999,2.9540091666666664,0.0,0.0,669.4025533333332,9460.881732407406,0.0,0.0
main_l95_pv95,114,115,19:00,18:50-19:00,1130,1140,1.3466,4027.220525,0.26153499999999996,671.2034208333332,0.043589166666666665,0.0,0.0,671.1598316666665,8715.14858611111,0.0,0.0
main_l95_pv95,115,116,19:10,19:00-19:10,1140,1150,1.3523,4032.4349799999995,0.21811999999999998,672.0724966666666,0.03635333333333333,0.0,0.0,672.0361433333333,7968.441760185186,0.0,0.0
main_l95_pv95,116,117,19:20,19:10-19:20,1150,1160,1.3445,4039.322765,0.570665,673.2204608333333,0.09511083333333333,0.0,0.0,673.1253499999999,7220.52470462963,0.0,0.0
main_l95_pv95,117,118,19:30,19:20-19:30,1160,1170,1.3483,4043.847235,0.0,673.9745391666665,0.0,0.0,0.0,673.9745391666665,6471.664105555556,0.0,0.0
main_l95_pv95,118,119,19:40,19:30-19:40,1170,1180,1.349,4054.0249649999996,0.0,675.6708275,0.0,0.0,0.0,675.6708275,5720.918741666666,0.0,0.0
main_l95_pv95,119,120,19:50,19:40-19:50,1180,1190,1.3473,4056.47625,0.0,676.079375,0.0,0.0,0.0,676.079375,4969.719436111111,0.0,0.0
main_l95_pv95,120,121,20:00,19:50-20:00,1190,1200,1.3482,4055.2366899999993,0.0,675.8727816666665,0.0,0.0,0.0,675.8727816666665,4218.7496787037035,0.0,0.0
main_l95_pv95,121,122,20:10,20:00-20:10,1200,1210,1.3513,4068.113275,0.0,678.0188791666666,0.0,0.0,0.0,678.0188791666666,3465.3953685185184,0.0,0.0
main_l95_pv95,122,123,20:20,20:10-20:20,1210,1220,1.34,4077.1196549999995,0.0,679.5199425,0.0,0.0,0.0,679.5199425,2710.373210185185,0.0,0.0
main_l95_pv95,123,124,20:30,20:20-20:30,1220,1230,1.3489,4076.793045,0.0,679.4655075,0.0,0.0,0.0,679.4655075,1955.4115351851851,0.0,0.0
main_l95_pv95,124,125,20:40,20:30-20:40,1230,1240,1.3952,4079.2222899999997,0.0,679.8703816666666,0.0,0.0,0.0,679.8703816666666,1200.0,0.0,0.0
main_l95_pv95,125,126,20:50,20:40-20:50,1240,1250,1.2226,4080.452825,0.0,680.0754708333332,0.0,680.0754708333332,0.0,0.0,1200.0,0.0,0.0
main_l95_pv95,126,127,21:00,20:50-21:00,1250,1260,0.9332,4086.929165,0.0,681.1548608333334,0.0,681.1548608333334,0.0,0.0,1200.0,0.0,0.0
main_l95_pv95,127,128,21:10,21:00-21:10,1260,1270,0.9068,4104.91371,0.0,684.152285,0.0,684.152285,-0.0,0.0,1200.0,0.0,0.0
main_l95_pv95,128,129,21:20,21:10-21:20,1270,1280,0.9371,4087.21274,0.0,681.2021233333332,0.0,681.2021233333332,0.0,0.0,1200.0,0.0,0.0
main_l95_pv95,129,130,21:30,21:20-21:30,1280,1290,0.9371,4106.54201,0.0,684.4236683333334,0.0,684.4236683333334,0.0,0.0,1200.0,0.0,0.0
main_l95_pv95,130,131,21:40,21:30-21:40,1290,1300,0.9871,4207.367885,0.0,701.2279808333332,0.0,701.2279808333332,0.0,0.0,1200.0,0.0,0.0
main_l95_pv95,131,132,21:50,21:40-21:50,1300,1310,0.7764,3828.6533299999996,0.0,638.1088883333332,0.0,638.1088883333332,0.0,-0.0,1200.0,0.0,0.0
main_l95_pv95,132,133,22:00,21:50-22:00,1310,1320,0.4209,3194.604805,0.0,532.4341341666666,0.0,1365.7674674999998,833.3333333333333,0.0,1950.0,0.0,1.0
main_l95_pv95,133,134,22:10,22:00-22:10,1320,1330,0.3859,3143.92373,0.0,523.9872883333333,0.0,1357.3206216666665,833.3333333333333,0.0,2700.0,0.0,1.0
main_l95_pv95,134,135,22:20,22:10-22:20,1330,1340,0.4368,3242.3084849999996,0.0,540.3847474999999,0.0,540.3847474999999,0.0,0.0,2700.0,0.0,0.0
main_l95_pv95,135,136,22:30,22:20-22:30,1340,1350,0.4198,3212.834735,0.0,535.4724558333334,0.0,1368.8057891666667,833.3333333333333,0.0,3450.0,0.0,1.0
main_l95_pv95,136,137,22:40,22:30-22:40,1350,1360,0.4186,3217.23124,0.0,536.2052066666666,0.0,1369.53854,833.3333333333333,0.0,4200.0,0.0,1.0
main_l95_pv95,137,138,22:50,22:40-22:50,1360,1370,0.4241,3230.46037,0.0,538.4100616666665,0.0,538.4100616666665,0.0,0.0,4200.0,0.0,0.0
main_l95_pv95,138,139,23:00,22:50-23:00,1370,1380,0.4237,3229.2804699999997,0.0,538.2134116666666,0.0,1371.5467449999999,833.3333333333333,0.0,4950.0,0.0,1.0
main_l95_pv95,139,140,23:10,23:00-23:10,1380,1390,0.4248,3236.631855,0.0,539.4386425,0.0,539.4386425,0.0,0.0,4950.0,0.0,-0.0
main_l95_pv95,140,141,23:20,23:10-23:20,1390,1400,0.424,3245.3442099999997,0.0,540.8907016666666,0.0,874.224035,333.3333333333333,0.0,5250.0,0.0,1.0
main_l95_pv95,141,142,23:30,23:20-23:30,1400,1410,0.422,3250.882045,0.0,541.8136741666666,0.0,1375.1470074999997,833.3333333333331,0.0,6000.0,0.0,0.9999999999999999
main_l95_pv95,142,143,23:40,23:30-23:40,1410,1420,0.424,3258.207685,0.0,543.0346141666666,0.0,543.0346141666666,-0.0,0.0,6000.0,0.0,0.0
main_l95_pv95,143,144,23:50,23:40-23:50,1420,1430,0.4271,3267.10795,0.0,544.5179916666666,0.0,544.5179916666666,0.0,0.0,6000.0,0.0,0.0
main_l95_pv95,144,145,0:00+1,23:50-24:00,1430,1440,0.4276,3272.4896049999998,0.0,545.4149341666665,0.0,545.4149341666665,0.0,0.0,6000.0,0.0,0.0
main_l95_pv100,1,2,00:10:00,00:00-00:10,0,10,0.4248,3267.85427,0.0,544.6423783333332,0.0,1377.9757116666665,833.3333333333333,0.0,6750.0,0.0,1.0
main_l95_pv100,2,3,00:20:00,00:10-00:20,10,20,0.4245,3266.0802400000002,0.0,544.3467066666666,0.0,1377.6800399999997,833.3333333333333,0.0,7500.0,0.0,1.0
main_l95_pv100,3,4,00:30:00,00:20-00:30,20,30,0.4269,3272.0879449999998,0.0,545.3479908333334,0.0,1378.6813241666666,833.3333333333333,0.0,8250.0,0.0,1.0
main_l95_pv100,4,5,00:40:00,00:30-00:40,30,40,0.4272,3281.7215149999997,0.0,546.9535858333332,0.0,1380.2869191666664,833.3333333333333,0.0,9000.0,0.0,1.0
