t,source_excel_row,source_endpoint,interval,start_minute,end_minute,price_yuan_per_kwh,load_kw,pv_kw,load_kwh,pv_kwh,G_kwh,C_kwh,D_kwh,E_kwh,W_kwh,u,E_start_kwh,soc_fraction,cost_yuan
19,20,03:10:00,03:00-03:10,180,190,0.4374,3526.9261,0.0,587.8210166666667,0.0,587.8210166666667,0.0,0.0,10091.666666666666,0.0,0.0,10091.666666666666,0.8409722222222221,257.11291269
20,21,03:20:00,03:10-03:20,190,200,0.4371,3537.2854,0.0,589.5475666666666,0.0,589.5475666666666,0.0,0.0,10091.666666666666,0.0,0.0,10091.666666666666,0.8409722222222221,257.69124138999996
21,22,03:30:00,03:20-03:30,200,210,0.4356,3544.8808,0.0,590.8134666666666,0.0,590.8134666666666,0.0,0.0,10091.666666666666,0.0,0.0,10091.666666666666,0.8409722222222221,257.35834608
22,23,03:40:00,03:30-03:40,210,220,0.4353,3541.2787,0.0,590.2131166666666,0.0,590.2131166666666,0.0,0.0,10091.666666666666,0.0,0.0,10091.666666666666,0.8409722222222221,256.91976968499995
23,24,03:50:00,03:40-03:50,220,230,0.436,3546.3976,0.0,591.0662666666666,0.0,591.0662666666666,0.0,0.0,10091.666666666666,0.0,0.0,10091.666666666666,0.8409722222222221,257.70489226666666
24,25,04:00:00,03:50-04:00,230,240,0.4378,3560.207,0.0,593.3678333333332,0.0,593.3678333333332,0.0,0.0,10091.666666666666,0.0,0.0,10091.666666666666,0.8409722222222221,259.7764374333333
25,26,04:10:00,04:00-04:10,240,250,0.4401,3561.9581,0.0,593.6596833333333,0.0,593.6596833333333,0.0,0.0,10091.666666666666,0.0,0.0,10091.666666666666,0.8409722222222221,261.269626635
26,27,04:20:00,04:10-04:20,250,260,0.4389,3556.7183,0.0,592.7863833333333,0.0,592.7863833333333,0.0,0.0,10091.666666666666,0.0,0.0,10091.666666666666,0.8409722222222221,260.173943645
27,28,04:30:00,04:20-04:30,260,270,0.4364,3560.0272,0.0,593.3378666666666,0.0,593.3378666666666,0.0,0.0,10091.666666666666,0.0,0.0,10091.666666666666,0.8409722222222221,258.93264501333334
28,29,04:40:00,04:30-04:40,270,280,0.4393,3580.654,0.5994,596.7756666666667,0.0999,596.6757666666666,0.0,0.0,10091.666666666666,0.0,0.0,10091.666666666666,0.8409722222222221,262.11966429666666
29,30,04:50:00,04:40-04:50,280,290,0.4422,3586.916,0.2345,597.8193333333334,0.03908333333333333,597.78025,0.0,0.0,10091.666666666666,0.0,0.0,10091.666666666666,0.8409722222222221,264.33842655
30,31,05:00:00,04:50-05:00,290,300,0.4395,3571.2635,0.2885,595.2105833333333,0.048083333333333325,595.1624999999999,0.0,0.0,10091.666666666666,0.0,0.0,10091.666666666666,0.8409722222222221,261.57391874999996
31,32,05:10:00,05:00-05:10,300,310,0.4333,3562.3171,18.6781,593.7195166666667,3.1130166666666668,590.6065,0.0,0.0,10091.666666666666,0.0,0.0,10091.666666666666,0.8409722222222221,255.90979645000002
32,33,05:20:00,05:10-05:20,310,320,0.4439,3591.3809,54.4698,598.5634833333334,9.078299999999999,589.4851833333333,0.0,0.0,10091.666666666666,0.0,0.0,10091.666666666666,0.8409722222222221,261.6724728816667
33,34,05:30:00,05:20-05:30,320,330,0.4301,3579.7045,108.9718,596.6174166666666,18.161966666666665,578.4554499999999,0.0,0.0,10091.666666666666,0.0,-0.0,10091.666666666666,0.8409722222222221,248.79368904499995
34,35,05:40:00,05:30-05:40,330,340,0.3713,3486.119,184.1603,581.0198333333333,30.693383333333333,1383.659783333333,833.3333333333333,0.0,10800.0,0.0,1.0,10091.666666666666,0.9,513.7528775516666
35,36,05:50:00,05:40-05:50,340,350,0.5708,3823.8994,277.0582,637.3165666666666,46.17636666666667,591.1401999999999,0.0,0.0,10800.0,0.0,0.0,10800.0,0.9,337.42282615999994
36,37,06:00:00,05:50-06:00,350,360,0.9099,4398.0727,388.5494,733.0121166666665,64.75823333333332,0.0,0.0,668.2538833333332,10013.818960784314,0.0,0.0,10800.0,0.8344849133986928,0.0
37,38,06:10:00,06:00-06:10,360,370,0.9368,4454.0123,521.2803,742.3353833333333,86.88005,0.0,0.0,655.4553333333333,9242.695039215687,0.0,0.0,10013.818960784314,0.7702245866013072,0.0
38,39,06:20:00,06:10-06:20,370,380,0.8758,4371.7919,672.7677,728.6319833333333,112.12795,0.0,0.0,616.5040333333334,8517.39617647059,0.0,0.0,9242.695039215687,0.7097830147058825,0.0
39,40,06:30:00,06:20-06:30,380,390,0.8759,4392.953,844.2261,732.1588333333334,140.70434999999998,0.0,0.0,591.4544833333334,7821.567372549021,0.0,0.0,8517.39617647059,0.6517972810457517,0.0
40,41,06:40:00,06:30-06:40,390,400,0.8601,4384.5956,1039.6744,730.7659333333332,173.27906666666667,0.0,0.0,557.4868666666666,7165.700470588236,0.0,0.0,7821.567372549021,0.597141705882353,0.0
41,42,06:50:00,06:40-06:50,400,410,0.8442,4434.7757,1259.3375,739.1292833333333,209.88958333333335,0.0,0.0,529.2397,6543.065529411766,0.0,0.0,7165.700470588236,0.5452554607843139,0.0
42,43,07:00:00,06:50-07:00,410,420,0.8334,4523.4561,1508.6318,753.90935,251.43863333333334,0.0,0.0,502.4707166666667,5951.923509803923,0.0,0.0,6543.065529411766,0.4959936258169935,0.0
43,44,07:10:00,07:00-07:10,420,430,0.8092,4524.0721,1791.4107,754.0120166666667,298.56845,0.0,0.0,455.4435666666667,5416.107549019609,0.0,0.0,5951.923509803923,0.4513422957516341,0.0
44,45,07:20:00,07:10-07:20,430,440,0.7972,4545.8867,2085.4865,757.6477833333333,347.5810833333333,0.0,0.0,410.0667,4933.676137254903,0.0,0.0,5416.107549019609,0.41113967810457525,0.0
45,46,07:30:00,07:20-07:30,440,450,0.7644,4523.2418,2381.2611,753.8736333333333,396.87685,0.0,0.0,356.99678333333327,4513.679921568628,0.0,0.0,4933.676137254903,0.3761399934640523,0.0
46,47,07:40:00,07:30-07:40,450,460,0.6899,4383.3566,2683.1752,730.5594333333333,447.1958666666667,211.43706416666907,0.0,71.9265024999976,4429.060506862748,0.0,0.0,4513.679921568628,0.36908837557189567,145.870430568585
47,48,07:50:00,07:40-07:50,460,470,0.86,4910.4599,2986.3552,818.4099833333332,497.72586666666666,0.0,0.0,320.68411666666657,4051.7850754901992,0.0,0.0,4429.060506862748,0.33764875629084995,0.0
48,49,08:00:00,07:50-08:00,470,480,1.1617,5799.7327,3289.204,966.6221166666666,548.2006666666666,0.0,0.0,418.42144999999994,3559.5245460784345,0.0,0.0,4051.7850754901992,0.2966270455065362,0.0
49,50,08:10:00,08:00-08:10,480,490,1.1683,5884.826,3593.3613,980.8043333333333,598.89355,0.0,0.0,381.91078333333326,3110.217742156866,0.0,0.0,3559.5245460784345,0.25918481184640546,0.0
50,51,08:20:00,08:10-08:20,490,500,1.0956,5748.0713,3890.7332,958.0118833333332,648.4555333333333,0.0,0.0,309.55634999999995,2746.0338009803954,0.0,0.0,3110.217742156866,0.2288361500816996,0.0
51,52,08:30:00,08:20-08:30,500,510,1.0849,5769.0581,4181.3417,961.5096833333333,696.8902833333333,0.0,0.0,264.61940000000004,2434.7168598039248,0.0,0.0,2746.0338009803954,0.20289307165032705,0.0
52,53,08:40:00,08:30-08:40,510,520,1.061,5754.2105,4471.7657,959.0350833333333,745.2942833333333,0.0,0.0,213.74080000000004,2183.2570950980426,0.0,0.0,2434.7168598039248,0.1819380912581702,0.0
53,54,08:50:00,08:40-08:50,520,530,1.043,5824.1807,4752.8272,970.6967833333333,792.1378666666666,0.0,0.0,178.55891666666673,1973.1877813725523,0.0,0.0,2183.2570950980426,0.16443231511437936,0.0
54,55,09:00:00,08:50-09:00,530,540,1.036,5954.2601,5021.9074,992.3766833333334,836.9845666666666,0.0,0.0,155.39211666666677,1790.3735264705913,0.0,0.0,1973.1877813725523,0.14919779387254928,0.0
55,56,09:10:00,09:00-09:10,540,550,1.0147,5958.9696,5285.4126,993.1616,880.9020999999999,0.0,0.0,112.25950000000012,1658.3035264705911,0.0,0.0,1790.3735264705913,0.13819196053921592,0.0
56,57,09:20:00,09:10-09:20,550,560,0.9922,5929.5554,5543.1742,988.2592333333333,923.8623666666667,0.0,0.0,64.3968666666666,1582.542506862748,0.0,0.0,1658.3035264705911,0.13187854223856232,0.0
57,58,09:30:00,09:20-09:30,560,570,0.97,5923.7828,5788.4093,987.2971333333332,964.7348833333333,0.0,0.0,22.56224999999995,1555.9986833333364,0.0,0.0,1582.542506862748,0.1296665569444447,0.0
58,59,09:40:00,09:30-09:40,570,580,0.9422,5907.586,6012.1304,984.5976666666667,1002.0217333333333,0.0,17.42406666666659,0.0,1570.809140000003,0.0,1.0,1555.9986833333364,0.13090076166666692,0.0
59,60,09:50:00,09:40-09:50,580,590,0.9569,5899.1262,6216.1528,983.1877,1036.0254666666665,0.0,52.83776666666654,0.0,1615.7212416666696,0.0,1.0,1570.809140000003,0.1346434368055558,0.0
60,61,10:00:00,09:50-10:00,590,600,0.9977,5902.2196,6409.5941,983.7032666666667,1068.2656833333333,0.0,84.56241666666665,0.0,1687.5992958333354,0.0,1.0,1615.7212416666696,0.14063327465277795,0.0
61,62,10:10,10:00-10:10,600,610,0.9919,5897.4793,6599.3808,982.9132166666666,1099.8968,0.0,116.9835833333334,0.0,1787.0353416666687,0.0,1.0,1687.5992958333354,0.14891961180555574,0.0
62,63,10:20,10:10-10:20,610,620,0.9588,5886.7568,6766.7204,981.1261333333333,1127.7867333333334,0.0,146.66060000000004,0.0,1911.6968516666689,0.0,1.0,1787.0353416666687,0.1593080709722224,0.0
63,64,10:30,10:20-10:30,620,630,0.9549,5873.4708,6914.5923,978.9118,1152.43205,0.0,173.52024999999992,0.0,2059.1890641666687,0.0,1.0,1911.6968516666689,0.17159908868055573,0.0
64,65,10:40,10:30-10:40,630,640,0.9839,5858.0308,7064.2053,976.3384666666667,1177.36755,0.0,201.02908333333323,0.0,2230.0637850000016,0.0,1.0,2059.1890641666687,0.18583864875000014,0.0
65,66,10:50,10:40-10:50,640,650,0.799,5844.9948,7197.4315,974.1658,1199.5719166666665,0.0,225.40611666666655,0.0,2421.6589841666682,0.0,1.0,2230.0637850000016,0.20180491534722236,0.0
66,67,11:00,10:50-11:00,650,660,0.5025,5839.0587,7303.1142,973.1764499999999,1217.1857,0.0,244.00925000000007,0.0,2629.0668466666684,0.0,1.0,2421.6589841666682,0.21908890388888905,0.0
67,68,11:10,11:00-11:10,660,670,0.4662,5838.7103,7387.6848,973.1183833333332,1231.2808,575.1709166666665,833.3333333333333,0.0,3337.4001800000015,0.0,1.0,2629.0668466666684,0.2781166816666668,268.1446813499999
68,69,11:20,11:10-11:20,670,680,0.5007,5823.4378,7459.227,970.5729666666666,1243.2044999999998,0.0,272.6315333333332,0.0,3569.1369833333347,0.0,1.0,3337.4001800000015,0.29742808194444453,0.0
69,70,11:30,11:20-11:30,680,690,0.4827,5814.7932,7520.7191,969.1322,1253.4531833333333,549.01235,833.3333333333333,0.0,4277.470316666669,0.0,1.0,3569.1369833333347,0.3564558597222224,265.008261345
70,71,11:40,11:30-11:40,690,700,0.4785,5832.3951,7568.2039,972.06585,1261.3673166666667,544.0318666666665,833.3333333333333,0.0,4985.803650000002,0.0,1.0,4277.470316666669,0.4154836375000001,260.3192481999999
71,72,11:50,11:40-11:50,700,710,0.4662,5712.901,7592.1539,952.1501666666666,1265.3589833333333,520.1245166666665,833.3333333333333,0.0,5694.136983333335,0.0,1.0,4985.803650000002,0.4745114152777779,242.48204966999992
72,73,12:00,11:50-12:00,710,720,0.4432,5519.4607,7601.0433,919.9101166666666,1266.84055,486.40289999999993,833.3333333333333,0.0,6402.470316666668,0.0,1.0,5694.136983333335,0.5335391930555556,215.57376527999998
73,74,12:10,12:00-12:10,720,730,0.4411,5494.7907,7612.316,915.7984499999999,1268.7193333333332,480.4124499999999,833.3333333333333,0.0,7110.803650000002,0.0,1.0,6402.470316666668,0.5925669708333334,211.90993169499995
74,75,12:20,12:10-12:20,730,740,0.4551,5514.4524,7602.6524,919.0754,1267.1087333333332,485.29999999999995,833.3333333333333,0.0,7819.136983333335,0.0,1.0,7110.803650000002,0.6515947486111112,220.86003
75,76,12:30,12:20-12:30,740,750,0.4463,5485.829,7554.1872,914.3048333333332,1259.0312,488.6069666666666,833.3333333333333,0.0,8527.470316666668,0.0,1.0,7819.136983333335,0.710622526388889,218.06528922333328
76,77,12:40,12:30-12:40,750,760,0.4113,5462.3628,7472.7384,910.3937999999999,1245.4564,498.27073333333317,833.3333333333333,0.0,9235.803650000002,0.0,1.0,8527.470316666668,0.7696503041666668,204.93875261999995
77,78,12:50,12:40-12:50,760,770,0.5682,5566.1066,7393.4172,927.6844333333333,1232.2361999999998,0.0,304.5517666666665,0.0,9494.672651666668,0.0,1.0,9235.803650000002,0.7912227209722223,0.0
78,79,13:00,12:50-13:00,770,780,0.8279,5725.7548,7312.7979,954.2924666666665,1218.79965,0.0,264.5071833333334,0.0,9719.5037575,0.0,1.0,9494.672651666668,0.8099586464583334,0.0
79,80,13:10,13:00-13:10,780,790,0.8636,5739.4957,7194.541,956.5826166666667,1199.0901666666666,0.0,242.50754999999992,0.0,9925.635175000001,0.0,1.0,9719.5037575,0.8271362645833334,0.0
80,81,13:20,13:10-13:20,790,800,0.8416,5714.6836,7053.1371,952.4472666666667,1175.5228499999998,0.0,223.07558333333316,0.0,10115.249420833334,0.0,1.0,9925.635175000001,0.8429374517361111,0.0
81,82,13:30,13:20-13:30,800,810,0.8618,5717.8505,6910.4064,952.9750833333333,1151.7343999999998,0.0,198.75931666666656,0.0,10284.19484,0.0,1.0,10115.249420833334,0.8570162366666667,0.0
82,83,13:40,13:30-13:40,810,820,0.8623,5708.2486,6772.4075,951.3747666666666,1128.7345833333334,0.0,177.3598166666668,0.0,10434.950684166666,0.0,1.0,10284.19484,0.8695792236805555,0.0
83,84,13:50,13:40-13:50,820,830,0.9026,5696.9182,6607.36,949.4863666666666,1101.2266666666665,0.0,151.74029999999982,0.0,10563.929939166666,0.0,1.0,10434.950684166666,0.8803274949305555,0.0
84,85,14:00,13:50-14:00,830,840,0.9754,5692.2983,6412.5085,948.7163833333334,1068.7514166666665,0.0,120.0350333333331,0.0,10665.9597175,0.0,1.0,10563.929939166666,0.8888299764583333,0.0
85,86,14:10,14:00-14:10,840,850,1.0002,5687.1291,6214.0158,947.8548499999999,1035.6693,0.0,87.81445000000008,0.0,10740.602,0.0,1.0,10665.9597175,0.8950501666666667,0.0
86,87,14:20,14:10-14:20,850,860,0.9978,5678.962,6000.7112,946.4936666666667,1000.1185333333333,0.0,53.62486666666655,0.0,10786.183136666667,0.0,1.0,10740.602,0.8988485947222222,0.0
87,88,14:30,14:20-14:30,860,870,1.0271,5669.4508,5766.9816,944.9084666666665,961.1636,0.0,16.255133333333447,0.0,10800.0,0.0,1.0,10786.183136666667,0.9,0.0
88,89,14:40,14:30-14:40,870,880,1.0906,5664.1948,5521.5066,944.0324666666667,920.2511,0.0,0.0,23.781366666666713,10772.021921568627,0.0,0.0,10800.0,0.8976684934640522,0.0
89,90,14:50,14:40-14:50,880,890,0.9376,5672.7011,5268.781,945.4501833333334,878.1301666666666,0.0,0.0,67.32001666666679,10692.821901960784,0.0,0.0,10772.021921568627,0.8910684918300653,0.0
90,91,15:00,14:50-15:00,890,900,0.6694,5682.2544,5009.7152,947.0423999999999,834.9525333333332,112.0898666666667,0.0,0.0,10692.821901960784,0.0,0.0,10692.821901960784,0.8910684918300653,75.03295674666668
91,92,15:10,15:00-15:10,900,910,0.66,5669.0195,4743.4484,944.8365833333334,790.5747333333334,280.3537300461363,126.09188004613637,0.0,10800.0,0.0,1.0,10692.821901960784,0.9,185.03346183045
92,93,15:20,15:10-15:20,910,920,0.7217,5656.3651,4471.224,942.7275166666666,745.204,197.52351666666664,0.0,0.0,10800.0,0.0,0.0,10800.0,0.9,142.55272197833332
93,94,15:30,15:20-15:30,920,930,0.7308,5657.0867,4188.2025,942.8477833333333,698.03375,244.8140333333332,0.0,0.0,10800.0,0.0,0.0,10800.0,0.9,178.91009555999992
94,95,15:40,15:30-15:40,930,940,0.7534,5662.6008,3889.3931,943.7668,648.2321833333333,295.5346166666667,0.0,0.0,10800.0,0.0,0.0,10800.0,0.9,222.65578019666668
95,96,15:50,15:40-15:50,940,950,0.7823,5669.2596,3594.5946,944.8766,599.0990999999999,345.77750000000015,0.0,0.0,10800.0,0.0,0.0,10800.0,0.9,270.50173825000013
96,97,16:00,15:50-16:00,950,960,0.8055,5673.4767,3303.8878,945.57945,550.6479666666667,394.9314833333333,0.0,0.0,10800.0,0.0,0.0,10800.0,0.9,318.11730982499995
97,98,16:10,16:00-16:10,960,970,0.8271,5671.0146,2998.4247,945.1691000000001,499.73744999999997,445.4316500000001,0.0,0.0,10800.0,0.0,0.0,10800.0,0.9,368.41651771500005
98,99,16:20,16:10-16:20,970,980,0.8519,5661.5926,2687.4131,943.5987666666666,447.90218333333337,495.69658333333325,0.0,0.0,10800.0,0.0,0.0,10800.0,0.9,422.2839193416666
99,100,16:30,16:20-16:30,980,990,0.8791,5665.8922,2383.1779,944.3153666666667,397.1963166666667,547.11905,0.0,0.0,10800.0,0.0,0.0,10800.0,0.9,480.972356855
100,101,16:40,16:30-16:40,990,1000,0.9024,5689.0372,2089.1246,948.1728666666666,348.18743333333333,599.9854333333333,0.0,0.0,10800.0,0.0,0.0,10800.0,0.9,541.42685504
101,102,16:50,16:40-16:50,1000,1010,0.9163,5603.6614,1791.0829,933.9435666666666,298.5138166666667,635.4297499999999,0.0,0.0,10800.0,0.0,0.0,10800.0,0.9,582.2442799249999
102,103,17:00,16:50-17:00,1010,1020,0.9264,5466.7124,1501.7283,911.1187333333334,250.28805,660.8306833333334,0.0,-0.0,10800.0,0.0,0.0,10800.0,0.9,612.19354504
103,104,17:10,17:00-17:10,1020,1030,0.9462,5467.3939,1255.1723,911.2323166666666,209.19538333333333,702.0369333333333,0.0,-0.0,10800.0,0.0,0.0,10800.0,0.9,664.26734632
104,105,17:20,17:10-17:20,1030,1040,0.9742,5464.727,1036.3323,910.7878333333333,172.72205,738.0657833333333,0.0,0.0,10800.0,0.0,0.0,10800.0,0.9,719.0236861233333
105,106,17:30,17:20-17:30,1040,1050,0.9862,5492.4458,836.7775,915.4076333333334,139.46291666666667,775.9447166666666,0.0,-0.0,10800.0,0.0,0.0,10800.0,0.9,765.2366795766666
106,107,17:40,17:30-17:40,1050,1060,0.976,5621.7308,665.2313,936.9551333333334,110.87188333333333,826.08325,0.0,0.0,10800.0,0.0,0.0,10800.0,0.9,806.257252
107,108,17:50,17:40-17:50,1060,1070,1.0742,5091.2126,516.6758,848.5354333333332,86.11263333333332,762.4227999999999,0.0,-0.0,10800.0,0.0,0.0,10800.0,0.9,818.99457176
108,109,18:00,17:50-18:00,1070,1080,1.2313,4208.5688,386.6731,701.4281333333333,64.44551666666666,636.9826166666667,0.0,-0.0,10800.0,0.0,0.0,10800.0,0.9,784.3166959016667
109,110,18:10,18:00-18:10,1080,1090,1.2561,4122.7611,275.7933,687.1268499999999,45.96554999999999,641.1612999999999,0.0,-0.0,10800.0,0.0,0.0,10800.0,0.9,805.3627089299998
110,111,18:20,18:10-18:20,1090,1100,1.2447,4255.9358,182.9526,709.3226333333333,30.492099999999997,678.8305333333333,0.0,0.0,10800.0,0.0,0.0,10800.0,0.9,844.9403648399999
111,112,18:30,18:20-18:30,1100,1110,1.2545,4225.9524,108.3414,704.3254,18.0569,686.2684999999999,0.0,0.0,10800.0,0.0,0.0,10800.0,0.9,860.9238332499998
112,113,18:40,18:30-18:40,1110,1120,1.2522,4233.3384,54.3121,705.5563999999999,9.052016666666667,696.5043833333333,0.0,0.0,10800.0,0.0,0.0,10800.0,0.9,872.1627888099999
113,114,18:50,18:40-18:50,1120,1130,1.2881,4246.4625,18.6569,707.7437499999999,3.1094833333333334,370.7327499999996,0.0,333.90151666666696,10407.17468627451,0.0,0.0,10800.0,0.8672645571895424,477.5408552749995
114,115,19:00,18:50-19:00,1130,1140,1.3466,4239.1795,0.2753,706.5299166666666,0.04588333333333333,0.0,0.0,706.4840333333333,9576.017,0.0,0.0,10407.17468627451,0.7980014166666667,0.0
115,116,19:10,19:00-19:10,1140,1150,1.3523,4244.6684,0.2296,707.4447333333333,0.038266666666666664,0.0,0.0,707.4064666666666,8743.774098039215,0.0,0.0,9576.017,0.728647841503268,0.0
116,117,19:20,19:10-19:20,1150,1160,1.3445,4251.9187,0.6007,708.6531166666666,0.10011666666666666,0.0,0.0,708.553,7910.182333333332,0.0,0.0,8743.774098039215,0.659181861111111,0.0
117,118,19:30,19:20-19:30,1160,1170,1.3483,4256.6813,0.0,709.4468833333333,0.0,0.0,0.0,709.4468833333333,7075.53894117647,0.0,0.0,7910.182333333332,0.5896282450980391,0.0
118,119,19:40,19:30-19:40,1170,1180,1.349,4267.3947,0.0,711.23245,0.0,0.0,0.0,711.23245,6238.7948823529405,0.0,0.0,7075.53894117647,0.5198995735294117,0.0
119,120,19:50,19:40-19:50,1180,1190,1.3473,4269.975,0.0,711.6625,0.0,0.0,0.0,711.6625,5401.5448823529405,0.0,0.0,6238.7948823529405,0.45012874019607835,0.0
120,121,20:00,19:50-20:00,1190,1200,1.3482,4268.6702,0.0,711.4450333333332,0.0,0.0,0.0,711.4450333333332,4564.550725490196,0.0,0.0,5401.5448823529405,0.380379227124183,0.0
121,122,20:10,20:00-20:10,1200,1210,1.3513,4282.2245,0.0,713.7040833333333,0.0,0.0,0.0,713.7040833333333,3724.898862745098,0.0,0.0,4564.550725490196,0.3104082385620915,0.0
122,123,20:20,20:10-20:20,1210,1220,1.34,4291.7049,0.0,715.28415,0.0,0.0,0.0,715.28415,2883.388098039216,0.0,0.0,3724.898862745098,0.240282341503268,0.0
123,124,20:30,20:20-20:30,1220,1230,1.3489,4291.3611,0.0,715.22685,0.0,0.0,0.0,715.22685,2041.9447450980392,0.0,0.0,2883.388098039216,0.17016206209150328,0.0
124,125,20:40,20:30-20:40,1230,1240,1.3952,4293.9182,0.0,715.6530333333333,0.0,0.0,0.0,715.6530333333333,1200.0,0.0,0.0,2041.9447450980392,0.1,0.0
125,126,20:50,20:40-20:50,1240,1250,1.2226,4295.2135,0.0,715.8689166666666,0.0,715.8689166666666,0.0,0.0,1200.0,0.0,0.0,1200.0,0.1,875.2213375166665
126,127,21:00,20:50-21:00,1250,1260,0.9332,4302.0307,0.0,717.0051166666667,0.0,717.0051166666667,0.0,0.0,1200.0,0.0,0.0,1200.0,0.1,669.1091748733334
127,128,21:10,21:00-21:10,1260,1270,0.9068,4320.9618,0.0,720.1603,0.0,720.1603,0.0,0.0,1200.0,0.0,0.0,1200.0,0.1,653.0413600400001
128,129,21:20,21:10-21:20,1270,1280,0.9371,4302.3292,0.0,717.0548666666666,0.0,717.0548666666666,0.0,0.0,1200.0,0.0,0.0,1200.0,0.1,671.9521155533333
129,130,21:30,21:20-21:30,1280,1290,0.9371,4322.6758,0.0,720.4459666666667,0.0,720.4459666666667,0.0,0.0,1200.0,0.0,0.0,1200.0,0.1,675.1299153633333
130,131,21:40,21:30-21:40,1290,1300,0.9871,4428.8083,0.0,738.1347166666666,0.0,738.1347166666666,0.0,-0.0,1200.0,0.0,0.0,1200.0,0.1,728.6127788216666
131,132,21:50,21:40-21:50,1300,1310,0.7764,4030.1614,0.0,671.6935666666666,0.0,671.6935666666666,0.0,-0.0,1200.0,0.0,0.0,1200.0,0.1,521.5028851599999
132,133,22:00,21:50-22:00,1310,1320,0.4209,3362.7419,0.0,560.4569833333333,0.0,1393.7903166666665,833.3333333333333,0.0,1908.3333333333333,0.0,1.0,1200.0,0.15902777777777777,586.6463442849999
