scenario,resource,base_limit,increment,increment_period_kwh,base_cost_yuan,relaxed_cost_yuan,saving_yuan,value_per_unit_day,unit,active_count,active_periods,economic_bottleneck,global_gap
eta095_l95_pv105,charge_power,5000,1.0,0.16666666666666666,28908.851355285038,28908.829888618373,0.021466666665219236,0.021466666665219236,yuan/(kW day),10,1;2;34;76;132;133;135;136;138;141,1,0.0
eta095_l95_pv105,discharge_power,5000,1.0,0.16666666666666666,28908.851355285038,28908.851355285038,0.0,0.0,yuan/(kW day),0,,0,0.0
eta095_l100_pv95,storage_upper,10800.0,1.0,1.0,35282.029958810956,35281.27187749517,0.7580813157837838,0.7580813157837838,yuan/(kWh day),20,34;86;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108,1,0.0
eta095_l100_pv95,charge_power,5000,1.0,0.16666666666666666,35282.029958810956,35281.94089214429,0.08906666666734964,0.08906666666734964,yuan/(kW day),21,1;2;3;4;5;34;67;69;70;71;72;73;74;75;76;132;133;135;136;138;141,1,0.0
eta095_l100_pv95,discharge_power,5000,1.0,0.16666666666666666,35282.029958810956,35282.029958810956,0.0,0.0,yuan/(kW day),0,,0,0.0
eta095_l100_pv100,storage_upper,10800.0,1.0,1.0,33767.03262075282,33766.28974680545,0.7428739473689348,0.7428739473689348,yuan/(kWh day),20,34;87;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108,1,0.0
eta095_l100_pv100,charge_power,5000,1.0,0.16666666666666666,33767.03262075282,33766.99050408615,0.042116666671063285,0.042116666671063285,yuan/(kW day),18,1;2;3;4;5;34;71;72;73;74;75;76;132;133;135;136;138;141,1,0.0
eta095_l100_pv100,discharge_power,5000,1.0,0.16666666666666666,33767.03262075282,33767.03262075282,0.0,0.0,yuan/(kW day),0,,0,0.0
eta095_l100_pv105,storage_upper,10800.0,1.0,1.0,32324.39264738107,32323.649773433703,0.7428739473689348,0.7428739473689348,yuan/(kWh day),20,34;88;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108,1,0.0
eta095_l100_pv105,charge_power,5000,1.0,0.16666666666666666,32324.39264738107,32324.36719738107,0.025450000001001172,0.025450000001001172,yuan/(kW day),14,1;2;3;4;5;34;73;76;132;133;135;136;138;141,1,0.0
eta095_l100_pv105,discharge_power,5000,1.0,0.16666666666666666,32324.39264738107,32324.39264738107,0.0,0.0,yuan/(kW day),0,,0,0.0
eta095_l105_pv95,storage_upper,10800.0,1.0,1.0,39013.59798302039,39012.657876441444,0.9401065789425047,0.9401065789425047,yuan/(kWh day),21,34;35;84;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108,1,0.0
eta095_l105_pv95,charge_power,5000,1.0,0.16666666666666666,39013.59798302039,39013.505916353715,0.0920666666715988,0.0920666666715988,yuan/(kW day),22,1;2;3;4;5;34;67;68;69;70;71;72;73;74;75;76;132;133;135;136;138;141,1,0.0
eta095_l105_pv95,discharge_power,5000,1.0,0.16666666666666666,39013.59798302039,39013.59798302039,0.0,0.0,yuan/(kW day),0,,0,0.0
eta095_l105_pv100,storage_upper,10800.0,1.0,1.0,37355.47580395527,37354.717722639485,0.7580813157837838,0.7580813157837838,yuan/(kWh day),20,34;86;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108,1,0.0
eta095_l105_pv100,charge_power,5000,1.0,0.16666666666666666,37355.47580395527,37355.3867372886,0.08906666666734964,0.08906666666734964,yuan/(kW day),21,1;2;3;4;5;34;67;69;70;71;72;73;74;75;76;132;133;135;136;138;141,1,0.0
eta095_l105_pv100,discharge_power,5000,1.0,0.16666666666666666,37355.47580395527,37355.47580395527,0.0,0.0,yuan/(kW day),0,,0,0.0
eta095_l105_pv105,storage_upper,10800.0,1.0,1.0,35824.654348538,35823.91147459063,0.7428739473689348,0.7428739473689348,yuan/(kWh day),20,34;87;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108,1,0.0
eta095_l105_pv105,charge_power,5000,1.0,0.16666666666666666,35824.654348538,35824.59788187133,0.05646666667598765,0.05646666667598765,yuan/(kW day),19,1;2;3;4;5;34;67;71;72;73;74;75;76;132;133;135;136;138;141,1,0.0
eta095_l105_pv105,discharge_power,5000,1.0,0.16666666666666666,35824.654348538,35824.654348538,0.0,0.0,yuan/(kW day),0,,0,0.0
roundtrip090_l95_pv95,storage_upper,10800.0,1.0,1.0,31745.0499185151,31744.31084152129,0.7390769938101585,0.7390769938101585,yuan/(kWh day),20,34;87;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108,1,0.0
roundtrip090_l95_pv95,charge_power,5000,1.0,0.16666666666666666,31745.0499185151,31745.00780184843,0.042116666667425307,0.042116666667425307,yuan/(kW day),18,1;2;3;4;5;34;71;72;73;74;75;76;132;133;135;136;138;141,1,0.0
roundtrip090_l95_pv95,discharge_power,5000,1.0,0.16666666666666666,31745.0499185151,31745.0499185151,0.0,0.0,yuan/(kW day),0,,0,1.145998767187285e-16
roundtrip090_l95_pv100,storage_upper,10800.0,1.0,1.0,30307.065513482936,30306.32643648913,0.7390769938065205,0.7390769938065205,yuan/(kWh day),20,34;88;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108,1,0.0
roundtrip090_l95_pv100,charge_power,5000,1.0,0.16666666666666666,30307.065513482936,30307.04076348294,0.024749999996856786,0.024749999996856786,yuan/(kW day),13,1;2;3;4;5;34;76;132;133;135;136;138;141,1,0.0
roundtrip090_l95_pv100,discharge_power,5000,1.0,0.16666666666666666,30307.065513482936,30307.065513482936,0.0,0.0,yuan/(kW day),0,,0,0.0
roundtrip090_l95_pv105,storage_upper,10800.0,1.0,1.0,28940.217957231962,28939.4778261456,0.7401310863606341,0.7401310863606341,yuan/(kWh day),20,89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108,1,0.0
roundtrip090_l95_pv105,charge_power,5000,1.0,0.16666666666666666,28940.217957231962,28940.196490565297,0.021466666665219236,0.021466666665219236,yuan/(kW day),10,1;2;34;76;132;133;135;136;138;141,1,0.0
roundtrip090_l95_pv105,discharge_power,5000,1.0,0.16666666666666666,28940.217957231962,28940.217957231962,0.0,0.0,yuan/(kW day),0,,0,0.0
roundtrip090_l100_pv95,storage_upper,10800.0,1.0,1.0,35318.55151691643,35317.797197744294,0.7543191721342737,0.7543191721342737,yuan/(kWh day),20,34;86;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108,1,0.0
roundtrip090_l100_pv95,charge_power,5000,1.0,0.16666666666666666,35318.55151691643,35318.46245024976,0.08906666666734964,0.08906666666734964,yuan/(kW day),21,1;2;3;4;5;34;67;69;70;71;72;73;74;75;76;132;133;135;136;138;141,1,0.0
roundtrip090_l100_pv95,discharge_power,5000,1.0,0.16666666666666666,35318.55151691643,35318.55151691643,0.0,0.0,yuan/(kW day),0,,0,0.0
roundtrip090_l100_pv100,storage_upper,10800.0,1.0,1.0,33801.495542222016,33800.75494733493,0.7405948870873544,0.7405948870873544,yuan/(kWh day),20,34;87;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108,1,0.0
roundtrip090_l100_pv100,charge_power,5000,1.0,0.16666666666666666,33801.495542222016,33801.45342555535,0.04211666666378733,0.04211666666378733,yuan/(kW day),18,1;2;3;4;5;34;71;72;73;74;75;76;132;133;135;136;138;141,1,0.0
roundtrip090_l100_pv100,discharge_power,5000,1.0,0.16666666666666666,33801.495542222016,33801.495542222016,0.0,0.0,yuan/(kW day),0,,0,0.0
roundtrip090_l100_pv105,storage_upper,10800.0,1.0,1.0,32357.40959045768,32356.668995570595,0.7405948870837165,0.7405948870837165,yuan/(kWh day),20,34;88;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108,1,0.0
roundtrip090_l100_pv105,charge_power,5000,1.0,0.16666666666666666,32357.40959045768,32357.38414045768,0.025449999997363193,0.025449999997363193,yuan/(kW day),14,1;2;3;4;5;34;73;76;132;133;135;136;138;141,1,0.0
roundtrip090_l100_pv105,discharge_power,5000,1.0,0.16666666666666666,32357.40959045768,32357.40959045768,0.0,0.0,yuan/(kW day),0,,0,0.0
roundtrip090_l105_pv95,storage_upper,10800.0,1.0,1.0,39052.99170843979,39052.05562154775,0.9360868920412031,0.9360868920412031,yuan/(kWh day),21,34;35;84;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108,1,0.0
roundtrip090_l105_pv95,charge_power,5000,1.0,0.16666666666666666,39052.99170843979,39052.899641773125,0.09206666666432284,0.09206666666432284,yuan/(kW day),22,1;2;3;4;5;34;67;68;69;70;71;72;73;74;75;76;132;133;135;136;138;141,1,0.0
roundtrip090_l105_pv95,discharge_power,5000,1.0,0.16666666666666666,39052.99170843979,39052.99170843979,0.0,0.0,yuan/(kW day),0,,0,0.0
roundtrip090_l105_pv100,storage_upper,10800.0,1.0,1.0,37392.00496417293,37391.25064500079,0.7543191721342737,0.7543191721342737,yuan/(kWh day),20,34;86;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108,1,0.0
roundtrip090_l105_pv100,charge_power,5000,1.0,0.16666666666666666,37392.00496417293,37391.91589750626,0.08906666666734964,0.08906666666734964,yuan/(kW day),21,1;2;3;4;5;34;67;69;70;71;72;73;74;75;76;132;133;135;136;138;141,1,0.0
roundtrip090_l105_pv100,discharge_power,5000,1.0,0.16666666666666666,37392.00496417293,37392.00496417293,0.0,0.0,yuan/(kW day),0,,0,0.0
roundtrip090_l105_pv105,storage_upper,10800.0,1.0,1.0,35860.09207475507,35859.35147986798,0.7405948870873544,0.7405948870873544,yuan/(kWh day),20,34;87;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108,1,0.0
roundtrip090_l105_pv105,charge_power,5000,1.0,0.16666666666666666,35860.09207475507,35860.03560808841,0.05646666666143574,0.05646666666143574,yuan/(kW day),19,1;2;3;4;5;34;67;71;72;73;74;75;76;132;133;135;136;138;141,1,0.0
roundtrip090_l105_pv105,discharge_power,5000,1.0,0.16666666666666666,35860.09207475507,35860.09207475507,0.0,0.0,yuan/(kW day),0,,0,0.0
