scenario,efficiency_name,load_delta,pv_delta,eta_c,eta_d,roundtrip_efficiency,cost_yuan,grid_kwh,curtail_kwh,charge_kwh,discharge_kwh,load_kwh,pv_kwh,soc_min_kwh,soc_max_kwh,initial_kwh,terminal_kwh,loss_kwh,charge_weighted_price,discharge_weighted_price,pv_surplus_kwh,pv_surplus_absorbed_kwh,arbitrage_price_multiplier,E_min_active_count,E_max_active_count,charge_active_count,discharge_active_count,storage_upper_value,charge_power_value,discharge_power_value,mode_blocks_tendency_count,action_changed_periods,max_soc_change_from_main_kwh
eta095_l100_pv95,eta095,0.0,-0.05,0.95,0.95,0.9025,35282.02995881096,60309.6325442013,0.0,20446.341820867965,18452.823493333337,111024.8081,52708.69388333333,1200.0,10800.0,6000.0,6000.0,1993.5183275346262,0.4755542914674608,1.1202008876308553,4566.671933333331,4566.671933333331,1.10803324099723,9,20,21,0,0.7580813157837838,0.08906666666734964,0.0,22,3,1019.2857126574063
eta095_l100_pv100,eta095,0.0,0.0,0.95,0.95,0.9025,33767.03262075283,57472.64310064635,0.0,19801.750433979694,17871.07976666667,111024.8081,55482.835666666666,1200.0,10800.0,6000.0,6000.0,1930.6706673130197,0.49514411820093324,1.122035628102404,6247.962966666666,6247.962966666666,1.10803324099723,8,20,18,0,0.7428739473689348,0.042116666671063285,0.0,22,1,622.252842105263
eta095_l100_pv105,eta095,0.0,0.05,0.95,0.95,0.9025,32324.392647381075,54636.113060166186,0.0,19161.87087349953,17293.588463333337,111024.8081,58256.97745,1200.0,10800.0,6000.0,6000.0,1868.2824101662045,0.5223567487957571,1.1266595995927053,8041.639749166668,8041.639749166668,1.10803324099723,8,20,14,0,0.7428739473689348,0.025450000001001172,0.0,22,3,952.5829513886529
eta095_l105_pv95,eta095,0.05,-0.05,0.95,0.95,0.9025,39013.59798302039,65882.1324927193,0.0,20664.388421052638,18649.61055,116576.048505,52708.69388333333,1200.0,10800.0,6000.0,6000.0,2014.7778710526318,0.46442013259509873,1.1383016101251466,3351.0007116666634,3351.0007116666634,1.10803324099723,9,21,22,0,0.9401065789425047,0.0920666666715988,0.0,23,9,1236.68533124074
eta095_l105_pv100,eta095,0.05,0.0,0.95,0.95,0.9025,37355.475803955276,63087.135460016165,0.0,20450.488427516164,18456.565805833336,116576.048505,55482.835666666666,1200.0,10800.0,6000.0,6000.0,1993.9226216828256,0.4781098568383346,1.12980785028433,4877.386121666665,4877.386121666665,1.10803324099723,9,20,21,0,0.7580813157837838,0.08906666666734964,0.0,22,5,960.14778199074
eta095_l105_pv105,eta095,0.05,0.05,0.95,0.95,0.9025,35824.654348538,60297.01209778394,0.0,20286.574797783946,18308.633755,116576.048505,58256.97745,1200.0,10800.0,6000.0,6000.0,1977.9410427839339,0.49744448570939215,1.1186965830156235,6560.361115,6560.361115,1.10803324099723,8,20,19,0,0.7428739473689348,0.05646666667598765,0.0,22,3,653.3654842105261
roundtrip090_l95_pv95,roundtrip090,-0.05,-0.05,0.9486832980505138,0.9486832980505138,0.8999999999999999,31745.049918515095,54700.52774940203,0.0,19356.539377353634,17420.885439618265,105473.56769499999,52708.69388333333,1200.0,10800.0,6000.0,6000.0,1935.6539377353647,0.49270825541213986,1.125411359962686,5935.564818333332,5935.564818333332,1.1111111111111112,8,20,18,0,0.7390769938101585,0.042116666667425307,0.0,22,4,936.0191710503859
roundtrip090_l95_pv100,roundtrip090,-0.05,0.0,0.9486832980505138,0.9486832980505138,0.8999999999999999,30307.065513482936,51862.477730235354,0.0,18717.45701902029,16845.711317118265,105473.56769499999,55482.835666666666,1200.0,10800.0,6000.0,6000.0,1871.7457019020308,0.5208390084736517,1.1302608945976858,7731.5587816666675,7731.5587816666675,1.1111111111111112,8,20,13,0,0.7390769938065205,0.024749999996856786,0.0,22,6,1334.7356074212557
roundtrip090_l95_pv105,roundtrip090,-0.05,0.05,0.9486832980505138,0.9486832980505138,0.8999999999999999,28940.217957231966,49035.43822773535,0.0,18188.47982735363,16369.631844618263,105473.56769499999,58256.97745,1200.0,10800.0,6000.0,6000.0,1818.8479827353644,0.5569646260690423,1.1346132609072779,9626.647395000002,9626.647395000002,1.1111111111111112,8,20,10,0,0.7401310863606341,0.021466666665219236,0.0,24,12,2435.065981710788
roundtrip090_l100_pv95,roundtrip090,0.0,-0.05,0.9486832980505138,0.9486832980505138,0.8999999999999999,35318.55151691643,60363.61897398924,0.0,20475.047573225773,18427.542815903194,111024.8081,52708.69388333333,1200.0,10800.0,6000.0,6000.0,2047.504757322579,0.47554343823667566,1.1204845284043872,4566.671933333331,4566.671933333331,1.1111111111111112,9,20,21,0,0.7543191721342737,0.08906666666734964,0.0,22,3,1020.3273324900545
roundtrip090_l100_pv100,roundtrip090,0.0,0.0,0.9486832980505138,0.9486832980505138,0.8999999999999999,33801.49554222201,57526.24348088351,0.0,19842.710475501775,17858.4394279516,111024.8081,55482.835666666666,1200.0,10800.0,6000.0,6000.0,1984.2710475501794,0.4950586595316741,1.12194073632436,6247.962966666666,6247.962966666666,1.1111111111111112,8,20,18,0,0.7405948870873544,0.04211666666378733,0.0,22,1,623.1164828291567
roundtrip090_l100_pv105,roundtrip090,0.0,0.05,0.9486832980505138,0.9486832980505138,0.8999999999999999,32357.40959045768,54687.935997179804,0.0,19201.053471798074,17280.948124618266,111024.8081,58256.97745,1200.0,10800.0,6000.0,6000.0,1920.105347179809,0.5221834311679051,1.1265649189945832,8041.639749166668,8041.639749166668,1.1111111111111112,8,20,14,0,0.7405948870837165,0.025449999997363193,0.0,22,3,938.3160460254953
roundtrip090_l105_pv95,roundtrip090,0.05,-0.05,0.9486832980505138,0.9486832980505138,0.8999999999999999,39052.99170843979,65936.72460750776,0.0,20693.699858410957,18624.329872569866,116576.048505,52708.69388333333,1200.0,10800.0,6000.0,6000.0,2069.369985841098,0.4644317834561215,1.1384754274636566,3351.0007116666634,3351.0007116666634,1.1111111111111112,9,21,22,0,0.9360868920412031,0.09206666666432284,0.0,23,9,1237.1212571668013
roundtrip090_l105_pv100,roundtrip090,0.05,0.0,0.9486832980505138,0.9486832980505138,0.8999999999999999,37392.00496417293,63141.1334081559,0.0,20479.205698225775,18431.2851284032,116576.048505,55482.835666666666,1200.0,10800.0,6000.0,6000.0,2047.9205698225794,0.4780955259715526,1.1301046105473507,4877.386121666665,4877.386121666665,1.1111111111111112,9,20,21,0,0.7543191721342737,0.08906666666734964,0.0,22,5,961.271367116648
roundtrip090_l105_pv105,roundtrip090,0.05,0.05,0.9486832980505138,0.9486832980505138,0.8999999999999999,35860.09207475507,60351.95921236499,0.0,20328.881573649924,18295.993416284935,116576.048505,58256.97745,1200.0,10800.0,6000.0,6000.0,2032.8881573649944,0.4973714332101576,1.118601653721992,6560.361115,6560.361115,1.1111111111111112,8,20,19,0,0.7405948870873544,0.05646666666143574,0.0,22,3,654.2723069706135
