材料路径,项目来源,内容与用途,字节数,SHA256
docs/CUMCM2026Problems/C题/C题.pdf,docs/CUMCM2026Problems/C题/C题.pdf,原始附件、结果模板及程序读取的模型文件,354389,2c098f6ae9dd47ae965aebdec3b9facf3de6c173f999783c1012c08fc5fb9d2d
docs/CUMCM2026Problems/C题/附件/附件1.xlsx,docs/CUMCM2026Problems/C题/附件/附件1.xlsx,原始附件、结果模板及程序读取的模型文件,16003,66b87134f5ecccd68184d3539bb1293ef039f9e0fdd955a589b9bfa7f227c377
docs/CUMCM2026Problems/C题/附件/附件2.xlsx,docs/CUMCM2026Problems/C题/附件/附件2.xlsx,原始附件、结果模板及程序读取的模型文件,907128,2e95fd446bfafa0d8c59577b5c2e2ea8b3f1def20dde54a3062556f4da9b4c72
docs/CUMCM2026Problems/C题/附件/附件3.xlsx,docs/CUMCM2026Problems/C题/附件/附件3.xlsx,原始附件、结果模板及程序读取的模型文件,293526,8a61b06c52bd0d639a1cc37c61a7d9f5b75edcbca718f64c1bd3498ec9f9d843
docs/CUMCM2026Problems/C题/附件/附件4.xlsx,docs/CUMCM2026Problems/C题/附件/附件4.xlsx,原始附件、结果模板及程序读取的模型文件,409790,20e9c93aeab5e8e21ae4dd15587f9e190f7408692504c1319598461cd654fe71
docs/CUMCM2026Problems/C题/附件/附件5/result1.xlsx,docs/CUMCM2026Problems/C题/附件/附件5/result1.xlsx,原始附件、结果模板及程序读取的模型文件,13323,28360e0974e7d6065394a8aba4e14a86773ae0036cc7d3ea1b211b515b03d688
docs/CUMCM2026Problems/C题/附件/附件5/result2.xlsx,docs/CUMCM2026Problems/C题/附件/附件5/result2.xlsx,原始附件、结果模板及程序读取的模型文件,18397,1c26494cfc6d754e0bd9bff7e13e1126a73d2d2da6c5336eb251d89b9a1a1a47
docs/CUMCM2026Problems/C题/附件/附件5/result3.xlsx,docs/CUMCM2026Problems/C题/附件/附件5/result3.xlsx,原始附件、结果模板及程序读取的模型文件,265429,c59da470cabd0be23f602c95c8aa9d11ec224a0cdac216b3e1f218e65d006bdc
docs/CUMCM2026Problems/C题/附件/附件5/result4-2.xlsx,docs/CUMCM2026Problems/C题/附件/附件5/result4-2.xlsx,原始附件、结果模板及程序读取的模型文件,18397,1c26494cfc6d754e0bd9bff7e13e1126a73d2d2da6c5336eb251d89b9a1a1a47
docs/CUMCM2026Problems/C题/附件/附件5/result4-3.xlsx,docs/CUMCM2026Problems/C题/附件/附件5/result4-3.xlsx,原始附件、结果模板及程序读取的模型文件,265429,c59da470cabd0be23f602c95c8aa9d11ec224a0cdac216b3e1f218e65d006bdc
docs/sensitivity_q2_q3/results.md,docs/sensitivity_q2_q3/results.md,必要的运行/实验说明与正式数值依据,9754,33b5080314bb01fc8ac678d3f1a8a962abd34ffe1217c0e1694f8b1bc99631d5
docs/sensitivity_q2_q3/问题2与问题3敏感性分析实验方案_时间受限版.md,docs/sensitivity_q2_q3/问题2与问题3敏感性分析实验方案_时间受限版.md,必要的运行/实验说明与正式数值依据,10743,866563d9481f002ba4feba69b1b7e113027d92f3f8d94b4df9ccac3838a3696f
docs/sensitivity_q4/results.md,docs/sensitivity_q4/results.md,必要的运行/实验说明与正式数值依据,9120,4dbd75942b6e7a1bb5806c2de4d49ca96744365dcf24bc2ae0de8afdec9e8ae7
docs/sensitivity_q4/run_guide.md,docs/sensitivity_q4/run_guide.md,必要的运行/实验说明与正式数值依据,2153,03f58c2cb47e780b2a9629210a8984eac68c6672c522f3f270e9221913f2db9a
docs/sensitivity_q4/问题四敏感性分析实验方案_时间受限版.md,docs/sensitivity_q4/问题四敏感性分析实验方案_时间受限版.md,必要的运行/实验说明与正式数值依据,15286,7baec4df17f43ec42c9f8c1769b754d831a58a005c1de9ffe487f09b0c89c17d
inputs/q3/processed/actual_quality.csv,outputs/history/approval_full_20260913_192745/inputs/q3/processed/actual_quality.csv,实验/导出必需文件，原样保留,2482,3684b0b880d47d108e7f75c33e0a91f5e94a569cb7cb465ee0ead85a6b5a3af2
inputs/q4/rescue_processed/actual_prices.csv,inputs/q4/rescue_processed/actual_prices.csv,Q4正式价格预测缓存,891155,323ace19b941924284464fb609faad9c5c14e1538a8b81967e5e1d8702bad0bc
inputs/q4/rescue_processed/price_forecasts.csv,inputs/q4/rescue_processed/price_forecasts.csv,Q4正式价格预测缓存,2005916,ca0e1932f12903a03f76cf5e7f7153699f72929c223afcec1abc60e0e106d2fb
inputs/q4/rescue_processed/price_residuals.csv,inputs/q4/rescue_processed/price_residuals.csv,Q4正式价格预测缓存,1107555,c33f382e44185309ebe8542db6158d72b787a0996dc109eff58f53eccf823cb9
inputs/q4/rescue_processed/source_manifest.json,inputs/q4/rescue_processed/source_manifest.json,Q4正式价格预测缓存,119202,afa62dc2b908a3f886f5366e44f5489c6e13632bcbd53c2947dd78608fc52051
outputs/.q1-runs/run-ie6fkatf/processed/daily_summary.csv,outputs/.q1-runs/run-ie6fkatf/processed/daily_summary.csv,第一问最终Excel导出所需CSV,495,07fc345d418fe9d0e0367c6810aa09337d04fdf6b3a991904fb1cc68de517570
outputs/.q1-runs/run-ie6fkatf/processed/result1.csv,outputs/.q1-runs/run-ie6fkatf/processed/result1.csv,第一问最终Excel导出所需CSV,25008,d3adfe5f9f06d16c75d8e3a11e2b3f8152f1fd947ea59742fc69ca3ff6542535
outputs/.q1-runs/run-ie6fkatf/processed/table1_purchase.csv,outputs/.q1-runs/run-ie6fkatf/processed/table1_purchase.csv,第一问最终Excel导出所需CSV,163,477d7f80e720e4eba37aeea00c989e96991e7fb0151487aec10070f15e3bc13d
outputs/.q1-runs/run-ie6fkatf/processed/table2_storage.csv,outputs/.q1-runs/run-ie6fkatf/processed/table2_storage.csv,第一问最终Excel导出所需CSV,284,8eb93598ac664659d15755c51aaac22309e02d009bf2e797c2f7d45f1a723d94
outputs/final/result1.xlsx,outputs/final/result1.xlsx,五份最终提交Excel,7473,3734858c83869538470cedade74a7f9ea358b61e55a83c3875f6b1ee476e41c8
outputs/final/result2.xlsx,outputs/final/result2.xlsx,五份最终提交Excel,677296,e0b3d23703096bdc8b0a815c7fdb0d7dcef28c18ab9fbe8e767ceeb53eeb314c
outputs/final/result3.xlsx,outputs/final/result3.xlsx,五份最终提交Excel,1141876,be09ffb1ac5088350cc2032f320166fcd2e161db79d6ce557c353f216fabdc81
outputs/final/result4-2.xlsx,outputs/final/result4-2.xlsx,五份最终提交Excel,693831,45175b9bb02883e88a07ce53f63341dd1fd95bfa65fdb3ad9a22ef8e45524283
outputs/final/result4-3.xlsx,outputs/final/result4-3.xlsx,五份最终提交Excel,1225081,04abb525c2987449e71e97d32d8e8c4f6d45737b4df9727f87afb84deaec3d9c
outputs/processed/sensitivity_q2_q3/aggregate_results.csv,outputs/processed/sensitivity_q2_q3/aggregate_results.csv,敏感性/前瞻比较的冻结输入和结果汇总,11921,87a4a35edb66bbae902cbd926245ef78f8ba9aee169a2954aa24b185b3b92493
outputs/processed/sensitivity_q2_q3/daily_results.csv,outputs/processed/sensitivity_q2_q3/daily_results.csv,敏感性/前瞻比较的冻结输入和结果汇总,33410,27dda77e26fab834db790d7f2835723dc5756d8a452760770ae7f63d9c803e59
outputs/processed/sensitivity_q2_q3/independent_acceptance.json,outputs/processed/sensitivity_q2_q3/independent_acceptance.json,敏感性/前瞻比较的冻结输入和结果汇总,514,9b90ffb217bf6707331716e5de7567ecdd6d9682458488ca7f050f28cddfd9bc
outputs/processed/sensitivity_q2_q3/index.html,outputs/processed/sensitivity_q2_q3/index.html,敏感性/前瞻比较的冻结输入和结果汇总,4912,01415eb3573c17ef92bf24051e12efc919737ebb78d1726630fc36c411477ea5
outputs/processed/sensitivity_q2_q3/report.md,outputs/processed/sensitivity_q2_q3/report.md,敏感性/前瞻比较的冻结输入和结果汇总,9754,33b5080314bb01fc8ac678d3f1a8a962abd34ffe1217c0e1694f8b1bc99631d5
outputs/processed/sensitivity_q2_q3/solver_quality.csv,outputs/processed/sensitivity_q2_q3/solver_quality.csv,敏感性/前瞻比较的冻结输入和结果汇总,21945,cb84d65378cc38145c8e485a721a1461b9eda51054defae2d309a529bfbac05f
outputs/processed/sensitivity_q4/daily_results.csv,outputs/processed/sensitivity_q4/daily_results.csv,敏感性/前瞻比较的冻结输入和结果汇总,10977,a8b5d1e40acc16e9c878d405e1c8265745462906f3a17f239b24efeb7ecfdc4c
outputs/processed/sensitivity_q4/index.html,outputs/processed/sensitivity_q4/index.html,敏感性/前瞻比较的冻结输入和结果汇总,11789,f0399bd4e97f3f549b79b0969e71a75877aef486de60325fcaecb1d4430c5046
outputs/processed/sensitivity_q4/results.md,outputs/processed/sensitivity_q4/results.md,敏感性/前瞻比较的冻结输入和结果汇总,9120,4dbd75942b6e7a1bb5806c2de4d49ca96744365dcf24bc2ae0de8afdec9e8ae7
outputs/processed/sensitivity_q4/solver_quality.csv,outputs/processed/sensitivity_q4/solver_quality.csv,敏感性/前瞻比较的冻结输入和结果汇总,5507,55bff6a06f490ee0394dd7746234b3dc6b05ef1a98a612ea75e6a28121ed1286
outputs/processed/sensitivity_q4/summary.csv,outputs/processed/sensitivity_q4/summary.csv,敏感性/前瞻比较的冻结输入和结果汇总,7137,d3c6b5ca0d8f0a3ef34935fdb0bf7662117ca03f516bb5d8e965fa5ba8b5c2fe
outputs/processed/sensitivity_q4/weight_reconstruction.csv,outputs/processed/sensitivity_q4/weight_reconstruction.csv,敏感性/前瞻比较的冻结输入和结果汇总,735,0f3def4e9a203393497ce4d08d383795e166ad46a6d55b5cff3f5fcc102e511d
outputs/q2/benchmarks/horizon_figure_20260913/2025-06-01_K1/audit.json,outputs/q2/benchmarks/horizon_figure_20260913/2025-06-01_K1/audit.json,敏感性/前瞻比较的冻结输入和结果汇总,1427,3a1b9da6283bb7725595cfbd6a37f52d3cc244f2c3fc7d6b7a3149cf9dda9ca2
outputs/q2/benchmarks/horizon_figure_20260913/2025-06-01_K1/dispatch.csv,outputs/q2/benchmarks/horizon_figure_20260913/2025-06-01_K1/dispatch.csv,敏感性/前瞻比较的冻结输入和结果汇总,38422,514f6054a18b95d4757c0c7019d982df5b5a1b2dede3f01d4d9a47bc40a896a3
outputs/q2/benchmarks/horizon_figure_20260913/2025-06-01_K1/result.json,outputs/q2/benchmarks/horizon_figure_20260913/2025-06-01_K1/result.json,敏感性/前瞻比较的冻结输入和结果汇总,447,ed9421e7d5f49fc451ab318faa7414ef65593d6b68279b6ec1e3c1edf2a4b8ed
outputs/q2/benchmarks/horizon_figure_20260913/2025-06-01_K2/audit.json,outputs/q2/benchmarks/horizon_figure_20260913/2025-06-01_K2/audit.json,敏感性/前瞻比较的冻结输入和结果汇总,1423,f8912334f70178064115a24ca227728c3f88bbd61f9e248b342c21cee2a5154d
outputs/q2/benchmarks/horizon_figure_20260913/2025-06-01_K2/dispatch.csv,outputs/q2/benchmarks/horizon_figure_20260913/2025-06-01_K2/dispatch.csv,敏感性/前瞻比较的冻结输入和结果汇总,38150,9f8854e6f2f2df69c02fce1e16eef498d52758fe7ee1a21828559f7d26a9693f
outputs/q2/benchmarks/horizon_figure_20260913/2025-06-01_K2/result.json,outputs/q2/benchmarks/horizon_figure_20260913/2025-06-01_K2/result.json,敏感性/前瞻比较的冻结输入和结果汇总,446,7be4f864fff106bc56db2f03ce603332658328f3887aa53c14e9a7af526cba8d
outputs/q2/benchmarks/horizon_figure_20260913/2025-06-01_K3/audit.json,outputs/q2/benchmarks/horizon_figure_20260913/2025-06-01_K3/audit.json,敏感性/前瞻比较的冻结输入和结果汇总,1428,7b8c53fd6dfbe7ae4b1b6964a1f021c11fe0edc3b4cf5b840610292ecada9bdf
outputs/q2/benchmarks/horizon_figure_20260913/2025-06-01_K3/dispatch.csv,outputs/q2/benchmarks/horizon_figure_20260913/2025-06-01_K3/dispatch.csv,敏感性/前瞻比较的冻结输入和结果汇总,38461,b60b4fbc62588182c4082d2fa193d04769771faa230c0b00c473ddfcbdc3c487
outputs/q2/benchmarks/horizon_figure_20260913/2025-06-01_K3/result.json,outputs/q2/benchmarks/horizon_figure_20260913/2025-06-01_K3/result.json,敏感性/前瞻比较的冻结输入和结果汇总,447,02208d858542732d9974c68c5f654410445aa37eba6dcb13fa86bfdb319f0a91
outputs/q2/benchmarks/horizon_figure_20260913/2025-06-02_K1/audit.json,outputs/q2/benchmarks/horizon_figure_20260913/2025-06-02_K1/audit.json,敏感性/前瞻比较的冻结输入和结果汇总,1425,706ceab99b60d87105e4ea47500800cb0cbb518e73f1f10e934334c074c7df63
outputs/q2/benchmarks/horizon_figure_20260913/2025-06-02_K1/dispatch.csv,outputs/q2/benchmarks/horizon_figure_20260913/2025-06-02_K1/dispatch.csv,敏感性/前瞻比较的冻结输入和结果汇总,38234,42c811fd9a65162cce2eaa9b3119d0322cc1bb0a1370fd80a5bd9f684b184849
outputs/q2/benchmarks/horizon_figure_20260913/2025-06-02_K1/result.json,outputs/q2/benchmarks/horizon_figure_20260913/2025-06-02_K1/result.json,敏感性/前瞻比较的冻结输入和结果汇总,448,6b5a23b1e6423ec0573567122232585ddd140bb2f6930c3bc191baaedb69d05e
outputs/q2/benchmarks/horizon_figure_20260913/2025-06-02_K2/audit.json,outputs/q2/benchmarks/horizon_figure_20260913/2025-06-02_K2/audit.json,敏感性/前瞻比较的冻结输入和结果汇总,1422,f8ff01c206fdc362a90564bbf3f73cbcd68e91b6dfaae0f49e08ec4cfed4812f
