scope,month,series,n,mean_kw,std_kw,daily_lag_r,weekly_lag_r,daily_pairs,weekly_pairs,mean_daily_amplitude_kw,mean_profile_amplitude_kw,cv
full_year,8,load_kw,4464,5045.1770503360212,1341.1164202634368,0.62566772094542256,0.98569394719079217,4320,3456,3294.5999516129032,2859.6313,0.2658214779943382
full_year,8,pv_kw,4464,2915.9930929883517,3428.2615294367884,0.99301922657046449,0.99297342713530756,4320,3456,9337.6419741935497,8977.7618064516118,1.1756754629084036
full_year,8,net_load_kw,4464,2129.1839573476705,2991.7778867056695,0.9142834176977872,0.98772804343358844,4320,3456,9297.2463806451615,8577.2991516129041,1.4051288881739155
full_year,9,load_kw,4320,4535.9104328240746,1348.907637110035,0.66329185967776938,0.99039211644414971,4176,3312,3051.4563066666665,2559.4816299999998,0.29738409897794216
full_year,9,pv_kw,4320,2607.5995060879627,3251.3540511052156,0.99208248285603262,0.99356292121012235,4176,3312,8927.7612033333335,8630.3219133333332,1.246876310382127
full_year,9,net_load_kw,4320,1928.310926736111,2689.6140496368844,0.90473307906838951,0.98764971146885516,4176,3312,8935.2679000000007,8374.1274633333342,1.3948030954683055
full_year,10,load_kw,4464,4347.019491330645,1376.9306100720466,0.6519641684445161,0.99442200092758559,4320,3456,3206.2917129032257,2868.0975709677414,0.31675280334447298
full_year,10,pv_kw,4464,2364.3130517697132,3143.0550096538977,0.99593609247530535,0.99486802759945503,4320,3456,8648.2783290322568,8396.343061290323,1.3293734547128977
full_year,10,net_load_kw,4464,1982.7064395609318,2549.4803174372414,0.89590447650950911,0.98978231119731941,4320,3456,8699.5878161290329,8313.6917387096764,1.285858696258545
full_year,11,load_kw,4320,4337.6713466898145,1382.4021446131762,0.63996776598047689,0.99359673445435559,4176,3312,3226.7846133333328,2864.302493333334,0.31869683849333624
full_year,11,pv_kw,4320,1854.3763356018519,2592.0628246924302,0.99593748498660273,0.99595692117543999,4176,3312,7186.0658066666665,6987.9309233333333,1.3978084032501183
full_year,11,net_load_kw,4320,2483.2950110879633,2106.4786302632069,0.83523600432647604,0.9905053149950882,4176,3312,7259.1904366666677,6934.9575366666668,0.84825951844534642
full_year,12,load_kw,4464,4691.3058961917559,1437.4360465118646,0.71200524212320426,0.99300493391583566,4320,3456,3774.4107000000008,3369.588632258065,0.30640424613511702
full_year,12,pv_kw,4464,1513.8368958781361,2168.5094379487023,0.99510297928933256,0.99549186005918533,4320,3456,6089.482500000001,5904.7148999999999,1.432459100351632
full_year,12,net_load_kw,4464,3177.4690003136202,1683.277530530373,0.79492551101866837,0.98712872848156474,4320,3456,6039.8150387096775,5526.6756935483872,0.5297541944120403
