id,source_line,section,kind,source_text,code_locations,test_locations,criterion,implementation_linked,real_acceptance,evidence,acceptance_note
Q2F-L0022-S1,22,2.1,formula_line,\rightarrow,src/q2/rolling.py:215#run_rollout;src/q2/policy.py:39#respond;src/q2/optimization.py:19#build_model,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,main,True,False,processed/main/run_status.json;processed/main/dispatch.csv,主回放已完成73/334日；计算受限34日
Q2F-L0023-S1,23,2.1,formula_line,\underbrace{\text{储能补救与紧急购电}}_{\text{第二阶段}},src/q2/rolling.py:215#run_rollout;src/q2/policy.py:39#respond;src/q2/optimization.py:19#build_model,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,main,True,False,processed/main/run_status.json;processed/main/dispatch.csv,主回放已完成73/334日；计算受限34日
Q2F-L0024-S1,24,2.1,formula_line,},src/q2/rolling.py:215#run_rollout;src/q2/policy.py:39#respond;src/q2/optimization.py:19#build_model,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,main,True,False,processed/main/run_status.json;processed/main/dispatch.csv,主回放已完成73/334日；计算受限34日
Q2F-L0025-S1,25,2.1,markup,$$,src/q2/rolling.py:215#run_rollout;src/q2/policy.py:39#respond;src/q2/optimization.py:19#build_model,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,main,True,False,processed/main/run_status.json;processed/main/dispatch.csv,主回放已完成73/334日；计算受限34日
Q2F-L0027-S1,27,2.1,sentence,其中，第二阶段并不意味着在某一时刻一次性获知整日未来真实轨迹后再自由优化。,src/q2/rolling.py:215#run_rollout;src/q2/policy.py:39#respond;src/q2/optimization.py:19#build_model,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,main,True,False,processed/main/run_status.json;processed/main/dispatch.csv,主回放已完成73/334日；计算受限34日
Q2F-L0027-S2,27,2.1,sentence,"为避免场景内的“上帝视角”，本文对第二阶段补救施加**非前瞻的负荷优先执行规则**：第 $\tau$ 时段的实际储能动作只能依赖第一阶段已经确定的计划、当前已经实现的净负荷以及上一时段 SOC，而不能使用 $\tau+1,\tau+2,\ldots$ 的未来场景信息。",src/q2/rolling.py:215#run_rollout;src/q2/policy.py:39#respond;src/q2/optimization.py:19#build_model,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,main,True,False,processed/main/run_status.json;processed/main/dispatch.csv,主回放已完成73/334日；计算受限34日
Q2F-L0027-S3,27,2.1,sentence,也就是说，本文所称“两阶段”描述的是“日前计划层—日内补救层”的经济决策层次，而第二阶段内部仍严格满足因果性。,src/q2/rolling.py:215#run_rollout;src/q2/policy.py:39#respond;src/q2/optimization.py:19#build_model,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,main,True,False,processed/main/run_status.json;processed/main/dispatch.csv,主回放已完成73/334日；计算受限34日
Q2F-L0029-S1,29,2.1,sentence,题目规定紧急购电价格为正常购电价格的 5 倍，由此产生显著的不对称补购损失。,src/q2/rolling.py:215#run_rollout;src/q2/policy.py:39#respond;src/q2/optimization.py:19#build_model,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,main,True,False,processed/main/run_status.json;processed/main/dispatch.csv,主回放已完成73/334日；计算受限34日
Q2F-L0029-S2,29,2.1,sentence,无储能单时段退化情形下，少购 1 kWh 的边际缺货损失为 $4p_t$，多购 1 kWh 的过量损失为 $p_t$，从而可严格推出 $80\%$ 临界分位数。,src/q2/rolling.py:215#run_rollout;src/q2/policy.py:39#respond;src/q2/optimization.py:19#build_model,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,main,True,False,processed/main/run_status.json;processed/main/dispatch.csv,主回放已完成73/334日；计算受限34日
Q2F-L0029-S3,29,2.1,sentence,该随机报童型结构是本问的理论解释核心；,src/q2/rolling.py:215#run_rollout;src/q2/policy.py:39#respond;src/q2/optimization.py:19#build_model,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,main,True,False,processed/main/run_status.json;processed/main/dispatch.csv,主回放已完成73/334日；计算受限34日
Q2F-L0029-S4,29,2.1,sentence,完整模型再通过 SOC 状态方程将各时段耦合，并在严格非前瞻的信息约束下，以随机场景的期望运行费用评价并优化日前策略参数。,src/q2/rolling.py:215#run_rollout;src/q2/policy.py:39#respond;src/q2/optimization.py:19#build_model,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,main,True,False,processed/main/run_status.json;processed/main/dispatch.csv,主回放已完成73/334日；计算受限34日
Q2F-L0031-S1,31,2.1,sentence,因此，本文采用“**滚动预测—按预测器与预测步长匹配的联合误差场景—不对称损失结构—储能耦合参数化非前瞻随机优化—真实回放**”的建模主线。,src/q2/rolling.py:215#run_rollout;src/q2/policy.py:39#respond;src/q2/optimization.py:19#build_model,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,main,True,False,processed/main/run_status.json;processed/main/dispatch.csv,主回放已完成73/334日；计算受限34日
Q2F-L0031-S2,31,2.1,sentence,整体技术路线为,src/q2/rolling.py:215#run_rollout;src/q2/policy.py:39#respond;src/q2/optimization.py:19#build_model,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,main,True,False,processed/main/run_status.json;processed/main/dispatch.csv,主回放已完成73/334日；计算受限34日
Q2F-L0033-S1,33,2.1,markup,$$,src/q2/rolling.py:215#run_rollout;src/q2/policy.py:39#respond;src/q2/optimization.py:19#build_model,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,main,True,False,processed/main/run_status.json;processed/main/dispatch.csv,主回放已完成73/334日；计算受限34日
Q2F-L0034-S1,34,2.1,formula_line,\boxed{,src/q2/rolling.py:215#run_rollout;src/q2/policy.py:39#respond;src/q2/optimization.py:19#build_model,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,main,True,False,processed/main/run_status.json;processed/main/dispatch.csv,主回放已完成73/334日；计算受限34日
Q2F-L0035-S1,35,2.1,formula_line,\begin{aligned},src/q2/rolling.py:215#run_rollout;src/q2/policy.py:39#respond;src/q2/optimization.py:19#build_model,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,main,True,False,processed/main/run_status.json;processed/main/dispatch.csv,主回放已完成73/334日；计算受限34日
Q2F-L0036-S1,36,2.1,formula_line,&\text{数据清洗与时间索引规范化}\\,src/q2/rolling.py:215#run_rollout;src/q2/policy.py:39#respond;src/q2/optimization.py:19#build_model,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,main,True,False,processed/main/run_status.json;processed/main/dispatch.csv,主回放已完成73/334日；计算受限34日
Q2F-L0037-S1,37,2.1,formula_line,\rightarrow{}&\text{事后结构诊断与严格在线信息边界分离}\\,src/q2/rolling.py:215#run_rollout;src/q2/policy.py:39#respond;src/q2/optimization.py:19#build_model,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,main,True,False,processed/main/run_status.json;processed/main/dispatch.csv,主回放已完成73/334日；计算受限34日
Q2F-L0038-S1,38,2.1,formula_line,\rightarrow{}&\text{强基线与候选预测模型的因果滚动比较}\\,src/q2/rolling.py:215#run_rollout;src/q2/policy.py:39#respond;src/q2/optimization.py:19#build_model,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,main,True,False,processed/main/run_status.json;processed/main/dispatch.csv,主回放已完成73/334日；计算受限34日
Q2F-L0039-S1,39,2.1,formula_line,\rightarrow{}&\text{predictor-conditioned forecast-origin}\times\text{horizon 误差库}\\,src/q2/rolling.py:215#run_rollout;src/q2/policy.py:39#respond;src/q2/optimization.py:19#build_model,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,main,True,False,processed/main/run_status.json;processed/main/dispatch.csv,主回放已完成73/334日；计算受限34日
Q2F-L0040-S1,40,2.1,formula_line,\rightarrow{}&\text{联合时序场景构造}\\,src/q2/rolling.py:215#run_rollout;src/q2/policy.py:39#respond;src/q2/optimization.py:19#build_model,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,main,True,False,processed/main/run_status.json;processed/main/dispatch.csv,主回放已完成73/334日；计算受限34日
Q2F-L0041-S1,41,2.1,formula_line,\rightarrow{}&\text{5 倍补购规则的 }80\%\text{ 临界分位推导}\\,src/q2/rolling.py:215#run_rollout;src/q2/policy.py:39#respond;src/q2/optimization.py:19#build_model,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,main,True,False,processed/main/run_status.json;processed/main/dispatch.csv,主回放已完成73/334日；计算受限34日
Q2F-L0042-S1,42,2.1,formula_line,\rightarrow{}&\text{储能耦合参数化非前瞻滚动随机优化}\\,src/q2/rolling.py:215#run_rollout;src/q2/policy.py:39#respond;src/q2/optimization.py:19#build_model,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,main,True,False,processed/main/run_status.json;processed/main/dispatch.csv,主回放已完成73/334日；计算受限34日
Q2F-L0043-S1,43,2.1,formula_line,\rightarrow{}&\text{负荷优先的非前瞻补救执行}\\,src/q2/rolling.py:215#run_rollout;src/q2/policy.py:39#respond;src/q2/optimization.py:19#build_model,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,main,True,False,processed/main/run_status.json;processed/main/dispatch.csv,主回放已完成73/334日；计算受限34日
Q2F-L0044-S1,44,2.1,formula_line,\rightarrow{}&\text{24/48/72 h 滚动前瞻与真实回放}.,src/q2/rolling.py:215#run_rollout;src/q2/policy.py:39#respond;src/q2/optimization.py:19#build_model,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,main,True,False,processed/main/run_status.json;processed/main/dispatch.csv,主回放已完成73/334日；计算受限34日
Q2F-L0045-S1,45,2.1,formula_line,\end{aligned}},src/q2/rolling.py:215#run_rollout;src/q2/policy.py:39#respond;src/q2/optimization.py:19#build_model,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,main,True,False,processed/main/run_status.json;processed/main/dispatch.csv,主回放已完成73/334日；计算受限34日
Q2F-L0046-S1,46,2.1,markup,$$,src/q2/rolling.py:215#run_rollout;src/q2/policy.py:39#respond;src/q2/optimization.py:19#build_model,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,main,True,False,processed/main/run_status.json;processed/main/dispatch.csv,主回放已完成73/334日；计算受限34日
Q2F-L0048-S1,48,2.1,sentence,条件风险价值仅作为附加风险分析，不改变风险中性主结果。,src/q2/rolling.py:215#run_rollout;src/q2/policy.py:39#respond;src/q2/optimization.py:19#build_model,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,main,True,False,processed/main/run_status.json;processed/main/dispatch.csv,主回放已完成73/334日；计算受限34日
Q2F-L0050-S1,50,2.2,markup,## 2.2 数据预处理与信息边界,src/q2/dispatch.py:23#input_data,src/q2/test_q2.py:22#Q2Tests,prepare,True,True,raw/prepared_manifest.json;inputs/processed/quality_checks.csv,原始附件逐值回读及完整准备库摘要核验通过
Q2F-L0052-S1,52,2.2.1,markup,### 2.2.1 原始数据重构,src/q2/data.py:74#read_attachment;src/q2/dispatch.py:23#input_data,src/q2/test_q2.py:22#Q2Tests,prepare,True,True,raw/prepared_manifest.json;inputs/processed/quality_checks.csv,原始附件逐值回读及完整准备库摘要核验通过
Q2F-L0054-S1,54,2.2.1,sentence,附件 2 给出了 2025 年 1 月 1 日至 12 月 31 日的小区负荷与光伏实际发电功率。,src/q2/data.py:74#read_attachment;src/q2/dispatch.py:23#input_data,src/q2/test_q2.py:22#Q2Tests,prepare,True,True,raw/prepared_manifest.json;inputs/processed/quality_checks.csv,原始附件逐值回读及完整准备库摘要核验通过
Q2F-L0054-S2,54,2.2.1,sentence,每日包含 144 个 10 min 时间间隔，因此全年共形成,src/q2/data.py:74#read_attachment;src/q2/dispatch.py:23#input_data,src/q2/test_q2.py:22#Q2Tests,prepare,True,True,raw/prepared_manifest.json;inputs/processed/quality_checks.csv,原始附件逐值回读及完整准备库摘要核验通过
Q2F-L0056-S1,56,2.2.1,markup,$$,src/q2/data.py:74#read_attachment;src/q2/dispatch.py:23#input_data,src/q2/test_q2.py:22#Q2Tests,prepare,True,True,raw/prepared_manifest.json;inputs/processed/quality_checks.csv,原始附件逐值回读及完整准备库摘要核验通过
Q2F-L0057-S1,57,2.2.1,formula_line,365\times 144=52560,src/q2/data.py:74#read_attachment;src/q2/dispatch.py:23#input_data,src/q2/test_q2.py:22#Q2Tests,prepare,True,True,raw/prepared_manifest.json;inputs/processed/quality_checks.csv,原始附件逐值回读及完整准备库摘要核验通过
Q2F-L0058-S1,58,2.2.1,markup,$$,src/q2/data.py:74#read_attachment;src/q2/dispatch.py:23#input_data,src/q2/test_q2.py:22#Q2Tests,prepare,True,True,raw/prepared_manifest.json;inputs/processed/quality_checks.csv,原始附件逐值回读及完整准备库摘要核验通过
Q2F-L0060-S1,60,2.2.1,sentence,个连续观测点。,src/q2/data.py:74#read_attachment;src/q2/dispatch.py:23#input_data,src/q2/test_q2.py:22#Q2Tests,prepare,True,True,raw/prepared_manifest.json;inputs/processed/quality_checks.csv,原始附件逐值回读及完整准备库摘要核验通过
Q2F-L0062-S1,62,2.2.1,sentence,将原始“日期 × 日内时刻”的宽表转换为连续长表，并构造字段：日期、时间段、时间戳、日内序号、星期、月份、年内日序号、小区负荷、光伏功率和净负荷。,src/q2/data.py:74#read_attachment;src/q2/dispatch.py:23#input_data,src/q2/test_q2.py:22#Q2Tests,prepare,True,True,raw/prepared_manifest.json;inputs/processed/quality_checks.csv,原始附件逐值回读及完整准备库摘要核验通过
Q2F-L0064-S1,64,2.2.1,sentence,定义净负荷为,src/q2/data.py:74#read_attachment;src/q2/dispatch.py:23#input_data,src/q2/test_q2.py:22#Q2Tests,prepare,True,True,raw/prepared_manifest.json;inputs/processed/quality_checks.csv,原始附件逐值回读及完整准备库摘要核验通过
Q2F-L0066-S1,66,2.2.1,markup,$$,src/q2/data.py:74#read_attachment;src/q2/dispatch.py:23#input_data,src/q2/test_q2.py:22#Q2Tests,prepare,True,True,raw/prepared_manifest.json;inputs/processed/quality_checks.csv,原始附件逐值回读及完整准备库摘要核验通过
Q2F-L0067-S1,67,2.2.1,formula_line,"N_{d,t}=L_{d,t}-P_{d,t}^{PV},",src/q2/data.py:74#read_attachment;src/q2/dispatch.py:23#input_data,src/q2/test_q2.py:22#Q2Tests,prepare,True,True,raw/prepared_manifest.json;inputs/processed/quality_checks.csv,原始附件逐值回读及完整准备库摘要核验通过
Q2F-L0068-S1,68,2.2.1,markup,$$,src/q2/data.py:74#read_attachment;src/q2/dispatch.py:23#input_data,src/q2/test_q2.py:22#Q2Tests,prepare,True,True,raw/prepared_manifest.json;inputs/processed/quality_checks.csv,原始附件逐值回读及完整准备库摘要核验通过
Q2F-L0070-S1,70,2.2.1,sentence,"其中，$L_{d,t}$ 表示第 $d$ 日第 $t$ 个时段的小区负荷，$P_{d,t}^{PV}$ 表示相应光伏发电功率。",src/q2/data.py:74#read_attachment;src/q2/dispatch.py:23#input_data,src/q2/test_q2.py:22#Q2Tests,prepare,True,True,raw/prepared_manifest.json;inputs/processed/quality_checks.csv,原始附件逐值回读及完整准备库摘要核验通过
Q2F-L0070-S2,70,2.2.1,sentence,净负荷反映微网在扣除光伏以后对外网和储能系统形成的实际供电压力。,src/q2/data.py:74#read_attachment;src/q2/dispatch.py:23#input_data,src/q2/test_q2.py:22#Q2Tests,prepare,True,True,raw/prepared_manifest.json;inputs/processed/quality_checks.csv,原始附件逐值回读及完整准备库摘要核验通过
Q2F-L0072-S1,72,2.2.2,markup,### 2.2.2 时间索引与单位口径,src/q2/data.py:61#calendar_for_day;src/q2/policy.py:39#respond,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,prepare,True,True,raw/prepared_manifest.json;inputs/processed/quality_checks.csv,原始附件逐值回读及完整准备库摘要核验通过
Q2F-L0074-S1,74,2.2.2,sentence,统一采用 10 min 时间区间的**右端点**作为时间戳，例如：,src/q2/data.py:61#calendar_for_day;src/q2/policy.py:39#respond,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,prepare,True,True,raw/prepared_manifest.json;inputs/processed/quality_checks.csv,原始附件逐值回读及完整准备库摘要核验通过
Q2F-L0076-S1,76,2.2.2,sentence,- 0:10 对应 0:00—0:10；,src/q2/data.py:61#calendar_for_day;src/q2/policy.py:39#respond,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,prepare,True,True,raw/prepared_manifest.json;inputs/processed/quality_checks.csv,原始附件逐值回读及完整准备库摘要核验通过
Q2F-L0077-S1,77,2.2.2,sentence,- 0:20 对应 0:10—0:20；,src/q2/data.py:61#calendar_for_day;src/q2/policy.py:39#respond,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,prepare,True,True,raw/prepared_manifest.json;inputs/processed/quality_checks.csv,原始附件逐值回读及完整准备库摘要核验通过
Q2F-L0078-S1,78,2.2.2,sentence,- 当日 0:00+1 对应 23:50—24:00。,src/q2/data.py:61#calendar_for_day;src/q2/policy.py:39#respond,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,prepare,True,True,raw/prepared_manifest.json;inputs/processed/quality_checks.csv,原始附件逐值回读及完整准备库摘要核验通过
Q2F-L0080-S1,80,2.2.2,sentence,预测阶段仍使用功率单位 kW；,src/q2/data.py:61#calendar_for_day;src/q2/policy.py:39#respond,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,prepare,True,True,raw/prepared_manifest.json;inputs/processed/quality_checks.csv,原始附件逐值回读及完整准备库摘要核验通过
Q2F-L0080-S2,80,2.2.2,sentence,进入优化模型后统一按,src/q2/data.py:61#calendar_for_day;src/q2/policy.py:39#respond,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,prepare,True,True,raw/prepared_manifest.json;inputs/processed/quality_checks.csv,原始附件逐值回读及完整准备库摘要核验通过
Q2F-L0082-S1,82,2.2.2,markup,$$,src/q2/data.py:61#calendar_for_day;src/q2/policy.py:39#respond,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,prepare,True,True,raw/prepared_manifest.json;inputs/processed/quality_checks.csv,原始附件逐值回读及完整准备库摘要核验通过
Q2F-L0083-S1,83,2.2.2,formula_line,\Delta t=\frac16\text{ h},src/q2/data.py:61#calendar_for_day;src/q2/policy.py:39#respond,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,prepare,True,True,raw/prepared_manifest.json;inputs/processed/quality_checks.csv,原始附件逐值回读及完整准备库摘要核验通过
Q2F-L0084-S1,84,2.2.2,markup,$$,src/q2/data.py:61#calendar_for_day;src/q2/policy.py:39#respond,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,prepare,True,True,raw/prepared_manifest.json;inputs/processed/quality_checks.csv,原始附件逐值回读及完整准备库摘要核验通过
Q2F-L0086-S1,86,2.2.2,sentence,换算为电量 kWh，以避免预测与优化阶段的单位混淆。,src/q2/data.py:61#calendar_for_day;src/q2/policy.py:39#respond,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,prepare,True,True,raw/prepared_manifest.json;inputs/processed/quality_checks.csv,原始附件逐值回读及完整准备库摘要核验通过
Q2F-L0088-S1,88,2.2.2,sentence,需要进一步说明 10 min 离散模型与真实运行时序之间的关系。,src/q2/data.py:61#calendar_for_day;src/q2/policy.py:39#respond,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,prepare,True,True,raw/prepared_manifest.json;inputs/processed/quality_checks.csv,原始附件逐值回读及完整准备库摘要核验通过
